ID_UG	ID_Vertice	XX_v	YY_v	Concelho
1	1	-14590.4668	160414.8658	Penafiel
1	2	-14610.4706	160377.2835	Penafiel
1	3	-14661.1092	160390.5554	Penafiel
1	4	-14705.744	160393.5049	Penafiel
1	5	-14754.6203	160376.6707	Penafiel
1	6	-14781.2363	160301.2941	Penafiel
1	7	-14701.8266	160292.2207	Penafiel
1	8	-14639.4186	160270.8678	Penafiel
1	9	-14582.8902	160228.1305	Penafiel
1	10	-14549.3554	160162.0569	Penafiel
1	11	-14603.0277	160141.3681	Penafiel
1	12	-14663.416	160206.1573	Penafiel
1	13	-14723.9061	160221.9251	Penafiel
1	14	-14741.4598	160159.8823	Penafiel
1	15	-14686.5662	160108.1639	Penafiel
1	16	-14613.762	160068.3322	Penafiel
1	17	-14624.9345	159995.395	Penafiel
1	18	-14674.6372	159952.9364	Penafiel
1	19	-14770.5107	159919.8624	Penafiel
1	20	-14791.5386	159875.347	Penafiel
1	21	-14762.7849	159836.8401	Penafiel
1	22	-14727.1584	159792.1851	Penafiel
1	23	-14735.2153	159732.7163	Penafiel
1	24	-14729.0232	159665.7512	Penafiel
1	25	-14789.9015	159647.4988	Penafiel
1	26	-14855.2247	159657.1241	Penafiel
1	27	-14910.456	159637.8595	Penafiel
1	28	-14885.9252	159570.6121	Penafiel
1	29	-14957.2916	159551.1133	Penafiel
1	30	-15023.9401	159511.5657	Penafiel
1	31	-15076.7279	159498.3404	Penafiel
1	32	-15130.8168	159476.8507	Penafiel
1	33	-15169.2563	159443.0914	Penafiel
1	34	-15212.968	159471.2956	Penafiel
1	35	-15214.4678	159514.7131	Penafiel
1	36	-15149.8896	159546.6105	Penafiel
1	37	-15098.1204	159563.2602	Penafiel
1	38	-15145.375	159597.1347	Penafiel
1	39	-15206.359	159616.1985	Penafiel
1	40	-15209.0694	159691.9784	Penafiel
1	41	-15250.6929	159762.3825	Penafiel
1	42	-15225.3803	159823.7894	Penafiel
1	43	-15132.832	159855.3045	Penafiel
1	44	-15083.6463	159855.0349	Penafiel
1	45	-15105.0419	159926.0866	Penafiel
1	46	-15200.6345	159963.785	Penafiel
1	47	-15401.6779	159943.1524	Penafiel
1	48	-15581.1976	159945.9949	Penafiel
1	49	-15639.8077	159988.3988	Penafiel
1	50	-15619.7691	160047.5402	Penafiel
1	51	-15579.9013	160082.2097	Penafiel
1	52	-15534.6983	160089.6042	Penafiel
1	53	-15539.4079	160036.6635	Penafiel
1	54	-15491.5471	160060.3757	Penafiel
1	55	-15446.4128	160084.4144	Penafiel
1	56	-15411.7362	160117.2664	Penafiel
1	57	-15356.5674	160157.5255	Penafiel
1	58	-15307.8733	160177.1161	Penafiel
1	59	-15273.5985	160214.4179	Penafiel
1	60	-15234.6089	160257.4814	Penafiel
1	61	-15167.1603	160275.7609	Penafiel
1	62	-15100.8741	160280.2195	Penafiel
1	63	-15057.5927	160322.8195	Penafiel
1	64	-14957.2155	160358.1048	Penafiel
1	65	-14868.873	160347.5545	Penafiel
1	66	-14796.6856	160357.4842	Penafiel
1	67	-14776.4159	160591.8365	Penafiel
1	68	-14731.1954	160519.4914	Penafiel
1	69	-14673.026	160484.5471	Penafiel
1	70	-14610.4344	160465.5191	Penafiel
1	71	-14590.4668	160414.8658	Penafiel
1	72	-14867.5781	160241.6758	Penafiel
1	73	-14906.1304	160215.0557	Penafiel
1	74	-14966.2478	160222.9985	Penafiel
1	75	-15024.5461	160216.219	Penafiel
1	76	-15039.1277	160157.4484	Penafiel
1	77	-15061.3102	160119.1856	Penafiel
1	78	-15136.5324	160075.3909	Penafiel
1	79	-15155.5824	160003.9533	Penafiel
1	80	-15087.3198	159983.3157	Penafiel
1	81	-15010.4383	160034.5814	Penafiel
1	82	-14872.9067	160048.9525	Penafiel
1	83	-14790.6027	160045.9264	Penafiel
1	84	-14867.5781	160241.6758	Penafiel
2	85	-19230.2906	161739.4509	Penafiel
2	86	-19241.7562	161694.1869	Penafiel
2	87	-19301.7958	161711.312	Penafiel
2	88	-19332.2646	161745.1427	Penafiel
2	89	-19326.3704	161808.2537	Penafiel
2	90	-19354.576	161905.327	Penafiel
2	91	-19340.9323	161964.6282	Penafiel
2	92	-19298.6475	161993.8948	Penafiel
2	93	-19247.1755	162009.1663	Penafiel
2	94	-19178.7006	162021.6576	Penafiel
2	95	-19120.2781	162035.9372	Penafiel
2	96	-19052.6716	162053.629	Penafiel
2	97	-19052.3741	162053.7069	Penafiel
2	98	-18990.2534	162040.4174	Penafiel
2	99	-18989.6752	162040.2937	Penafiel
2	100	-18955.019	161995.4928	Penafiel
2	101	-18980.0375	161960.4977	Penafiel
2	102	-19029.2423	161916.6489	Penafiel
2	103	-19060.5791	161872.5858	Penafiel
2	104	-19081.603	161831.1716	Penafiel
2	105	-19113.0814	161795.0686	Penafiel
2	106	-19178.9279	161768.485	Penafiel
2	107	-19230.2906	161739.4509	Penafiel
3	108	-25541.2641	162061.8835	Paredes
3	109	-25537.6201	162061.5647	Paredes
3	110	-25521.7344	162061.5651	Paredes
3	111	-25521.6877	162061.5184	Paredes
3	112	-25514.0201	162053.8509	Paredes
3	113	-25515.7307	162047.4373	Paredes
3	114	-25504.6231	162038.1808	Paredes
3	115	-25504.3495	162038.1504	Paredes
3	116	-25487.9614	162036.3295	Paredes
3	117	-25486.117	162036.3565	Paredes
3	118	-25483.7631	162036.391	Paredes
3	119	-25481.438	162036.4252	Paredes
3	120	-25478.7782	162036.4642	Paredes
3	121	-25474.0363	162036.5674	Paredes
3	122	-25471.7375	162036.5675	Paredes
3	123	-25471.4443	162036.5208	Paredes
3	124	-25460.447	162025.5235	Paredes
3	125	-25454.4622	162019.5387	Paredes
3	126	-25452.495	162017.9118	Paredes
3	127	-25449.7543	162015.6452	Paredes
3	128	-25448.3337	162014.4703	Paredes
3	129	-25441.2788	162011.9025	Paredes
3	130	-25441.154	162011.8571	Paredes
3	131	-25409.7604	162011.6224	Paredes
3	132	-25406.6949	162011.5704	Paredes
3	133	-25402.8219	162011.5705	Paredes
3	134	-25388.6232	162011.571	Paredes
3	135	-25387.6292	162011.571	Paredes
3	136	-25386.975	162011.6282	Paredes
3	137	-25385.6026	162011.6759	Paredes
3	138	-25384.6585	162011.8309	Paredes
3	139	-25383.8095	162011.9052	Paredes
3	140	-25383.1823	162012.0733	Paredes
3	141	-25381.975	162012.2715	Paredes
3	142	-25380.6138	162012.7616	Paredes
3	143	-25380.1054	162012.8978	Paredes
3	144	-25379.6647	162013.1033	Paredes
3	145	-25376.6298	162014.5184	Paredes
3	146	-25373.4885	162016.718	Paredes
3	147	-25372.0732	162018.0149	Paredes
3	148	-25353.5177	162036.571	Paredes
3	149	-25337.7033	162036.5714	Paredes
3	150	-25337.6317	162036.5714	Paredes
3	151	-25337.5024	162036.5827	Paredes
3	152	-25334.3879	162036.8552	Paredes
3	153	-25333.812	162036.9056	Paredes
3	154	-25333.2237	162037.0632	Paredes
3	155	-25330.1079	162037.8982	Paredes
3	156	-25326.6323	162039.5188	Paredes
3	157	-25323.491	162041.7184	Paredes
3	158	-25322.2846	162043.7214	Paredes
3	159	-25298.3265	162066.3463	Paredes
3	160	-25289.4141999999	162074.7627	Paredes
3	161	-25288.3007	162074.744	Paredes
3	162	-25256.613	162074.2101	Paredes
3	163	-25180.5368	162070.517	Paredes
3	164	-25147.6999	162072.079	Paredes
3	165	-25134.1439	162071.9853	Paredes
3	166	-25174.9379	161974.6014	Paredes
3	167	-25262.3449	162005.8901	Paredes
3	168	-25317.929	161983.6389	Paredes
3	169	-25317.9263	161983.4729	Paredes
3	170	-25318.1493	161983.3829	Paredes
3	171	-25317.0954	161919.51	Paredes
3	172	-25382.3831	161900.9078	Paredes
3	173	-25436.956	161888.1832	Paredes
3	174	-25463.2762	161894.4072	Paredes
3	175	-25475.2601	161896.7382	Paredes
3	176	-25486.6925	161899.2801	Paredes
3	177	-25496.6963	161918.203	Paredes
3	178	-25503.3683	161930.8235	Paredes
3	179	-25513.3455	161949.6959	Paredes
3	180	-25522.0128	161950.259	Paredes
3	181	-25524.5799	161950.4258	Paredes
3	182	-25525.1684	161950.464	Paredes
3	183	-25525.1986	161950.4663	Paredes
3	184	-25525.2142	161950.467	Paredes
3	185	-25525.3163	161950.4736	Paredes
3	186	-25525.4745	161950.4839	Paredes
3	187	-25525.5893	161950.4914	Paredes
3	188	-25525.7465	161950.5016	Paredes
3	189	-25525.9325	161950.5137	Paredes
3	190	-25526.1513	161950.5279	Paredes
3	191	-25526.3752	161950.5424	Paredes
3	192	-25526.4721	161950.5487	Paredes
3	193	-25526.7579	161950.5673	Paredes
3	194	-25527.0719	161950.5877	Paredes
3	195	-25527.4318	161950.6111	Paredes
3	196	-25527.7186	161950.6297	Paredes
3	197	-25528.1451	161950.6574	Paredes
3	198	-25528.4247	161950.6858	Paredes
3	199	-25528.65	161950.6902	Paredes
3	200	-25530.5401	161950.813	Paredes
3	201	-25533.6051	161951.0122	Paredes
3	202	-25537.5391999999	161951.2678	Paredes
3	203	-25540.7488	161951.4763	Paredes
3	204	-25543.4046	161951.6489	Paredes
3	205	-25545.3916	161951.778	Paredes
3	206	-25547.4006	161951.9085	Paredes
3	207	-25550.0503	161952.0807	Paredes
3	208	-25551.0383	161952.1449	Paredes
3	209	-25551.8081	161952.2259	Paredes
3	210	-25560.7138	161952.6754	Paredes
3	211	-25575.5851	161950.5653	Paredes
3	212	-25612.998	161945.2566	Paredes
3	213	-25661.3198	161888.7702	Paredes
3	214	-25702.2563	161885.6186	Paredes
3	215	-25722.2279	161885.1925	Paredes
3	216	-25724.1959	161885.1649	Paredes
3	217	-25725.6124	161885.1451	Paredes
3	218	-25732.5953	161885.0472	Paredes
3	219	-25737.0246	161884.9852	Paredes
3	220	-25740.9068	161884.9308	Paredes
3	221	-25744.0141	161884.8873	Paredes
3	222	-25754.2943	161884.7432	Paredes
3	223	-25758.5189	161884.684	Paredes
3	224	-25788.1793	161883.4224	Paredes
3	225	-25761.3271	161914.3541	Paredes
3	226	-25761.3648	161914.6952	Paredes
3	227	-25719.0948	161948.2286	Paredes
3	228	-25641.2501	161983.299	Paredes
3	229	-25641.3023	162023.9119	Paredes
3	230	-25640.614	162024.4507	Paredes
3	231	-25578.5041	162086.5625	Paredes
3	232	-25571.731	162086.5626	Paredes
3	233	-25571.6843	162086.5159	Paredes
3	234	-25553.1767	162068.0084	Paredes
3	235	-25551.7617	162066.7117	Paredes
3	236	-25548.6204	162064.5121	Paredes
3	237	-25545.1448	162062.8915	Paredes
3	238	-25541.4407	162061.8989	Paredes
3	239	-25541.2641	162061.8835	Paredes
4	240	-22659.2581	162440.9711	Paredes
4	241	-22659.0975	162440.4714	Paredes
4	242	-22658.4643	162440.1773	Paredes
4	243	-22636.2344	162371.0297	Paredes
4	244	-22576.581	162352.0803	Paredes
4	245	-22575.9542	162351.3395	Paredes
4	246	-22540.3749	162309.2945	Paredes
4	247	-22539.5807	162308.5011	Paredes
4	248	-22486.3003	162255.3152	Paredes
4	249	-22485.5062	162254.5217	Paredes
4	250	-22444.6503	162226.1791	Paredes
4	251	-22403.1847	162171.6161	Paredes
4	252	-22402.8115	162171.3757	Paredes
4	253	-22402.3908999999	162170.8223	Paredes
4	254	-22360.8248	162144.05	Paredes
4	255	-22306.2115	162134.6497	Paredes
4	256	-22256.775	162102.3037	Paredes
4	257	-22227.5728	162038.471	Paredes
4	258	-22226.9277	162038.0022	Paredes
4	259	-22226.779	162037.6772	Paredes
4	260	-22176.5812	162001.1976	Paredes
4	261	-22176.4138	162001.0759	Paredes
4	262	-22175.9879	162000.7664	Paredes
4	263	-22140.8117	161954.4609	Paredes
4	264	-22149.415	161908.5625	Paredes
4	265	-22177.6354	161864.8154	Paredes
4	266	-22254.9162	161829.2783	Paredes
4	267	-22333.5766	161828.1397	Paredes
4	268	-22374.7713	161818.576	Paredes
4	269	-22375.3552	161818.4253	Paredes
4	270	-22385.7379	161865.1473	Paredes
4	271	-22385.9386	161866.0504	Paredes
4	272	-22435.6043	161856.9014	Paredes
4	273	-22436.2095	161856.7899	Paredes
