Crit0,Crit1,Crit2,end
371175,-505880,2981,end
371620,-508252,2986,end
372444,-509766,2983,end
371902,-505955,2980,end
371715,-508293,2986,end
372347,-508327,2985,end
372372,-508583,2982,end
372619,-509010,2982,end
371879,-507854,2983,end
370610,-503968,2981,end
371055,-506340,2986,end
371337,-504043,2980,end
370705,-504009,2981,end
371782,-506415,2985,end
371150,-506381,2986,end
369755,-503157,2975,end
369849,-503203,2975,end
369944,-503246,2975,end
370055,-503291,2975,end
371125,-503527,2978,end
370398,-503452,2979,end
370493,-503493,2979,end
370843,-505824,2984,end
370938,-505865,2984,end
371570,-505899,2983,end
371362,-504299,2977,end
371807,-506671,2982,end
371609,-504726,2977,end
372054,-507098,2982,end
371397,-504210,2975,end
371226,-503710,2975,end
371321,-503751,2975,end
371953,-503785,2974,end
372398,-506157,2979,end
371978,-504041,2971,end
371014,-503194,2973,end
371459,-505566,2978,end
371109,-503235,2973,end
371554,-505607,2978,end
371741,-503269,2972,end
372186,-505641,2977,end
372013,-503952,2969,end
376752,-507893,2932,end
373869,-502771,2944,end
376272,-507743,2932,end
374267,-502772,2944,end
378015,-515907,2953,end
377005,-511623,2948,end
377450,-513995,2953,end
378631,-515649,2947,end
377621,-511365,2942,end
378066,-513737,2947,end
377535,-515757,2953,end
374567,-508873,2965,end
375530,-510786,2965,end
374520,-506502,2960,end
374965,-508874,2965,end
376146,-510528,2959,end
375136,-506244,2954,end
375581,-508616,2959,end
372259,-500330,2945,end
372869,-500847,2947,end
372657,-500331,2945,end
372916,-500933,2947,end
372704,-500417,2945,end
369850,-498804,2947,end
369944,-498850,2947,end
370039,-498893,2947,end
370150,-498938,2947,end
371432,-499690,2952,end
370493,-499099,2951,end
371220,-499174,2950,end
370588,-499140,2951,end
371479,-499776,2952,end
370635,-499226,2951,end
370197,-499024,2947,end
371267,-499260,2950,end
371501,-500019,2951,end
371289,-499503,2949,end
371519,-500071,2951,end
371307,-499555,2949,end
371541,-500314,2950,end
376668,-511812,2950,end
373738,-504319,2957,end
374183,-506691,2962,end
376270,-509526,2945,end
376715,-511898,2950,end
373785,-504405,2957,end
374230,-506777,2962,end
379016,-522598,2948,end
379184,-522283,2947,end
378015,-513424,2947,end
378460,-515796,2952,end
377450,-511512,2947,end
377895,-513884,2952,end
377238,-510996,2945,end
377683,-513368,2950,end
378796,-522098,2948,end
378964,-521783,2947,end
377795,-512924,2947,end
378240,-515296,2952,end
377230,-511012,2947,end
377018,-510496,2945,end
377899,-514937,2949,end
377675,-513384,2952,end
377463,-512868,2950,end
377120,-520842,2964,end
377145,-521098,2961,end
377392,-521525,2961,end
377542,-521774,2960,end
376952,-521157,2965,end
376493,-515794,2967,end
376396,-514355,2969,end
376421,-514611,2966,end
377224,-521840,2962,end
376668,-515038,2966,end
376818,-515287,2965,end
375928,-513882,2967,end
375831,-512443,2969,end
375619,-511927,2967,end
375856,-512699,2966,end
376103,-513126,2966,end
376253,-513375,2965,end
377195,-513234,2952,end
375139,-511777,2967,end
375916,-514205,2969,end
375351,-512293,2969,end
374467,-516036,2977,end
374739,-516719,2974,end
375530,-508303,2959,end
375975,-510675,2964,end
374965,-506391,2959,end
375410,-508763,2964,end
374753,-505875,2957,end
375198,-508247,2962,end
375997,-510918,2963,end
374987,-506634,2958,end
375432,-509006,2963,end
374775,-506118,2956,end
375220,-508490,2961,end
375310,-507803,2959,end
375755,-510175,2964,end
374745,-505891,2959,end
375190,-508263,2964,end
374533,-505375,2957,end
374978,-507747,2962,end
374635,-515721,2976,end
373466,-506862,2976,end
374008,-510673,2979,end
373911,-509234,2981,end
373936,-509490,2978,end
374907,-516404,2973,end
374183,-509917,2978,end
375057,-516653,2972,end
374333,-510166,2977,end
