Crit0,Crit1,Crit2,end
386111,-519488,21771,end
386111,-519488,21774,end
386111,-519488,21779,end
386114,-519488,21772,end
386114,-519488,21775,end
386114,-519488,21779,end
386147,-520687,21755,end
386147,-520687,21759,end
386147,-520687,21761,end
386148,-521396,21779,end
386148,-521396,21783,end
386148,-521396,21787,end
386174,-521477,21756,end
386174,-521477,21763,end
386177,-528693,21686,end
386177,-528693,21709,end
386177,-521845,21755,end
386177,-521845,21761,end
386178,-521845,21755,end
386178,-521845,21758,end
386178,-521845,21761,end
386215,-528864,21693,end
386215,-528864,21715,end
386215,-528864,21716,end
386215,-522970,21759,end
386215,-522970,21763,end
386215,-522970,21764,end
386253,-524189,21798,end
386253,-524189,21799,end
386259,-528874,21699,end
386259,-528874,21723,end
386259,-528874,21725,end
386259,-526498,23140,end
386259,-526498,23170,end
386259,-526498,23200,end
386259,-523982,21761,end
386259,-523982,21765,end
386259,-523982,21767,end
386301,-529220,21681,end
386301,-529220,21696,end
386301,-529220,21702,end
386950,-528679,21780,end
386950,-528679,21782,end
386950,-528679,21803,end
387115,-528662,21784,end
387115,-528662,21807,end
386292,-525465,21787,end
386292,-525465,21791,end
386569,-524604,21795,end
386569,-524604,21801,end
386569,-524604,21804,end
386656,-523299,21804,end
386656,-523299,21810,end
386656,-523299,21813,end
386342,-523092,21809,end
386342,-523092,21811,end
386263,-522481,21808,end
386263,-522481,21814,end
386263,-522481,21817,end
386559,-521860,21830,end
386559,-521860,21831,end
386656,-523299,21821,end
386950,-528679,21820,end
387115,-528662,21824,end
386656,-523299,21830,end
386259,-526498,23217,end
386263,-522481,21834,end
386559,-521860,21847,end
386559,-521860,21848,end
386177,-521845,21772,end
386177,-521845,21775,end
386177,-521845,21778,end
386178,-521845,21772,end
386178,-521845,21775,end
386178,-521845,21778,end
386174,-521477,21773,end
386174,-521477,21778,end
386174,-521477,21780,end
386148,-521396,21796,end
386148,-521396,21800,end
386148,-521396,21804,end
386147,-520687,21772,end
386147,-520687,21776,end
386147,-520687,21778,end
386111,-519488,21788,end
386111,-519488,21791,end
386111,-519488,21796,end
386114,-519488,21789,end
386114,-519488,21792,end
386114,-519488,21796,end
387131,-528658,21777,end
387131,-528658,21797,end
384946,-527814,23727,end
384946,-527814,23767,end
386733,-528657,21776,end
386733,-528657,21777,end
386733,-528657,21796,end
386733,-528657,21799,end
386898,-528640,21780,end
386898,-528640,21786,end
386898,-528640,21803,end
385894,-519466,21767,end
386042,-526476,23136,end
386042,-526476,23196,end
386342,-521838,21826,end
386342,-521838,21827,end
385894,-519466,21770,end
385894,-519466,21775,end
385897,-519466,21768,end
385897,-519466,21771,end
385897,-519466,21775,end
387296,-528641,21781,end
387296,-528641,21801,end
385111,-527797,23721,end
385111,-527797,23731,end
385111,-527797,23771,end
386733,-528657,21819,end
386898,-528640,21823,end
385931,-521374,21803,end
386042,-526476,23216,end
386342,-521838,21846,end
386342,-521838,21847,end
385894,-519466,21787,end
385894,-519466,21790,end
385894,-519466,21795,end
385897,-519466,21788,end
385897,-519466,21791,end
385897,-519466,21795,end
384565,-523739,23742,end
384565,-523739,23782,end
386750,-524583,21792,end
386750,-524583,21812,end
387296,-528641,21804,end
386837,-523278,21801,end
386440,-526477,23137,end
386440,-526477,23197,end
386837,-523278,21807,end
386837,-523278,21810,end
386740,-521839,21827,end
386740,-521839,21828,end
386358,-521824,21752,end
386358,-521824,21758,end
386359,-521824,21752,end
386359,-521824,21755,end
386359,-521824,21758,end
386355,-521456,21753,end
386355,-521456,21760,end
386329,-521375,21776,end
386329,-521375,21780,end
386329,-521375,21784,end
386328,-520666,21752,end
386328,-520666,21756,end
386328,-520666,21758,end
386292,-519467,21768,end
386292,-519467,21771,end
386292,-519467,21776,end
386295,-519467,21769,end
386295,-519467,21772,end
386295,-519467,21776,end
387131,-528658,21820,end
387296,-528641,21807,end
387296,-528641,21824,end
386358,-521824,21772,end
386359,-521824,21772,end
386328,-520666,21772,end
386440,-526477,23217,end
386750,-524583,21818,end
386750,-524583,21821,end
386837,-523278,21821,end
386837,-523278,21827,end
386837,-523278,21830,end
386740,-521839,21847,end
386740,-521839,21848,end
386358,-521824,21778,end
386359,-521824,21775,end
386359,-521824,21778,end
386355,-521456,21773,end
386355,-521456,21780,end
386329,-521375,21796,end
386329,-521375,21800,end
386329,-521375,21804,end
386328,-520666,21778,end
386292,-519467,21788,end
386292,-519467,21791,end
386292,-519467,21796,end
386295,-519467,21789,end
386295,-519467,21792,end
386295,-519467,21796,end
384652,-522434,23751,end
384652,-522434,23791,end
384030,-521751,21814,end
384030,-521751,21817,end
384030,-521751,21819,end
384124,-521797,21815,end
384124,-521797,21817,end
384124,-521797,21821,end
384814,-525350,23174,end
384814,-525350,23234,end
384818,-521333,21842,end
384818,-521333,21848,end
384818,-521333,21851,end
385114,-520712,21864,end
385114,-520712,21865,end
384729,-520329,21797,end
384703,-520248,21813,end
384703,-520248,21817,end
384703,-520248,21821,end
384666,-518340,21805,end
384666,-518340,21808,end
384666,-518340,21813,end
384669,-518340,21806,end
384669,-518340,21809,end
384669,-518340,21813,end
385114,-520712,21867,end
384814,-525350,23237,end
385211,-522151,21850,end
385114,-520712,21868,end
384732,-520697,21798,end
384733,-520697,21798,end
384729,-520329,21800,end
384703,-520248,21824,end
384702,-519539,21798,end
384666,-518340,21816,end
384669,-518340,21816,end
384259,-521616,23755,end
384259,-521616,23795,end
384576,-520607,21866,end
384576,-520607,21867,end
384165,-520143,21819,end
384165,-520143,21823,end
384128,-518235,21807,end
384128,-518235,21810,end
384128,-518235,21815,end
384131,-518235,21808,end
384131,-518235,21811,end
384131,-518235,21815,end
384946,-527814,23790,end
384576,-520607,21869,end
384576,-520607,21870,end
384165,-520143,21826,end
384128,-518235,21818,end
384131,-518235,21818,end
385111,-527797,23794,end
384652,-522434,23800,end
385306,-522141,21851,end
385400,-522121,21851,end
383485,-517940,21781,end
383485,-517940,21784,end
383485,-517940,21786,end
383579,-517986,21784,end
383579,-517986,21788,end
383597,-518101,21785,end
383597,-518101,21787,end
383674,-518029,21781,end
383674,-518029,21782,end
383674,-518029,21787,end
383691,-518092,21785,end
383691,-518092,21789,end
383785,-518074,21782,end
