Crit0,Crit1,Crit2,end
387443,-528424,21852,end
386773,-526964,23552,end
384588,-526120,25522,end
385819,-520161,23575,end
386489,-521621,21875,end
385519,-524799,24944,end
385917,-524800,24945,end
386587,-526260,23245,end
386887,-521622,21876,end
386217,-520162,23576,end
384480,-523643,24966,end
383732,-523956,26915,end
384402,-525416,25215,end
384032,-519318,25546,end
385681,-520282,23577,end
385381,-524920,24946,end
386635,-527085,23554,end
385779,-524921,24947,end
386079,-520283,23578,end
383594,-524077,26917,end
383894,-519439,25548,end
384450,-526241,25524,end
385760,-511740,21886,end
386714,-518543,21863,end
385858,-516379,23256,end
386158,-511741,21887,end
383673,-515535,25226,end
383973,-510897,23857,end
386044,-517083,23563,end
383859,-516239,25533,end
385090,-510280,23586,end
384790,-514918,24955,end
385593,-509829,21872,end
385188,-514919,24956,end
385488,-510281,23587,end
383408,-508985,23842,end
383505,-510424,23824,end
384148,-510563,23590,end
383400,-510876,25539,end
383751,-513762,24977,end
383003,-514075,26926,end
384051,-509124,23608,end
383303,-509437,25557,end
384669,-526366,25762,end
385599,-510312,21871,end
386050,-517566,23562,end
385194,-515402,24955,end
385494,-510764,23586,end
383414,-509468,23841,end
383865,-516722,25532,end
383757,-514245,24976,end
383009,-514558,26925,end
384057,-509607,23607,end
383406,-511359,25538,end
383309,-509920,25556,end
386057,-518063,23564,end
385201,-515899,24957,end
385501,-511261,23588,end
385606,-510809,21873,end
383421,-509965,23843,end
383872,-517219,25534,end
383764,-514742,24978,end
383016,-515055,26927,end
384064,-510104,23609,end
383413,-511856,25540,end
383316,-510417,25558,end
385067,-526367,25763,end
385367,-521729,24394,end
382882,-525523,27733,end
383182,-520885,26364,end
383279,-522324,26346,end
387570,-528462,21839,end
386900,-527002,23539,end
384715,-526158,25509,end
386171,-517121,23550,end
386177,-517604,23549,end
386184,-518101,23551,end
386841,-518581,21850,end
383986,-516277,25520,end
383992,-516760,25519,end
383999,-517257,25521,end
387337,-528412,21840,end
386667,-526952,23540,end
384482,-526108,25510,end
385938,-517071,23551,end
386608,-518531,21851,end
383753,-516227,25521,end
386942,-527100,23550,end
387271,-528201,21757,end
386086,-524936,24943,end
386483,-521737,23556,end
386386,-520298,23574,end
384649,-523779,24964,end
383901,-524092,26913,end
384757,-526256,25520,end
384201,-519454,25544,end
384298,-520893,25526,end
384385,-521326,24974,end
384401,-521488,24973,end
384418,-521656,24973,end
384083,-525185,25821,end
382200,-520482,26944,end
382216,-520644,26943,end
382233,-520812,26943,end
381898,-524341,27791,end
383026,-518534,26326,end
383040,-506118,23747,end
383147,-507086,25519,end
383252,-506634,23804,end
383476,-508187,23726,end
383817,-508546,23819,end
383046,-506601,23746,end
383153,-507569,25518,end
383160,-508066,25520,end
383823,-509029,23818,end
383258,-507117,23803,end
383265,-507614,23805,end
383830,-509526,23820,end
385225,-506962,21777,end
385231,-507445,21776,end
386002,-509390,21849,end
385437,-507478,21834,end
385661,-509031,21756,end
385332,-507930,23549,end
386008,-509873,21848,end
386015,-510370,21850,end
385443,-507961,21833,end
385338,-508413,23548,end
385345,-508910,23550,end
385450,-508458,21835,end
382807,-506068,23748,end
383584,-508496,23820,end
383597,-509476,23821,end
383019,-506584,23805,end
382914,-507036,25520,end
382927,-508016,25521,end
384992,-506912,21778,end
384594,-506911,21777,end
384701,-507879,23549,end
384806,-507427,21834,end
385371,-509339,21849,end
385099,-507880,23550,end
385204,-507428,21835,end
385769,-509340,21850,end
385112,-508860,23551,end
385782,-510320,21851,end
380929,-502341,21863,end
380717,-501825,21806,end
381023,-502387,21865,end
380811,-501871,21808,end
383126,-503351,21807,end
383233,-504319,23579,end
383338,-503867,21864,end
383903,-505779,21879,end
381118,-502430,21864,end
380906,-501914,21807,end
380923,-501977,21809,end
381017,-501959,21808,end
381339,-502508,23778,end
381360,-502120,21830,end
381455,-502161,21830,end
382087,-502195,21829,end
383524,-503352,21808,end
381135,-502493,21866,end
381229,-502475,21865,end
382116,-504936,23850,end
384301,-505780,21880,end
381446,-503476,25550,end
381551,-503024,23835,end
381775,-504577,23757,end
381572,-502636,21887,end
381667,-502677,21887,end
382299,-502711,21886,end
383736,-503868,21865,end
383960,-505421,21787,end
381562,-503129,23602,end
382194,-503163,23601,end
383631,-504320,23580,end
381355,-502670,23777,end
381372,-502838,23777,end
382103,-502357,21828,end
383540,-503514,21807,end
382120,-502525,21828,end
383557,-503682,21807,end
381462,-503638,25549,end
381567,-503186,23834,end
381791,-504739,23756,end
382132,-505098,23849,end
384317,-505942,21879,end
382315,-502873,21885,end
383752,-504030,21864,end
383976,-505583,21786,end
382210,-503325,23600,end
383647,-504482,23579,end
381144,-507335,26397,end
381479,-503806,25549,end
382227,-503493,23600,end
383664,-504650,23579,end
381892,-507022,24448,end
383329,-508179,24427,end
381584,-503354,23834,end
381808,-504907,23756,end
382149,-505266,23849,end
384334,-506110,21879,end
382332,-503041,21885,end
383769,-504198,21864,end
383993,-505751,21786,end
381459,-504456,25551,end
381564,-504004,23836,end
382129,-505916,23851,end
382207,-504143,23602,end
383644,-505300,23581,end
384314,-506760,21881,end
382312,-503691,21887,end
383749,-504848,21866,end
381475,-504618,25550,end
382223,-504305,23601,end
383660,-505462,23580,end
381580,-504166,23835,end
382145,-506078,23850,end
384330,-506922,21880,end
382328,-503853,21886,end
383765,-505010,21865,end
381023,-518783,27204,end
381150,-507818,26396,end
381485,-504289,25548,end
381492,-504786,25550,end
381157,-508315,26398,end
382233,-503976,23599,end
383670,-505133,23578,end
383335,-508662,24426,end
383677,-505630,23580,end
382240,-504473,23601,end
383342,-509159,24428,end
381590,-503837,23833,end
382155,-505749,23848,end
384340,-506593,21878,end
382338,-503524,21884,end
383775,-504681,21863,end
381597,-504334,23835,end
382162,-506246,23850,end
384347,-507090,21880,end
382345,-504021,21886,end
383782,-505178,21865,end
387711,-528547,21854,end
384670,-525539,25217,end
386855,-526383,23247,end
387252,-523184,21860,end
387155,-521745,21878,end
387573,-528668,21856,end
384532,-525660,25219,end
386717,-526504,23249,end
387017,-521866,21880,end
383835,-510330,23788,end
383856,-510637,23791,end
383941,-515658,25228,end
384338,-512459,23841,end
384241,-511020,23859,end
383947,-516141,25227,end
384344,-512942,23840,end
384247,-511503,23858,end
384351,-513439,23842,end
384254,-512000,23860,end
386982,-518666,21865,end
386041,-511481,21821,end
386523,-513303,21871,end
386126,-516502,23258,end
386426,-511864,21889,end
386988,-519149,21864,end
386995,-519646,21866,end
386529,-513786,21870,end
386132,-516985,23257,end
386432,-512347,21888,end
386020,-511174,21818,end
386536,-514283,21872,end
386439,-512844,21890,end
387478,-528497,21855,end
386524,-521694,21878,end
386922,-521695,21879,end
384437,-525489,25218,end
386622,-526333,23248,end
383708,-515608,25229,end
384299,-525610,25220,end
384008,-510970,23860,end
384021,-511950,23861,end
385893,-516452,23259,end
386484,-526454,23250,end
386749,-518616,21866,end
386762,-519596,21867,end
387340,-528618,21857,end
386784,-521816,21881,end
385795,-511813,21889,end
386193,-511814,21890,end
386206,-512794,21891,end
386884,-527006,23549,end
386028,-524842,24942,end
386425,-521643,23555,end
386328,-520204,23573,end
387554,-528466,21849,end
386998,-521664,21873,end
386698,-526302,23242,end
386155,-517125,23560,end
386161,-517608,23559,end
386168,-518105,23561,end
386825,-518585,21860,end
385178,-526409,25760,end
385575,-523210,24373,end
385478,-521771,24391,end
385696,-511762,23566,end
385299,-514961,24953,end
385599,-510323,23584,end
385305,-515444,24952,end
385312,-515941,24954,end
385702,-512245,23565,end
385605,-510806,23583,end
385709,-512742,23567,end
385612,-511303,23585,end
385801,-511310,21851,end
385969,-516421,23253,end
386269,-511783,21884,end
385704,-509871,21869,end
385710,-510354,21868,end
385717,-510851,21870,end
386651,-526956,23550,end
