Crit0,Crit1,Crit2,end
358222,-387148,32622,end
358222,-387148,32625,end
358222,-387102,32622,end
358222,-387102,32626,end
360878,-387905,32677,end
358251,-387819,32601,end
358251,-387819,32619,end
358270,-387572,32649,end
358270,-387572,32650,end
358270,-387572,32653,end
361335,-387883,32673,end
358281,-387865,32631,end
358281,-387865,32635,end
358281,-387486,32624,end
358281,-387486,32629,end
358281,-387439,32625,end
358281,-387439,32627,end
358281,-387439,32630,end
358316,-387946,33834,end
358316,-387946,33854,end
358316,-387946,33904,end
360878,-387905,32693,end
361335,-387883,32674,end
361335,-387883,32693,end
361077,-387859,32672,end
361077,-387859,32693,end
358316,-387716,32629,end
358316,-387716,32634,end
358316,-387660,32630,end
358316,-387660,32634,end
359132,-387077,32714,end
359132,-387077,32718,end
359060,-387051,32714,end
359060,-387051,32718,end
358988,-387019,32719,end
358988,-387019,32720,end
359924,-386997,32716,end
359924,-386997,32720,end
359852,-386981,32719,end
359852,-386981,32720,end
359780,-386976,32714,end
359780,-386976,32718,end
359780,-386976,32719,end
359354,-386842,32719,end
359354,-386842,32723,end
359850,-386827,32723,end
359850,-386827,32724,end
359282,-386814,32719,end
359282,-386814,32723,end
359282,-386814,32724,end
359922,-386814,32719,end
359922,-386814,32723,end
359922,-386814,32724,end
358791,-386812,32704,end
358791,-386812,32705,end
358719,-386795,32702,end
358719,-386795,32705,end
359211,-386785,32720,end
359211,-386785,32724,end
359211,-386785,32725,end
358647,-386784,32703,end
358647,-386784,32705,end
358672,-386612,32695,end
358672,-386612,32699,end
358672,-386612,32700,end
358600,-386584,32697,end
358600,-386584,32700,end
358610,-386584,32694,end
358610,-386584,32697,end
358610,-386584,32700,end
358529,-386554,32697,end
358529,-386554,32699,end
358539,-386554,32695,end
358539,-386554,32697,end
358539,-386554,32699,end
360878,-387905,32695,end
358316,-387946,33922,end
360878,-387905,32711,end
361335,-387883,32711,end
361077,-387859,32711,end
359132,-387077,32732,end
359132,-387077,32736,end
359060,-387051,32736,end
358988,-387019,32737,end
358988,-387019,32738,end
359924,-386997,32734,end
359924,-386997,32738,end
359852,-386981,32733,end
359852,-386981,32737,end
359852,-386981,32738,end
359780,-386976,32736,end
359780,-386976,32737,end
359354,-386842,32737,end
359354,-386842,32741,end
359850,-386827,32741,end
359850,-386827,32742,end
359282,-386814,32737,end
359282,-386814,32741,end
359282,-386814,32742,end
359922,-386814,32741,end
359922,-386814,32742,end
359211,-386785,32738,end
359211,-386785,32742,end
359211,-386785,32743,end
358647,-386784,32721,end
358647,-386784,32723,end
358672,-386612,32713,end
358672,-386612,32717,end
358672,-386612,32718,end
358600,-386584,32715,end
358600,-386584,32718,end
358610,-386584,32712,end
358610,-386584,32715,end
358610,-386584,32718,end
358529,-386554,32715,end
358529,-386554,32717,end
358539,-386554,32713,end
358539,-386554,32715,end
358539,-386554,32717,end
361908,-387911,32673,end
361908,-387911,32675,end
361908,-387911,32697,end
353398,-387886,33623,end
353398,-387886,33753,end
356064,-387075,32747,end
356064,-387075,32751,end
356191,-387072,32750,end
356318,-387072,32745,end
356318,-387072,32749,end
356466,-386941,32746,end
356466,-386941,32750,end
356594,-386937,32749,end
356339,-386930,32751,end
354913,-386897,32745,end
354913,-386897,32749,end
354786,-386866,32750,end
354658,-386833,32751,end
353554,-386706,32726,end
353576,-386706,32722,end
353576,-386706,32726,end
353426,-386662,32726,end
353449,-386662,32722,end
353449,-386662,32726,end
353299,-386616,32725,end
353299,-386616,32726,end
353321,-386616,32722,end
353321,-386616,32725,end
353321,-386616,32726,end
359346,-387952,33830,end
359346,-387952,33900,end
362365,-387889,32669,end
362365,-387889,32689,end
362107,-387865,32668,end
362107,-387865,32689,end
360162,-387083,32710,end
360162,-387083,32714,end
360090,-387057,32714,end
360018,-387025,32715,end
360018,-387025,32716,end
360954,-387003,32712,end
360954,-387003,32716,end
360882,-386987,32711,end
360882,-386987,32715,end
360882,-386987,32716,end
360810,-386982,32714,end
360810,-386982,32715,end
360384,-386848,32715,end
360384,-386848,32719,end
360880,-386833,32715,end
360880,-386833,32719,end
360880,-386833,32720,end
360312,-386820,32715,end
360312,-386820,32719,end
360312,-386820,32720,end
360952,-386820,32719,end
360952,-386820,32720,end
359749,-386801,32695,end
359749,-386801,32698,end
359749,-386801,32701,end
360241,-386791,32716,end
360241,-386791,32720,end
360241,-386791,32721,end
359677,-386790,32699,end
359677,-386790,32701,end
359702,-386618,32691,end
359702,-386618,32695,end
359702,-386618,32696,end
359630,-386590,32693,end
359630,-386590,32696,end
359640,-386590,32690,end
359640,-386590,32693,end
359640,-386590,32696,end
359559,-386560,32691,end
359559,-386560,32693,end
359559,-386560,32695,end
359569,-386560,32691,end
359569,-386560,32693,end
359569,-386560,32695,end
361908,-387911,32713,end
359346,-387952,33924,end
362365,-387889,32693,end
362365,-387889,32713,end
362107,-387865,32692,end
362107,-387865,32713,end
360162,-387083,32734,end
360162,-387083,32738,end
360090,-387057,32738,end
360018,-387025,32739,end
360018,-387025,32740,end
360954,-387003,32736,end
360954,-387003,32740,end
360882,-386987,32739,end
360882,-386987,32740,end
360810,-386982,32738,end
360810,-386982,32739,end
360384,-386848,32739,end
360384,-386848,32743,end
360880,-386833,32743,end
360880,-386833,32744,end
360312,-386820,32739,end
360312,-386820,32743,end
360312,-386820,32744,end
360952,-386820,32743,end
360952,-386820,32744,end
359749,-386801,32722,end
359749,-386801,32725,end
360241,-386791,32740,end
360241,-386791,32744,end
360241,-386791,32745,end
359677,-386790,32721,end
359677,-386790,32723,end
359677,-386790,32725,end
359702,-386618,32715,end
359702,-386618,32719,end
359702,-386618,32720,end
359630,-386590,32714,end
359630,-386590,32717,end
359630,-386590,32720,end
359640,-386590,32714,end
359640,-386590,32717,end
359640,-386590,32720,end
359559,-386560,32717,end
359559,-386560,32719,end
359569,-386560,32715,end
359569,-386560,32717,end
359569,-386560,32719,end
353398,-387886,33769,end
356064,-387075,32763,end
356064,-387075,32767,end
356191,-387072,32766,end
356318,-387072,32761,end
356318,-387072,32765,end
356466,-386941,32762,end
356466,-386941,32766,end
356594,-386937,32765,end
356339,-386930,32767,end
354913,-386897,32761,end
354913,-386897,32765,end
354786,-386866,32766,end
354658,-386833,32767,end
353554,-386706,32742,end
353576,-386706,32738,end
353576,-386706,32742,end
353426,-386662,32742,end
353449,-386662,32738,end
353449,-386662,32742,end
353299,-386616,32741,end
353299,-386616,32742,end
353321,-386616,32738,end
353321,-386616,32741,end
353321,-386616,32742,end
358198,-387938,33821,end
358198,-387938,33841,end
358198,-387938,33891,end
360959,-387851,32659,end
360959,-387851,32680,end
358411,-386546,32684,end
358411,-386546,32686,end
358421,-386546,32682,end
358421,-386546,32684,end
358421,-386546,32686,end
360959,-387851,32691,end
358198,-387938,33923,end
360959,-387851,32712,end
359093,-386777,32739,end
359093,-386777,32743,end
359093,-386777,32744,end
358529,-386776,32722,end
358529,-386776,32724,end
358411,-386546,32716,end
358411,-386546,32718,end
358421,-386546,32714,end
358421,-386546,32716,end
358421,-386546,32718,end
353855,-387864,33619,end
353855,-387864,33699,end
353855,-387864,33749,end
356648,-387050,32746,end
356923,-386919,32746,end
356796,-386908,32747,end
355243,-386844,32746,end
355115,-386811,32747,end
354011,-386684,32722,end
354033,-386684,32722,end
353883,-386640,32722,end
353906,-386640,32722,end
353756,-386594,32721,end
353756,-386594,32722,end
353778,-386594,32721,end
353778,-386594,32722,end
350501,-387933,33809,end
350714,-386541,32602,end
350714,-386541,32604,end
350724,-386541,32600,end
350724,-386541,32602,end
350724,-386541,32604,end
350714,-386541,32622,end
350501,-387933,33829,end
350714,-386541,32624,end
350724,-386541,32620,end
350724,-386541,32622,end
350724,-386541,32624,end
350836,-387927,34780,end
350836,-387927,34850,end
350801,-387846,33577,end
350801,-387846,33581,end
353597,-387840,33618,end
353597,-387840,33639,end
350771,-387800,33547,end
350771,-387800,33558,end
350771,-387800,33565,end
