Crit0,Crit1,Crit2,end
362365,-387889,32734,end
359346,-387952,33945,end
350836,-387927,35001,end
353904,-386982,33998,end
354032,-386978,33997,end
353777,-386971,33999,end
360954,-387003,32761,end
360952,-386820,32765,end
360241,-386791,32766,end
354672,-385810,32820,end
355383,-385839,32819,end
355510,-385850,32818,end
355638,-385846,32817,end
357351,-385902,33907,end
360370,-385839,32696,end
360112,-385815,32696,end
358957,-384770,32727,end
358246,-384741,32728,end
357682,-384740,32708,end
357707,-384568,32703,end
357645,-384540,32703,end
357574,-384510,32702,end
356321,-385896,33905,end
357216,-384735,32726,end
356544,-384504,32700,end
356203,-385888,33906,end
348841,-385877,34963,end
351909,-384932,33960,end
352037,-384928,33959,end
351782,-384921,33961,end
350356,-384888,33959,end
350229,-384857,33960,end
350101,-384824,33961,end
349019,-384697,33936,end
348892,-384653,33936,end
348764,-384607,33936,end
357098,-384727,32727,end
356534,-384726,32707,end
356426,-384496,32701,end
352005,-383529,32756,end
348987,-383215,32731,end
349242,-383305,32731,end
349115,-383261,32731,end
350579,-383496,32754,end
352260,-383536,32754,end
352132,-383540,32755,end
350452,-383465,32755,end
350324,-383432,32756,end
352076,-383559,32757,end
349058,-383245,32732,end
349186,-383291,32732,end
349313,-383335,32732,end
350395,-383462,32757,end
350523,-383495,32756,end
350650,-383526,32755,end
352203,-383570,32756,end
352331,-383566,32755,end
352113,-383759,32762,end
352138,-383587,32757,end
352677,-383760,32782,end
353388,-383789,32781,end
350432,-383662,32762,end
349120,-383273,32732,end
349659,-383446,32757,end
350457,-383490,32757,end
352265,-383598,32756,end
352393,-383594,32755,end
350585,-383523,32756,end
349375,-383363,32732,end
349248,-383319,32732,end
350996,-383663,32782,end
351707,-383692,32781,end
349736,-384716,33784,end
350447,-384745,33783,end
352804,-383771,32781,end
352932,-383767,32780,end
351835,-383725,32780,end
351962,-383756,32779,end
353515,-383800,32780,end
353643,-383796,32779,end
357394,-385952,33905,end
348884,-385927,34961,end
352080,-384978,33957,end
349062,-384747,33934,end
360413,-385889,32694,end
357750,-384618,32701,end
359000,-384820,32725,end
350490,-384795,33781,end
353686,-383846,32777,end
352436,-383644,32753,end
349418,-383413,32730,end
357436,-386004,33907,end
357798,-386195,33960,end
357840,-386242,33957,end
357883,-386292,33955,end
357994,-387753,34799,end
358260,-386374,33954,end
358345,-386364,33953,end
359211,-387875,33945,end
360455,-385941,32696,end
359044,-385055,32723,end
359042,-384872,32727,end
358331,-384843,32728,end
357792,-384670,32703,end
357730,-384642,32703,end
360817,-386132,32749,end
360859,-386179,32746,end
360902,-386229,32744,end
361013,-387690,33588,end
361279,-386311,32743,end
361364,-386301,32742,end
362230,-387812,32734,end
360559,-386108,32749,end
360755,-387666,33588,end
361972,-387788,32734,end
361021,-386287,32743,end
361106,-386277,32742,end
359404,-385063,32780,end
358693,-385034,32781,end
358129,-385033,32761,end
358154,-384861,32756,end
358092,-384833,32756,end
358021,-384803,32755,end
359446,-385110,32777,end
358196,-384908,32753,end
359489,-385160,32775,end
358239,-384958,32751,end
359602,-386804,33615,end
359953,-385415,32769,end
359600,-386621,33619,end
358889,-386592,33620,end
358350,-386419,33595,end
358217,-386361,33594,end
360817,-386743,32765,end
360106,-386714,32766,end
359866,-385242,32774,end
358554,-385012,32750,end
358483,-384982,32749,end
359951,-385232,32773,end
358701,-385030,32749,end
358639,-385002,32749,end
358568,-384972,32748,end
348926,-385979,34963,end
351994,-385034,33960,end
352122,-385030,33959,end
351867,-385023,33961,end
349104,-384799,33936,end
350532,-384847,33783,end
349821,-384818,33784,end
353473,-383891,32781,end
352223,-383689,32757,end
352161,-383661,32757,end
353600,-383902,32780,end
352350,-383700,32756,end
352288,-383672,32756,end
353730,-384081,32775,end
353728,-383898,32779,end
352478,-383696,32755,end
352416,-383668,32755,end
356964,-387747,34797,end
356768,-386189,33958,end
359725,-387660,33586,end
357663,-385028,32779,end
356991,-384797,32753,end
356650,-386181,33959,end
356846,-387739,34798,end
357545,-385020,32780,end
356981,-385019,32760,end
356873,-384789,32754,end
359607,-387652,33587,end
349288,-386170,35016,end
349330,-386217,35013,end
349373,-386267,35011,end
349484,-387728,35855,end
350701,-387850,35001,end
349750,-386349,35010,end
349835,-386339,35009,end
352356,-385225,34013,end
352552,-386783,34852,end
353769,-386905,33998,end
352818,-385404,34007,end
352903,-385394,34006,end
352484,-385221,34012,end
352229,-385214,34014,end
350803,-385181,34012,end
350676,-385150,34013,end
350548,-385117,34014,end
349466,-384990,33989,end
349339,-384946,33989,end
349211,-384900,33989,end
352526,-385268,34009,end
352569,-385318,34007,end
353897,-386901,33997,end
352680,-386779,34851,end
352946,-385400,34006,end
353031,-385390,34005,end
349508,-385037,33986,end
353642,-386894,33999,end
352425,-386772,34853,end
352691,-385393,34008,end
352776,-385383,34007,end
349551,-385087,33984,end
350999,-386739,34851,end
350872,-386708,34852,end
350744,-386675,34853,end
349673,-385079,33983,end
349886,-385115,33982,end
349758,-385069,33982,end
351090,-386596,34675,end
350379,-386567,34676,end
349840,-386394,34651,end
349582,-384808,33812,end
349707,-386336,34650,end
355248,-385762,32819,end
355375,-385773,32818,end
355503,-385769,32817,end
354664,-385744,32819,end
354792,-385740,32818,end
355837,-385341,32796,end
355922,-385331,32795,end
355375,-385162,32802,end
355965,-385337,32795,end
356050,-385327,32794,end
355588,-385255,32796,end
355545,-385205,32798,end
355503,-385158,32801,end
355710,-385330,32797,end
355795,-385320,32796,end
355248,-385151,32803,end
355664,-385307,32795,end
355117,-385138,32802,end
355707,-385313,32795,end
355792,-385303,32794,end
355245,-385134,32801,end
354990,-385127,32803,end
353962,-384093,32833,end
353251,-384064,32834,end
352712,-383891,32809,end
352650,-383863,32809,end
352579,-383833,32808,end
354158,-385651,33672,end
354424,-384272,32827,end
354509,-384262,32826,end
353447,-385622,33673,end
353112,-384042,32803,end
353197,-384032,32802,end
353041,-384012,32802,end
353126,-384002,32801,end
354288,-385830,33667,end
354639,-384441,32821,end
354090,-384089,32832,end
353379,-384060,32833,end
352840,-383887,32808,end
352778,-383859,32808,end
352707,-383829,32807,end
354132,-384136,32829,end
352882,-383934,32805,end
354175,-384186,32827,end
352925,-383984,32803,end
354286,-385647,33671,end
354552,-384268,32826,end
354637,-384258,32825,end
353575,-385618,33672,end
353036,-385445,33647,end
353387,-384056,32801,end
353240,-384038,32802,end
353325,-384028,32801,end
353169,-384008,32801,end
353254,-383998,32800,end
352903,-385387,33646,end
353835,-384082,32834,end
353124,-384053,32835,end
352560,-384052,32815,end
352585,-383880,32810,end
352523,-383852,32810,end
352452,-383822,32809,end
352409,-384049,32832,end
351097,-383819,32808,end
351026,-383789,32807,end
352282,-384018,32833,end
351032,-383816,32809,end
350970,-383788,32809,end
350899,-383758,32808,end
352154,-383985,32834,end
351443,-383956,32835,end
350879,-383955,32815,end
350904,-383783,32810,end
350842,-383755,32810,end
350771,-383725,32809,end
350106,-383739,32810,end
349822,-383656,32785,end
349760,-383628,32785,end
349689,-383598,32784,end
349695,-383612,32785,end
349633,-383584,32785,end
349562,-383554,32784,end
349567,-383566,32785,end
349505,-383538,32785,end
349434,-383508,32784,end
354031,-385640,33673,end
354297,-384261,32828,end
354382,-384251,32827,end
353320,-385611,33674,end
352648,-385380,33648,end
353132,-384049,32803,end
352985,-384031,32804,end
353070,-384021,32803,end
352999,-383991,32802,end
349865,-382233,32586,end
349780,-382131,32586,end
349849,-382155,32587,end
349807,-382103,32585,end
349764,-382053,32587,end
349053,-382024,32588,end
348514,-381851,32563,end
348599,-381953,32563,end
348557,-381901,32561,end
348452,-381823,32563,end
348537,-381925,32563,end
348381,-381793,32562,end
349158,-385985,34722,end
349175,-385972,34719,end
349141,-385962,34719,end
348980,-385951,34743,end
348963,-385865,34745,end
348946,-385779,34744,end
348884,-385706,34726,end
348853,-385605,34672,end
348834,-385187,34670,end
348817,-385114,34669,end
348801,-385036,34670,end
349424,-384606,33877,end
349509,-384596,33876,end
349441,-384593,33874,end
349526,-384583,33873,end
349407,-384583,33874,end
349229,-384486,33900,end
349212,-384400,33899,end
349150,-384327,33881,end
349119,-384226,33827,end
349100,-383808,33825,end
349067,-383657,33825,end
349492,-384573,33873,end
349331,-384562,33897,end
349314,-384476,33899,end
349297,-384390,33898,end
349235,-384317,33880,end
349204,-384216,33826,end
349185,-383798,33824,end
349168,-383725,33823,end
349152,-383647,33824,end
348784,-384393,33904,end
348767,-384307,33906,end
348852,-384404,33901,end
348809,-384354,33903,end
348405,-384116,33853,end
348320,-384014,33853,end
348750,-384221,33905,end
348835,-384318,33900,end
348792,-384268,33902,end
348388,-384030,33852,end
348346,-383978,33850,end
348303,-383928,33852,end
348773,-384245,33882,end
348742,-384144,33828,end
348723,-383726,33826,end
348706,-383653,33825,end
348690,-383575,33826,end
348688,-384148,33887,end
348730,-384195,33884,end
348284,-383905,33832,end
348326,-383957,33834,end
348241,-383855,33834,end
348699,-384094,33830,end
348680,-383676,33828,end
348663,-383603,33827,end
348647,-383525,33828,end
348657,-384047,33833,end
348638,-383629,33831,end
348276,-383438,33778,end
348621,-383556,33830,end
348259,-383365,33777,end
348174,-383263,33777,end
348605,-383478,33831,end
348243,-383287,33778,end
348201,-383235,33776,end
348158,-383185,33778,end
350442,-384238,33486,end
350764,-384853,33542,end
350747,-384830,33539,end
350781,-384840,33539,end
350586,-384819,33563,end
350569,-384733,33565,end
350552,-384647,33564,end
350490,-384574,33546,end
350459,-384473,33492,end
350440,-384055,33490,end
350423,-383982,33489,end
350407,-383904,33490,end
349858,-384704,33566,end
349319,-384531,33541,end
349841,-384618,33565,end
349779,-384545,33547,end
349748,-384444,33493,end
349729,-384026,33491,end
349696,-383875,33491,end
349302,-384445,33540,end
349240,-384372,33522,end
349190,-383853,33466,end
349173,-383780,33465,end
349157,-383702,33466,end
349024,-383644,33465,end
351295,-383375,32567,end
351640,-383493,32619,end
351278,-383302,32566,end
351193,-383200,32566,end
351709,-383512,32615,end
351666,-383462,32617,end
351624,-383415,32620,end
351262,-383224,32567,end
351220,-383172,32565,end
351177,-383122,32567,end
351030,-383474,32697,end
351115,-383464,32696,end
351047,-383461,32694,end
351132,-383451,32693,end
351013,-383451,32694,end
350835,-383354,32720,end
350818,-383268,32719,end
350756,-383195,32701,end
349444,-382965,32677,end
349373,-382935,32676,end
350725,-383094,32647,end
350706,-382676,32645,end
350673,-382525,32645,end
349361,-382295,32621,end
349290,-382265,32620,end
351366,-383391,32620,end
350919,-383098,32567,end
351098,-383441,32693,end
350937,-383430,32717,end
350390,-383261,32724,end
350920,-383344,32719,end
350903,-383258,32718,end
350841,-383185,32700,end
349591,-382983,32676,end
349529,-382955,32676,end
349458,-382925,32675,end
350793,-382849,32640,end
350810,-383084,32646,end
350791,-382666,32644,end
350774,-382593,32643,end
350758,-382515,32644,end
349508,-382313,32620,end
349446,-382285,32620,end
349375,-382255,32619,end
350458,-383272,32721,end
350373,-383175,32726,end
350415,-383222,32723,end
349926,-382882,32673,end
350011,-382984,32673,end
349662,-383146,32727,end
349215,-382853,32674,end
349123,-382973,32702,end
349061,-382945,32702,end
350211,-382346,32648,end
349500,-382317,32649,end
348936,-382316,32629,end
348961,-382144,32624,end
348899,-382116,32624,end
348828,-382086,32623,end
350356,-383089,32725,end
350441,-383186,32720,end
350398,-383136,32722,end
349994,-382898,32672,end
349952,-382846,32670,end
349909,-382796,32672,end
349645,-383060,32726,end
349283,-382869,32673,end
349198,-382767,32673,end
349191,-382984,32696,end
349148,-382934,32698,end
349106,-382887,32701,end
349044,-382859,32701,end
348973,-382829,32700,end
350379,-383113,32702,end
349129,-382911,32678,end
350294,-383016,32707,end
349583,-382987,32708,end
349044,-382814,32683,end
348982,-382786,32683,end
348911,-382756,32682,end
349847,-382723,32654,end
350336,-383063,32704,end
349932,-382825,32654,end
349890,-382773,32652,end
349136,-382694,32655,end
349086,-382861,32680,end
