Reached Exception after 7425903 millisecondsThe pareto front has 535 solutions : Crit0=362365,Crit1=-387889,Crit2=32734,end
UG_728=341, Crit0:1940,Crit1:-10864,Crit2:177,end
UG_731=341, Crit0:1893,Crit1:-2711,Crit2:200,end
UG_732=351, Crit0:2377,Crit1:-3401,Crit2:170,end
UG_733=5001, Crit0:7498,Crit1:-5030,Crit2:59,end
UG_734=5001, Crit0:2221,Crit1:-4150,Crit2:56,end
UG_735=201, Crit0:6559,Crit1:-9429,Crit2:200,end
UG_736=107001, Crit0:464,Crit1:-7201,Crit2:197,end
UG_737=11, Crit0:1926,Crit1:-1838,Crit2:183,end
UG_738=191, Crit0:1881,Crit1:-3056,Crit2:184,end
UG_739=197003, Crit0:2642,Crit1:-3039,Crit2:247,end
UG_740=201, Crit0:3033,Crit1:-2953,Crit2:179,end
UG_741=191, Crit0:5206,Crit1:-2774,Crit2:180,end
UG_742=191, Crit0:2192,Crit1:-3060,Crit2:167,end
UG_743=191, Crit0:1061,Crit1:-3061,Crit2:165,end
UG_744=12, Crit0:2273,Crit1:-2903,Crit2:196,end
UG_745=251, Crit0:3165,Crit1:-2790,Crit2:154,end
UG_746=5007001, Crit0:75,Crit1:-6395,Crit2:98,end
UG_747=5017001, Crit0:151,Crit1:-6498,Crit2:128,end
UG_757=341, Crit0:2580,Crit1:-3946,Crit2:152,end
UG_758=11, Crit0:5458,Crit1:-4110,Crit2:161,end
UG_759=351, Crit0:7562,Crit1:-3993,Crit2:171,end
UG_760=5001, Crit0:1921,Crit1:-3993,Crit2:60,end
UG_761=11, Crit0:5774,Crit1:-4229,Crit2:153,end
UG_762=341, Crit0:2960,Crit1:-3172,Crit2:200,end
UG_763=351, Crit0:7953,Crit1:-4638,Crit2:186,end
UG_764=361, Crit0:2367,Crit1:-7242,Crit2:194,end
UG_765=11, Crit0:13995,Crit1:-3590,Crit2:182,end
UG_766=361, Crit0:1395,Crit1:-8184,Crit2:172,end
UG_767=351, Crit0:8075,Crit1:-2511,Crit2:170,end
UG_790=191, Crit0:1992,Crit1:-1254,Crit2:142,end
UG_793=5031, Crit0:23,Crit1:-1607,Crit2:520,end
UG_794=5031, Crit0:202,Crit1:-1600,Crit2:550,end
UG_795=5031, Crit0:253,Crit1:-1586,Crit2:690,end
