Crit0,Crit1,Crit2,end
2292076,-2630676,99991,end
2292076,-2630676,99993,end
2292076,-2630676,99998,end
2292079,-2630676,99991,end
2292079,-2630676,99993,end
2292079,-2630676,99998,end
2292089,-2630778,99990,end
2292089,-2630778,99993,end
2292089,-2630778,100001,end
2292102,-2630884,99993,end
2292102,-2630884,99995,end
2292102,-2630884,100002,end
2292104,-2631134,99995,end
2292104,-2631134,99996,end
2292104,-2631134,100002,end
2292116,-2631213,99993,end
2292116,-2631213,99995,end
2292116,-2631213,100004,end
2292129,-2631191,99997,end
2292129,-2631191,100005,end
2292189,-2631516,100033,end
2292189,-2631516,100038,end
2292189,-2631516,100039,end
2292201,-2631609,100033,end
2292201,-2631609,100037,end
2292201,-2631609,100039,end
2292215,-2631701,100033,end
2292215,-2631701,100037,end
2292215,-2631701,100039,end
2292270,-2631632,100057,end
2292270,-2631632,100058,end
2292282,-2631727,100053,end
2292282,-2631727,100054,end
2292296,-2631818,100052,end
2292296,-2631818,100054,end
2292445,-2632005,100022,end
2292445,-2632005,100027,end
2292445,-2632005,100028,end
2292458,-2632063,100025,end
2292458,-2632063,100029,end
2292458,-2632063,100031,end
2292471,-2632018,100027,end
2292471,-2632018,100031,end
2292471,-2632018,100033,end
2292525,-2631516,100033,end
2292525,-2631516,100038,end
2292525,-2631516,100039,end
2292712,-2634023,100030,end
2292712,-2634023,100034,end
2292712,-2634023,100054,end
2292716,-2634159,100031,end
2292716,-2634159,100034,end
2292716,-2634159,100052,end
2292868,-2633761,99917,end
2292868,-2633769,99969,end
2292868,-2633769,99975,end
2292868,-2633769,99980,end
2292868,-2633761,99931,end
2292868,-2633266,99982,end
2292868,-2633266,99989,end
2292868,-2633266,99994,end
2293201,-2633687,99919,end
2293201,-2633687,99931,end
2293201,-2633687,99936,end
2293201,-2633654,99955,end
2293201,-2633654,99967,end
2293201,-2633654,99972,end
2293201,-2633460,99967,end
2293201,-2633460,99978,end
2293201,-2633460,99983,end
2293460,-2633717,99927,end
2293460,-2633717,99939,end
2293460,-2633425,99951,end
2293460,-2633425,99957,end
2293460,-2633425,99962,end
2293460,-2633366,99959,end
2293460,-2633366,99965,end
2293460,-2633366,99970,end
2293817,-2633654,99931,end
2293817,-2633654,99945,end
2293817,-2633161,100688,end
2293817,-2633161,100768,end
2293817,-2633161,100818,end
2293817,-2633152,99944,end
2293817,-2633152,99952,end
2293817,-2633152,99957,end
2292445,-2632005,100047,end
2292076,-2630676,100013,end
2292076,-2630676,100018,end
2292079,-2630676,100011,end
2292079,-2630676,100013,end
2292079,-2630676,100018,end
2292089,-2630778,100010,end
2292089,-2630778,100013,end
2292089,-2630778,100021,end
2292102,-2630884,100013,end
2292102,-2630884,100015,end
2292102,-2630884,100022,end
2292104,-2631134,100015,end
2292104,-2631134,100016,end
2292104,-2631134,100022,end
2292116,-2631213,100015,end
2292116,-2631213,100024,end
2292129,-2631191,100017,end
2292129,-2631191,100025,end
2292189,-2631516,100053,end
2292189,-2631516,100058,end
2292189,-2631516,100059,end
2292201,-2631609,100053,end
2292201,-2631609,100057,end
2292201,-2631609,100059,end
2292215,-2631701,100059,end
2292270,-2631632,100072,end
2292270,-2631632,100077,end
2292270,-2631632,100078,end
2292282,-2631727,100073,end
2292282,-2631727,100074,end
2292296,-2631818,100069,end
2292296,-2631818,100072,end
2292296,-2631818,100074,end
2292445,-2632005,100048,end
2292458,-2632063,100049,end
2292458,-2632063,100051,end
2292471,-2632018,100051,end
2292471,-2632018,100053,end
2292525,-2631516,100058,end
2292525,-2631516,100059,end
2293817,-2633161,100838,end
2293817,-2633152,99964,end
2293817,-2633152,99972,end
2293817,-2633152,99977,end
2290245,-2625634,100047,end
2290245,-2625634,100053,end
2290290,-2625864,100052,end
2290290,-2625864,100055,end
2290335,-2626086,100050,end
2290335,-2626086,100053,end
2290356,-2626923,100056,end
2290356,-2626923,100057,end
2290401,-2626811,100050,end
2290401,-2626811,100055,end
2290401,-2626811,100058,end
2290446,-2626897,100052,end
2290446,-2626897,100055,end
2290675,-2628637,100073,end
2290675,-2628637,100079,end
2290720,-2628846,100074,end
2290720,-2628846,100076,end
2290766,-2629063,100073,end
2290766,-2629063,100076,end
2290883,-2627119,100075,end
2290883,-2627119,100080,end
2290883,-2627119,100081,end
2290928,-2627346,100073,end
2290928,-2627346,100076,end
2290928,-2627346,100080,end
2290974,-2627567,100071,end
2290974,-2627567,100075,end
2290974,-2627567,100077,end
2291417,-2628116,100071,end
2291417,-2628116,100076,end
2291417,-2628116,100077,end
2291462,-2628040,100073,end
2291462,-2628040,100077,end
2291507,-2628096,100073,end
2291507,-2628096,100075,end
2292604,-2632156,99976,end
2292604,-2632156,99990,end
2292604,-2631524,99988,end
2292604,-2631524,100002,end
2292604,-2631272,99988,end
2292604,-2631272,99992,end
2292604,-2631272,100002,end
2292920,-2631659,99977,end
2292920,-2631769,99982,end
2292920,-2631659,99979,end
2292920,-2631659,99989,end
2292920,-2631524,99977,end
2292920,-2631524,99979,end
2292920,-2631524,99989,end
2293436,-2631197,100927,end
2293436,-2631197,101057,end
2293436,-2631188,99966,end
2293436,-2631188,99969,end
2293436,-2631188,99979,end
2293436,-2631183,99966,end
2293436,-2631183,99969,end
2293436,-2631183,99979,end
2291596,-2630670,99983,end
2291596,-2630670,99985,end
2291596,-2630670,99992,end
2291583,-2630564,99983,end
2291583,-2630564,99991,end
2291570,-2630462,99983,end
2291570,-2630462,99988,end
2291573,-2630462,99981,end
2291573,-2630462,99983,end
2291573,-2630462,99988,end
2291570,-2630462,100010,end
2291596,-2630670,100010,end
2291596,-2630670,100012,end
2291596,-2630670,100019,end
2291583,-2630564,100007,end
2291583,-2630564,100010,end
2291583,-2630564,100018,end
2291570,-2630462,100015,end
2291573,-2630462,100008,end
2291573,-2630462,100010,end
2291573,-2630462,100015,end
2293609,-2632788,100679,end
2293609,-2632788,100759,end
2293609,-2632788,100809,end
2293609,-2632779,99935,end
2293609,-2632779,99943,end
2293609,-2632779,99948,end
2291981,-2631143,100024,end
2291981,-2631143,100029,end
2291981,-2631143,100030,end
2292317,-2631143,100024,end
2292317,-2631143,100029,end
2292317,-2631143,100030,end
2291894,-2630511,99984,end
2291894,-2630511,99986,end
2291894,-2630511,99993,end
2291881,-2630405,99981,end
2291881,-2630405,99984,end
2291881,-2630405,99992,end
2291868,-2630303,99984,end
2291868,-2630303,99989,end
2291871,-2630303,99982,end
2291871,-2630303,99984,end
2291871,-2630303,99989,end
2292317,-2631143,100057,end
2293609,-2632788,100837,end
2293609,-2632779,99963,end
2293609,-2632779,99971,end
2293609,-2632779,99976,end
2291981,-2631143,100058,end
2292317,-2631143,100058,end
2291908,-2630840,100023,end
2291921,-2630818,100024,end
2291896,-2630761,100021,end
2291894,-2630511,100012,end
2291894,-2630511,100014,end
2291894,-2630511,100021,end
2291881,-2630405,100009,end
