Crit0,Crit1,Crit2,end
2291984,-2626121,100887,end
2291984,-2626112,100026,end
2290296,-2624151,100074,end
2290271,-2624094,100071,end
2290269,-2623844,100071,end
2290256,-2623738,100070,end
2290246,-2623636,100067,end
2294537,-2630199,101863,end
2294537,-2630185,100785,end
2292608,-2627098,100881,end
2292563,-2627042,100883,end
2292075,-2626569,100883,end
2292029,-2626348,100886,end
2291502,-2625813,100864,end
2291436,-2625088,100859,end
2291391,-2624866,100861,end
2291346,-2624636,100859,end
2290054,-2622991,100080,end
2293245,-2628554,101084,end
2293245,-2628540,100006,end
2290210,-2624168,100085,end
2290144,-2623443,100080,end
2290099,-2623221,100082,end
2294537,-2630190,101002,end
2293016,-2628856,101099,end
2293002,-2628765,101099,end
2292990,-2628670,101103,end
2292849,-2628229,101050,end
2292824,-2628172,101047,end
2292822,-2627922,101047,end
2292809,-2627816,101046,end
2292799,-2627714,101043,end
2291346,-2624627,99998,end
2294537,-2630176,99924,end
2292608,-2627089,100020,end
2292563,-2627033,100022,end
2292075,-2626560,100022,end
2292029,-2626339,100025,end
2291502,-2625804,100003,end
2291436,-2625079,99998,end
2291391,-2624857,100000,end
2292849,-2628215,99972,end
2292824,-2628158,99969,end
2292822,-2627908,99969,end
2292809,-2627802,99968,end
2292799,-2627700,99965,end
2289825,-2623293,100095,end
2289811,-2623202,100095,end
2289799,-2623107,100099,end
2289658,-2622666,100046,end
2289631,-2622359,100043,end
2289618,-2622253,100042,end
2289608,-2622151,100039,end
2290314,-2624071,100070,end
2290301,-2623965,100069,end
2290291,-2623863,100066,end
2289844,-2623337,100101,end
2289676,-2622589,100045,end
2289663,-2622483,100044,end
2289653,-2622381,100041,end
2290347,-2624186,100066,end
2290337,-2624084,100063,end
2289708,-2622705,100042,end
2289698,-2622603,100039,end
2284814,-2619011,100164,end
2288914,-2624618,101900,end
2285768,-2619285,100898,end
2285723,-2619055,100896,end
2287201,-2622591,101084,end
2287226,-2622648,101087,end
2287199,-2622341,101084,end
2287186,-2622235,101083,end
2287176,-2622133,101080,end
2284035,-2617085,100083,end
2284008,-2616778,100080,end
2283995,-2616672,100079,end
2283985,-2616570,100076,end
2284030,-2616800,100078,end
2284053,-2617008,100082,end
2284040,-2616902,100081,end
2284551,-2617546,100116,end
2284596,-2617776,100118,end
2289034,-2624754,101899,end
2287346,-2622784,101086,end
2287319,-2622477,101083,end
2287306,-2622371,101082,end
2287296,-2622269,101079,end
2285888,-2619421,100897,end
2285843,-2619191,100895,end
2284128,-2616914,100079,end
2284115,-2616808,100078,end
2284105,-2616706,100075,end
2284173,-2617144,100081,end
2284160,-2617038,100080,end
2284150,-2616936,100077,end
2292866,-2628340,101087,end
2292866,-2628326,100009,end
2292445,-2627958,101050,end
2289299,-2622625,100048,end
2289229,-2621937,100042,end
2292420,-2627500,101046,end
2290491,-2624399,100064,end
2290446,-2624343,100066,end
2289274,-2622167,100044,end
2294158,-2629985,101866,end
2294158,-2629976,101005,end
2292637,-2628642,101102,end
2292623,-2628551,101102,end
2292611,-2628456,101106,end
2292470,-2628015,101053,end
2292443,-2627708,101050,end
2292430,-2627602,101049,end
2294158,-2629971,100788,end
2292229,-2626884,100884,end
2292184,-2626828,100886,end
2291168,-2625685,100864,end
2291123,-2625599,100867,end
2291057,-2624874,100862,end
2291012,-2624652,100864,end
2290967,-2624422,100862,end
2294158,-2629962,99927,end
2290967,-2624413,100001,end
2292229,-2626875,100023,end
2292184,-2626819,100025,end
2289279,-2622452,100049,end
2289252,-2622145,100046,end
2289239,-2622039,100045,end
2289324,-2622682,100051,end
2289297,-2622375,100048,end
2289284,-2622269,100047,end
2289342,-2622597,100046,end
2289329,-2622491,100045,end
2288256,-2620341,100916,end
2286709,-2618812,100156,end
2286964,-2618696,100137,end
2286568,-2618371,100103,end
2286541,-2618064,100100,end
2286528,-2617958,100099,end
