Crit0,Crit1,Crit2,end
2799138,-2457642,152999,end
2794257,-2457606,152910,end
2794201,-2457476,152957,end
2794201,-2457476,152962,end
2794201,-2457476,152965,end
2794202,-2457015,152953,end
2794202,-2457015,152957,end
2794202,-2457015,152961,end
2794202,-2456980,152954,end
2794202,-2456980,152958,end
2794202,-2456980,152962,end
2794257,-2457606,152918,end
2794257,-2457606,152922,end
2799138,-2457642,153016,end
2794329,-2457667,154097,end
2794329,-2457667,154137,end
2794329,-2457667,154157,end
2794329,-2457433,152955,end
2794329,-2457433,152960,end
2794329,-2457433,152963,end
2794329,-2457377,152955,end
2794329,-2457377,152960,end
2794329,-2457377,152964,end
2794888,-2456310,153041,end
2794907,-2456310,153041,end
2794749,-2456280,153041,end
2794768,-2456280,153041,end
2796039,-2456809,153057,end
2796039,-2456809,153058,end
2795901,-2456783,153054,end
2795901,-2456783,153058,end
2795762,-2456754,153055,end
2795762,-2456754,153059,end
2797386,-2456718,153057,end
2797386,-2456718,153061,end
2797247,-2456704,153058,end
2797247,-2456704,153062,end
2797108,-2456698,153059,end
2797108,-2456698,153063,end
2796313,-2456565,153057,end
2796313,-2456565,153061,end
2797240,-2456551,153059,end
2797240,-2456551,153063,end
2796174,-2456538,153058,end
2796174,-2456538,153062,end
2797379,-2456538,153058,end
2797379,-2456538,153062,end
2795251,-2456535,153046,end
2795251,-2456535,153050,end
2795112,-2456519,153046,end
2795112,-2456519,153050,end
2795112,-2456519,153052,end
2796035,-2456509,153059,end
2796035,-2456509,153063,end
2794973,-2456508,153051,end
2794973,-2456508,153054,end
2795027,-2456337,153042,end
2795027,-2456337,153046,end
2794888,-2456310,153045,end
2794888,-2456310,153047,end
2794907,-2456310,153045,end
2794907,-2456310,153047,end
2794749,-2456280,153045,end
2794768,-2456280,153045,end
2794749,-2456280,153047,end
2794768,-2456280,153047,end
2797108,-2456698,153080,end
2794329,-2457667,154174,end
2799138,-2457642,153033,end
2797240,-2456551,153080,end
2796035,-2456509,153080,end
2797386,-2456718,153074,end
2797386,-2456718,153078,end
2797247,-2456704,153079,end
2796174,-2456538,153075,end
2796174,-2456538,153079,end
2797379,-2456538,153075,end
2797379,-2456538,153079,end
2794973,-2456508,153068,end
2794973,-2456508,153071,end
2795027,-2456337,153059,end
2795027,-2456337,153063,end
2794888,-2456310,153062,end
2794888,-2456310,153064,end
2794907,-2456310,153058,end
2794907,-2456310,153062,end
2794907,-2456310,153064,end
2794749,-2456280,153062,end
2794749,-2456280,153064,end
2794768,-2456280,153058,end
2794768,-2456280,153062,end
2794768,-2456280,153064,end
2795158,-2455622,153125,end
2792379,-2456591,154159,end
2792379,-2456591,154199,end
2792379,-2456591,154219,end
2792938,-2455234,153103,end
2792957,-2455234,153103,end
2792799,-2455204,153103,end
2792818,-2455204,153103,end
2793077,-2455261,153104,end
2792938,-2455234,153107,end
2792957,-2455234,153107,end
2792799,-2455204,153107,end
2792818,-2455204,153107,end
2793301,-2455459,153108,end
2793162,-2455443,153108,end
2793077,-2455261,153108,end
2792938,-2455234,153109,end
2792957,-2455234,153109,end
2792799,-2455204,153109,end
2792818,-2455204,153109,end
2795436,-2455642,153119,end
2795436,-2455642,153123,end
2795297,-2455628,153124,end
2794363,-2455489,153119,end
2794363,-2455489,153123,end
2795290,-2455475,153125,end
2795429,-2455462,153124,end
2793301,-2455459,153112,end
2793162,-2455443,153112,end
2793162,-2455443,153114,end
2794085,-2455433,153121,end
2794085,-2455433,153125,end
2793023,-2455432,153110,end
2793023,-2455432,153113,end
2793023,-2455432,153116,end
2792379,-2456591,154220,end
2793077,-2455261,153109,end
2795436,-2455642,153124,end
2795297,-2455628,153125,end
2795158,-2455622,153126,end
2795290,-2455475,153126,end
2795429,-2455462,153125,end
2794085,-2455433,153126,end
2793023,-2455432,153117,end
2792938,-2455234,153110,end
2792957,-2455234,153110,end
2792799,-2455204,153110,end
2792818,-2455204,153110,end
2789911,-2456435,154159,end
