Crit0,Crit1,Crit2,end
2799638,-2457528,153070,end
2799383,-2457504,153071,end
2798592,-2456728,155002,end
2798942,-2456724,153092,end
2798556,-2456701,153094,end
2798521,-2456668,153094,end
2798242,-2455060,153054,end
2798481,-2455796,154970,end
2798860,-2455106,153088,end
2798889,-2455485,153084,end
2799369,-2457472,153070,end
2798226,-2455772,154971,end
2798605,-2455082,153089,end
2799114,-2457448,153071,end
2798673,-2456668,153092,end
2798323,-2456672,155002,end
2797814,-2454306,155020,end
2798164,-2454302,153110,end
2797778,-2454279,153112,end
2797743,-2454246,153112,end
2797465,-2454202,153075,end
2797428,-2454181,153076,end
2797393,-2454172,153076,end
2797064,-2453794,154982,end
2797414,-2453790,153072,end
2797028,-2453767,153074,end
2796993,-2453734,153074,end
2796715,-2453690,153037,end
2796678,-2453669,153038,end
2796643,-2453660,153038,end
2796667,-2453553,153031,end
2796635,-2453525,153029,end
2796600,-2453496,153027,end
2797093,-2453863,154984,end
2797443,-2453859,153074,end
2796672,-2453729,153040,end
2796696,-2453622,153033,end
2797128,-2453933,154984,end
2797478,-2453929,153074,end
2796731,-2453692,153033,end
2796699,-2453664,153031,end
2797196,-2454260,154986,end
2797160,-2454233,153078,end
2797435,-2454996,156902,end
2797843,-2454685,155016,end
2798193,-2454681,153106,end
2795495,-2453081,153123,end
2795634,-2453068,153122,end
2795845,-2453155,153159,end
2795984,-2453142,153158,end
2796266,-2453211,153157,end
2796412,-2453378,153155,end
2796405,-2453198,153156,end
2795530,-2453090,153123,end
2795669,-2453077,153122,end
2795880,-2453188,153159,end
2796019,-2453175,153158,end
2795706,-2453098,153121,end
2796062,-2453382,155065,end
2795916,-2453215,155067,end
2796055,-2453202,155066,end
2794711,-2453173,155067,end
2792626,-2455021,158043,end
2795166,-2452703,155029,end
2795305,-2452690,155028,end
2794745,-2452569,153085,end
2794884,-2452556,153084,end
2794702,-2452405,153074,end
2794841,-2452392,153073,end
2795516,-2452699,153119,end
2795130,-2452676,153121,end
2795095,-2452643,153121,end
2794780,-2452578,153085,end
2794769,-2452462,153078,end
2794737,-2452434,153076,end
2795655,-2452686,153118,end
2795269,-2452663,153120,end
2795234,-2452630,153120,end
2794956,-2452586,153083,end
2794919,-2452565,153084,end
2794908,-2452449,153077,end
2794876,-2452421,153075,end
2794913,-2452625,153086,end
2795195,-2452772,155031,end
2795334,-2452759,155030,end
2795545,-2452768,153121,end
2795684,-2452755,153120,end
2794798,-2452531,153080,end
2794937,-2452518,153079,end
2795376,-2453009,155029,end
2795683,-2454072,156947,end
2796091,-2453761,155061,end
2795726,-2453005,153119,end
2796441,-2453757,153151,end
2796084,-2453581,155062,end
2796434,-2453577,153152,end
2795580,-2452838,153121,end
2795719,-2452825,153120,end
2795298,-2453169,155033,end
2795230,-2452842,155031,end
2795537,-2453905,156949,end
2795401,-2453129,153124,end
2795437,-2453156,155032,end
2795369,-2452829,155030,end
2794972,-2452588,153079,end
2794940,-2452560,153077,end
2795676,-2453892,156948,end
2794332,-2453863,156949,end
2794465,-2452553,153144,end
2794480,-2452404,153141,end
2794509,-2452473,153143,end
2794544,-2452543,153143,end
2790305,-2452743,156168,end
2790334,-2452812,156170,end
2790369,-2452882,156170,end
2790676,-2453945,158088,end
2794112,-2452306,155110,end
2794462,-2452302,153200,end
2793966,-2452139,155112,end
2794316,-2452135,153202,end
2793930,-2452112,153204,end
2793895,-2452079,153204,end
2793580,-2452014,153168,end
2793545,-2452005,153168,end
2792761,-2452097,155112,end
2794105,-2452126,155111,end
2791699,-2452096,155103,end
2791753,-2451925,155095,end
2791633,-2451898,155096,end
2791494,-2451868,155096,end
2793684,-2451992,153167,end
2794455,-2452122,153201,end
2794069,-2452099,153203,end
2794034,-2452066,153203,end
2793756,-2452022,153166,end
2793719,-2452001,153167,end
2793708,-2451885,153160,end
2792790,-2451493,153130,end
2792929,-2451480,153129,end
2791585,-2451451,153130,end
2790577,-2451279,153113,end
2790457,-2451252,153114,end
2790318,-2451222,153114,end
2792747,-2451329,153119,end
2792886,-2451316,153118,end
2791542,-2451287,153119,end
2790534,-2451115,153102,end
2790414,-2451088,153103,end
2790275,-2451058,153103,end
2793140,-2451567,153166,end
2793279,-2451554,153165,end
2791935,-2451525,153166,end
2790927,-2451353,153149,end
2790807,-2451326,153150,end
2790668,-2451296,153150,end
2793707,-2451790,153162,end
2793561,-2451623,153164,end
2793700,-2451610,153163,end
2791348,-2451409,153147,end
2791228,-2451382,153148,end
2791089,-2451352,153148,end
2792825,-2451502,153130,end
2792964,-2451489,153129,end
2791620,-2451460,153130,end
2790492,-2451261,153114,end
2790353,-2451231,153114,end
2793357,-2451794,155072,end
2792782,-2451358,153121,end
2792921,-2451345,153120,end
2791577,-2451316,153121,end
2790569,-2451144,153104,end
2790449,-2451117,153105,end
2790310,-2451087,153105,end
2793175,-2451600,153166,end
2793314,-2451587,153165,end
2791970,-2451558,153166,end
2790962,-2451386,153149,end
2790842,-2451359,153150,end
2793001,-2451510,153128,end
2792814,-2451386,153123,end
2792953,-2451373,153122,end
2791609,-2451344,153123,end
2790601,-2451172,153106,end
2790481,-2451145,153107,end
2790342,-2451115,153107,end
2793211,-2451627,155074,end
2793350,-2451614,155073,end
2792006,-2451585,155074,end
2790944,-2451584,155065,end
2790998,-2451413,155057,end
2790878,-2451386,155058,end
2790739,-2451356,155058,end
2793113,-2451843,155076,end
2793148,-2451913,155076,end
2793455,-2452976,156994,end
2793463,-2451839,153166,end
2793498,-2451909,153166,end
2793741,-2451943,153146,end
