Crit0,Crit1,Crit2,end
377088,-523194,2919,end
377047,-515807,2923,end
377020,-515017,2923,end
377088,-517300,2924,end
377823,-523009,2929,end
377165,-519795,2925,end
377215,-517422,2927,end
378156,-522677,2928,end
376984,-513818,2928,end
376987,-513818,2928,end
377021,-515726,2929,end
377432,-516190,2933,end
377606,-522987,2929,end
377939,-522655,2928,end
377215,-516168,2933,end
376804,-515704,2929,end
376767,-513796,2928,end
376770,-513796,2928,end
378004,-522988,2929,end
378337,-522656,2928,end
377202,-515705,2929,end
377165,-513797,2928,end
377613,-516169,2933,end
377168,-513797,2928,end
377228,-515786,2923,end
377201,-514996,2923,end
376378,-521861,2934,end
375576,-514578,2934,end
375539,-512670,2933,end
375542,-512670,2933,end
375987,-515042,2938,end
376029,-521833,2934,end
376473,-521851,2934,end
376567,-521831,2934,end
376173,-521424,2934,end
375449,-514937,2939,end
375038,-514473,2935,end
375001,-512565,2934,end
375004,-512565,2934,end
376268,-521465,2934,end
375227,-514550,2934,end
375671,-514568,2934,end
375765,-514548,2934,end
375133,-514514,2935,end
374358,-512270,2930,end
374470,-512431,2930,end
374564,-512422,2930,end
374658,-512404,2930,end
374547,-512359,2930,end
374452,-512316,2930,end
375634,-512660,2933,end
375190,-512642,2933,end
375728,-512640,2933,end
375096,-512606,2934,end
374361,-512270,2930,end
376082,-515032,2938,end
375099,-512606,2934,end
375544,-514978,2939,end
374455,-512316,2930,end
374550,-512359,2930,end
374661,-512404,2930,end
375731,-512640,2933,end
375638,-515014,2938,end
376176,-515012,2938,end
377758,-522928,2929,end
377939,-522907,2929,end
376313,-521780,2934,end
376408,-521770,2934,end
376502,-521750,2934,end
378091,-522596,2928,end
376919,-513737,2928,end
376922,-513737,2928,end
376956,-515645,2929,end
377367,-516109,2933,end
376203,-521384,2934,end
377874,-522574,2928,end
378272,-522575,2928,end
376702,-513715,2928,end
377100,-513716,2928,end
374293,-512189,2930,end
374387,-512235,2930,end
374482,-512278,2930,end
374499,-512341,2930,end
374593,-512323,2930,end
374936,-512484,2934,end
375031,-512525,2934,end
375125,-512561,2933,end
375474,-512589,2933,end
375569,-512579,2933,end
375663,-512559,2933,end
374296,-512189,2930,end
376705,-513715,2928,end
374390,-512235,2930,end
374485,-512278,2930,end
374596,-512323,2930,end
374939,-512484,2934,end
375034,-512525,2934,end
375666,-512559,2933,end
377103,-513716,2928,end
374973,-514392,2935,end
375384,-514856,2939,end
375068,-514433,2935,end
375162,-514469,2934,end
375511,-514497,2934,end
375606,-514487,2934,end
375700,-514467,2934,end
376739,-515623,2929,end
377137,-515624,2929,end
377150,-516087,2933,end
377548,-516088,2933,end
375479,-514897,2939,end
375573,-514933,2938,end
375922,-514961,2938,end
376017,-514951,2938,end
376111,-514931,2938,end
377630,-522885,2929,end
378028,-522886,2929,end
377687,-522527,2926,end
376497,-521749,2934,end
376591,-521729,2934,end
377252,-515684,2923,end
377225,-514894,2923,end
377963,-522553,2928,end
377239,-516066,2933,end
376828,-515602,2929,end
376791,-513694,2928,end
376794,-513694,2928,end
378361,-522554,2928,end
377189,-513695,2928,end
377192,-513695,2928,end
377226,-515603,2929,end
377637,-516067,2933,end
376197,-521322,2934,end
376292,-521363,2934,end
375025,-512463,2934,end
375028,-512463,2934,end
375473,-514835,2939,end
375062,-514371,2935,end
375157,-514412,2935,end
375251,-514448,2934,end
375695,-514466,2934,end
375789,-514446,2934,end
374382,-512168,2930,end
374476,-512214,2930,end
374571,-512257,2930,end
374588,-512320,2930,end
374682,-512302,2930,end
375120,-512504,2934,end
375214,-512540,2933,end
375658,-512558,2933,end
375752,-512538,2933,end
374385,-512168,2930,end
376106,-514930,2938,end
374479,-512214,2930,end
374574,-512257,2930,end
374685,-512302,2930,end
375123,-512504,2934,end
375755,-512538,2933,end
375568,-514876,2939,end
375662,-514912,2938,end
376200,-514910,2938,end
377707,-522513,2925,end
377769,-522385,2925,end
377839,-522216,2925,end
377888,-522492,2925,end
377950,-522364,2925,end
378020,-522195,2925,end
377779,-521286,2927,end
377792,-520923,2927,end
377691,-521094,2928,end
377796,-520642,2928,end
376462,-513647,2922,end
376426,-512448,2927,end
376429,-512448,2927,end
376874,-514820,2932,end
376209,-512426,2927,end
376212,-512426,2927,end
376657,-514798,2932,end
376607,-512427,2927,end
376643,-513626,2922,end
376610,-512427,2927,end
377055,-514799,2932,end
374981,-511300,2932,end
374984,-511300,2932,end
375429,-513672,2937,end
374443,-511195,2933,end
374446,-511195,2933,end
374891,-513567,2938,end
373912,-511061,2929,end
373915,-511061,2929,end
373800,-510900,2929,end
373803,-510900,2929,end
375076,-511290,2932,end
375079,-511290,2932,end
375524,-513662,2937,end
374538,-511236,2933,end
374541,-511236,2933,end
374986,-513608,2938,end
374006,-511052,2929,end
374009,-511052,2929,end
373894,-510946,2929,end
373897,-510946,2929,end
375170,-511270,2932,end
375173,-511270,2932,end
375618,-513642,2937,end
374100,-511034,2929,end
374103,-511034,2929,end
373989,-510989,2929,end
373992,-510989,2929,end
376439,-512085,2927,end
376442,-512085,2927,end
376887,-514457,2932,end
376480,-513712,2929,end
376443,-511804,2928,end
376446,-511804,2928,end
376891,-514176,2933,end
376667,-513357,2925,end
