Crit0,Crit1,Crit2,end
2293716,-2633828,17333,end
2294183,-2634026,17335,end
2294792,-2633918,17337,end
2294792,-2632703,17338,end
2294792,-2632697,17339,end
2294792,-2632689,17339,end
2294183,-2633097,17340,end
2293716,-2633426,17341,end
2294183,-2633024,17342,end
2294183,-2632807,17342,end
2293716,-2632881,17343,end
2293716,-2632476,17343,end
2291371,-2628844,17360,end
2296001,-2634256,17347,end
2296994,-2634425,17349,end
2291491,-2628980,17359,end
2291859,-2629691,17359,end
2291610,-2629122,17359,end
2292204,-2631482,17360,end
2291741,-2629756,17360,end
2292085,-2631337,17361,end
2291965,-2631214,17362,end
2294023,-2630142,17364,end
2293904,-2630130,17365,end
2294142,-2630103,17363,end
2292855,-2629908,17363,end
2292736,-2629770,17364,end
2291621,-2629689,17361,end
2292617,-2629644,17365,end
2297023,-2634387,17349,end
2296030,-2634218,17347,end
2294821,-2633880,17337,end
2294212,-2633059,17340,end
2294212,-2632986,17342,end
2294212,-2632769,17342,end
2294821,-2632665,17338,end
2294821,-2632659,17339,end
2294821,-2632651,17339,end
2291639,-2629084,17359,end
2291520,-2628942,17359,end
2291400,-2628806,17360,end
2294052,-2630104,17364,end
2293933,-2630092,17365,end
2294171,-2630065,17363,end
2292884,-2629870,17363,end
2292765,-2629732,17364,end
2292646,-2629606,17365,end
2296993,-2634363,17349,end
2296000,-2634194,17347,end
2294182,-2632745,17342,end
2294791,-2632641,17338,end
2294791,-2632635,17339,end
2294791,-2632627,17339,end
2294022,-2630080,17364,end
2293903,-2630068,17365,end
2294141,-2630041,17363,end
2292854,-2629846,17363,end
2292735,-2629708,17364,end
2292616,-2629582,17365,end
2291609,-2629060,17359,end
2291490,-2628918,17359,end
2291370,-2628782,17360,end
2297028,-2634249,17349,end
2296035,-2634080,17347,end
2294826,-2633742,17337,end
2294217,-2632921,17340,end
2294826,-2632527,17338,end
2294826,-2632521,17339,end
2294826,-2632513,17339,end
2294217,-2632848,17342,end
2294217,-2632631,17342,end
2291893,-2629515,17359,end
2291644,-2628946,17359,end
2291525,-2628804,17359,end
2291405,-2628668,17360,end
2291775,-2629580,17360,end
2294057,-2629966,17364,end
2293938,-2629954,17365,end
2294176,-2629927,17363,end
2292889,-2629732,17363,end
2292770,-2629594,17364,end
2291655,-2629513,17361,end
2292651,-2629468,17365,end
2297098,-2634214,17350,end
2296105,-2634045,17348,end
2294896,-2633707,17338,end
2294287,-2632886,17341,end
2294896,-2632492,17339,end
2294896,-2632486,17340,end
2294896,-2632478,17340,end
2294287,-2632813,17343,end
2294287,-2632596,17343,end
2291714,-2628911,17360,end
2291595,-2628769,17360,end
2291475,-2628633,17361,end
2294127,-2629931,17365,end
2294008,-2629919,17366,end
2294246,-2629892,17364,end
2292959,-2629697,17364,end
2292840,-2629559,17365,end
2292721,-2629433,17366,end
2297172,-2634222,17350,end
2296179,-2634053,17348,end
2294970,-2633715,17338,end
2294361,-2632894,17341,end
2294970,-2632500,17339,end
2294970,-2632494,17340,end
2294970,-2632486,17340,end
2294361,-2632821,17343,end
2294361,-2632604,17343,end
2291788,-2628919,17360,end
2291669,-2628777,17360,end
2294201,-2629939,17365,end
2294082,-2629927,17366,end
2294320,-2629900,17364,end
2293033,-2629705,17364,end
2292914,-2629567,17365,end
2292795,-2629441,17366,end
2291549,-2628641,17361,end
2297255,-2634194,17350,end
2296262,-2634025,17348,end
2295053,-2633687,17338,end
2294444,-2632866,17341,end
2294444,-2632793,17343,end
2294444,-2632576,17343,end
2295053,-2632472,17339,end
2295053,-2632466,17340,end
2295053,-2632458,17340,end
2291871,-2628891,17360,end
2291752,-2628749,17360,end
2291632,-2628613,17361,end
2294284,-2629911,17365,end
2294165,-2629899,17366,end
2294403,-2629872,17364,end
2293116,-2629677,17364,end
2292997,-2629539,17365,end
2292878,-2629413,17366,end
2296932,-2633441,17348,end
2295939,-2633272,17346,end
2294730,-2631719,17337,end
2294730,-2631713,17338,end
2294730,-2631705,17338,end
