Crit0,Crit1,Crit2,end
2294832,-2623245,17355,end
2294829,-2623197,17355,end
2294827,-2623150,17355,end
2294386,-2622405,17352,end
2294383,-2622357,17352,end
2294381,-2622310,17352,end
2294480,-2622695,17353,end
2294574,-2623313,17356,end
2294572,-2623266,17356,end
2294396,-2622507,17352,end
2294393,-2622459,17352,end
2294391,-2622412,17352,end
2294586,-2623408,17356,end
2294584,-2623361,17356,end
2294409,-2622613,17352,end
2294406,-2622565,17352,end
2294404,-2622518,17352,end
2294600,-2623499,17356,end
2294598,-2623452,17356,end
2295767,-2625095,17361,end
2295764,-2625047,17361,end
2295762,-2625000,17361,end
2296166,-2626098,17363,end
2296130,-2625022,17359,end
2296124,-2624881,17359,end
2296121,-2624833,17359,end
2296119,-2624786,17359,end
2296218,-2625171,17360,end
2296523,-2625884,17361,end
2294194,-2621760,17351,end
2294191,-2621712,17351,end
2294189,-2621665,17351,end
2294288,-2622050,17352,end
2294593,-2622763,17353,end
2293748,-2620920,17348,end
2293745,-2620872,17348,end
2293743,-2620825,17348,end
2293842,-2621210,17349,end
2293936,-2621828,17352,end
2293934,-2621781,17352,end
2294033,-2622166,17353,end
2294338,-2622879,17354,end
2293758,-2621022,17348,end
2293755,-2620974,17348,end
2293753,-2620927,17348,end
2293852,-2621312,17349,end
2293948,-2621923,17352,end
2293946,-2621876,17352,end
2294045,-2622261,17353,end
2294350,-2622974,17354,end
2293766,-2621033,17348,end
2293865,-2621418,17349,end
2293960,-2621967,17352,end
2294364,-2623065,17354,end
2294059,-2622352,17353,end
2294537,-2623510,17361,end
2294534,-2623462,17361,end
2294532,-2623415,17361,end
2294631,-2623800,17362,end
2294936,-2624513,17363,end
2294870,-2623704,17359,end
2294867,-2623656,17359,end
2294865,-2623609,17359,end
2294964,-2623994,17360,end
2295129,-2623610,17357,end
2295126,-2623562,17357,end
2295124,-2623515,17357,end
2295223,-2623900,17358,end
2295486,-2623396,17355,end
2295483,-2623348,17355,end
2295481,-2623301,17355,end
2295580,-2623686,17356,end
2295885,-2624399,17357,end
2294962,-2623278,17351,end
2294960,-2623231,17351,end
2296153,-2626919,17366,end
2296084,-2626062,17362,end
2296082,-2626015,17362,end
2296181,-2626400,17363,end
2296486,-2627113,17364,end
2296745,-2627019,17362,end
2296700,-2625754,17358,end
2296698,-2625707,17358,end
2296797,-2626092,17359,end
2297102,-2626805,17360,end
2294431,-2622632,17351,end
2294428,-2622584,17351,end
2294426,-2622537,17351,end
2294438,-2622686,17351,end
2294436,-2622639,17351,end
2295906,-2625612,17361,end
2296211,-2626325,17362,end
2296169,-2625108,17358,end
2296166,-2625060,17358,end
2296164,-2625013,17358,end
2296263,-2625398,17359,end
2296568,-2626111,17360,end
2294239,-2621990,17351,end
2294236,-2621942,17351,end
2294234,-2621895,17351,end
2294638,-2622993,17353,end
2294333,-2622280,17352,end
2297268,-2628653,17350,end
2297479,-2627599,17347,end
2297784,-2628312,17348,end
2297391,-2627450,17346,end
2297385,-2627309,17346,end
2297382,-2627261,17346,end
2297380,-2627214,17346,end
2293793,-2621150,17348,end
2293790,-2621102,17348,end
2293788,-2621055,17348,end
2293887,-2621440,17349,end
2294383,-2623109,17354,end
2293979,-2622011,17352,end
2294078,-2622396,17353,end
2293897,-2621542,17349,end
2293800,-2621204,17348,end
2293798,-2621157,17348,end
2294090,-2622491,17353,end
2293910,-2621648,17349,end
2294104,-2622582,17353,end
2294582,-2623740,17361,end
2294579,-2623692,17361,end
2294577,-2623645,17361,end
2294915,-2623934,17359,end
2294912,-2623886,17359,end
2294910,-2623839,17359,end
2295009,-2624224,17360,end
2295174,-2623840,17357,end
2295171,-2623792,17357,end
2295169,-2623745,17357,end
2295268,-2624130,17358,end
2295531,-2623626,17355,end
2295528,-2623578,17355,end
2295526,-2623531,17355,end
2295930,-2624629,17357,end
2295625,-2623916,17356,end
2295005,-2623287,17351,end
2293932,-2621662,17349,end
2297033,-2626759,17344,end
2296939,-2626469,17343,end
2296936,-2626421,17343,end
2296934,-2626374,17343,end
2296198,-2626975,17366,end
2296127,-2626071,17362,end
2296226,-2626456,17363,end
2296531,-2627169,17364,end
2296790,-2627075,17362,end
2296754,-2625999,17358,end
2296748,-2625858,17358,end
2296745,-2625810,17358,end
2296743,-2625763,17358,end
2296842,-2626148,17359,end
2297147,-2626861,17360,end
2295998,-2626640,17364,end
2296257,-2626546,17362,end
2296309,-2625619,17359,end
2296614,-2626332,17360,end
2294123,-2622618,17353,end
2297224,-2627715,17348,end
2297529,-2628428,17349,end
2294721,-2624252,17362,end
2295054,-2624446,17360,end
2295313,-2624352,17358,end
2295670,-2624138,17356,end
2296949,-2626571,17343,end
2296946,-2626523,17343,end
2296944,-2626476,17343,end
2297236,-2627810,17348,end
2297541,-2628523,17349,end
2296648,-2629901,17364,end
2296981,-2630095,17362,end
2297240,-2630001,17360,end
2297204,-2628925,17356,end
2297198,-2628784,17356,end
2297195,-2628736,17356,end
2297193,-2628689,17356,end
2297292,-2629074,17357,end
2297597,-2629787,17358,end
2296962,-2626677,17343,end
2296959,-2626629,17343,end
2296957,-2626582,17343,end
2297250,-2627901,17348,end
2297555,-2628614,17349,end
2297153,-2627563,17347,end
2297151,-2627516,17347,end
2296990,-2629438,17361,end
2297295,-2630151,17362,end
2297235,-2629483,17358,end
2297229,-2629342,17358,end
2297226,-2629294,17358,end
2297224,-2629247,17358,end
2297323,-2629632,17359,end
2297628,-2630345,17360,end
2297845,-2629034,17354,end
2297842,-2628986,17354,end
2297840,-2628939,17354,end
2297939,-2629324,17355,end
2298244,-2630037,17356,end
2297822,-2629349,17357,end
2298127,-2630062,17358,end
2297734,-2629200,17356,end
2297728,-2629059,17356,end
2297725,-2629011,17356,end
2297723,-2628964,17356,end
2298155,-2629543,17355,end
2298067,-2629394,17354,end
2298061,-2629253,17354,end
2298058,-2629205,17354,end
2298056,-2629158,17354,end
2298460,-2630256,17356,end
2298414,-2629449,17353,end
2298719,-2630162,17354,end
2298326,-2629300,17352,end
2298320,-2629159,17352,end
2298317,-2629111,17352,end
2298315,-2629064,17352,end
2298683,-2629086,17350,end
2298677,-2628945,17350,end
2298674,-2628897,17350,end
2298672,-2628850,17350,end
2299076,-2629948,17352,end
2298771,-2629235,17351,end
2291742,-2618950,17371,end
2291739,-2618902,17371,end
2291737,-2618855,17371,end
2291296,-2618110,17368,end
2291293,-2618062,17368,end
2291291,-2618015,17368,end
2291390,-2618400,17369,end
2291484,-2619018,17372,end
2291482,-2618971,17372,end
2291306,-2618212,17368,end
2291303,-2618164,17368,end
2291301,-2618117,17368,end
2291494,-2619066,17372,end
2291319,-2618318,17368,end
2291316,-2618270,17368,end
2291314,-2618223,17368,end
2292091,-2620841,17381,end
2292085,-2620700,17381,end
2292082,-2620652,17381,end
2292080,-2620605,17381,end
2292179,-2620990,17382,end
2292484,-2621703,17383,end
2292424,-2621035,17379,end
2292418,-2620894,17379,end
2292415,-2620846,17379,end
2292413,-2620799,17379,end
2292512,-2621184,17380,end
2292817,-2621897,17381,end
2292683,-2620941,17377,end
2292677,-2620800,17377,end
2292674,-2620752,17377,end
2292672,-2620705,17377,end
2292771,-2621090,17378,end
2293076,-2621803,17379,end
2293040,-2620727,17375,end
2293034,-2620586,17375,end
2293031,-2620538,17375,end
2293029,-2620491,17375,end
2293128,-2620876,17376,end
2293433,-2621589,17377,end
2290658,-2616625,17364,end
2290655,-2616577,17364,end
2290653,-2616530,17364,end
2290752,-2616915,17365,end
2291870,-2618936,17367,end
2291341,-2618337,17367,end
2291338,-2618289,17367,end
2291336,-2618242,17367,end
2290703,-2616855,17364,end
2290700,-2616807,17364,end
2290698,-2616760,17364,end
2290797,-2617145,17365,end
2290668,-2616727,17364,end
2290665,-2616679,17364,end
2290663,-2616632,17364,end
2290762,-2617017,17365,end
2290676,-2616738,17364,end
2290775,-2617123,17365,end
2291348,-2618391,17367,end
2291346,-2618344,17367,end
2290710,-2616909,17364,end
2290708,-2616862,17364,end
2290807,-2617247,17365,end
2291104,-2617465,17367,end
2291101,-2617417,17367,end
2291099,-2617370,17367,end
2291198,-2617755,17368,end
2291503,-2618468,17369,end
2290846,-2617533,17368,end
2290844,-2617486,17368,end
2290943,-2617871,17369,end
2291248,-2618584,17370,end
2290858,-2617628,17368,end
2290856,-2617581,17368,end
2290955,-2617966,17369,end
2291260,-2618679,17370,end
2290870,-2617672,17368,end
2291274,-2618770,17370,end
2290969,-2618057,17369,end
2291447,-2619215,17377,end
2291444,-2619167,17377,end
2291442,-2619120,17377,end
2291541,-2619505,17378,end
2291846,-2620218,17379,end
2291780,-2619409,17375,end
2291777,-2619361,17375,end
2291775,-2619314,17375,end
2291874,-2619699,17376,end
2292179,-2620412,17377,end
2292039,-2619315,17373,end
2292036,-2619267,17373,end
2292034,-2619220,17373,end
2292133,-2619605,17374,end
2292438,-2620318,17375,end
2292396,-2619101,17371,end
2292393,-2619053,17371,end
2292391,-2619006,17371,end
2292490,-2619391,17372,end
2292795,-2620104,17373,end
2291149,-2617695,17367,end
2291146,-2617647,17367,end
2291144,-2617600,17367,end
2291243,-2617985,17368,end
2291548,-2618698,17369,end
2294389,-2623304,17363,end
2294301,-2623155,17362,end
2294295,-2623014,17362,end
2294292,-2622966,17362,end
2294290,-2622919,17362,end
2294694,-2624017,17364,end
2290889,-2617716,17368,end
2291293,-2618814,17370,end
2290988,-2618101,17369,end
2291033,-2618323,17369,end
2294134,-2623420,17364,end
2294439,-2624133,17365,end
2292661,-2621573,17380,end
2292659,-2621526,17380,end
2293063,-2622624,17382,end
2292994,-2621767,17378,end
2292992,-2621720,17378,end
2293091,-2622105,17379,end
2293396,-2622818,17380,end
2293655,-2622724,17378,end
2293610,-2621459,17374,end
2293608,-2621412,17374,end
2293707,-2621797,17375,end
2294012,-2622510,17376,end
2292130,-2620927,17380,end
2292127,-2620879,17380,end
2292125,-2620832,17380,end
2292224,-2621217,17381,end
2292529,-2621930,17382,end
2292460,-2621073,17378,end
2292458,-2621026,17378,end
2292557,-2621411,17379,end
2292862,-2622124,17380,end
2292816,-2621317,17377,end
2293121,-2622030,17378,end
2293079,-2620813,17374,end
2293076,-2620765,17374,end
2293074,-2620718,17374,end
2293173,-2621103,17375,end
2293478,-2621816,17376,end
2291000,-2618196,17369,end
2294146,-2623515,17364,end
2294451,-2624228,17365,end
2291014,-2618287,17369,end
2291492,-2619445,17377,end
2291489,-2619397,17377,end
2291487,-2619350,17377,end
2291586,-2619735,17378,end
2291891,-2620448,17379,end
