Crit0,Crit1,Crit2,end
2807401,-2446897,20893,end
2807449,-2446962,20893,end
2807521,-2447046,20893,end
2807456,-2447005,20893,end
2807343,-2446226,20896,end
2807343,-2446180,20896,end
2807393,-2446832,20896,end
2807394,-2446371,20896,end
2807394,-2446336,20896,end
2807456,-2446949,20896,end
2807456,-2446561,20896,end
2807456,-2446514,20896,end
2807521,-2447023,20896,end
2807521,-2446789,20896,end
2807521,-2446733,20896,end
2807382,-2446663,20897,end
2812460,-2446926,20938,end
2812330,-2446998,20939,end
2807941,-2445636,20952,end
2807960,-2445636,20952,end
2808219,-2445693,20952,end
2810300,-2446054,20957,end
2808165,-2445864,20954,end
2808443,-2445891,20954,end
2809227,-2445865,20957,end
2810432,-2445907,20957,end
2810578,-2446074,20957,end
2811260,-2446885,20937,end
2806741,-2445595,20951,end
2806760,-2445595,20951,end
2806965,-2445823,20953,end
2807243,-2445850,20953,end
2808027,-2445824,20956,end
2809232,-2445866,20956,end
2811764,-2446924,20939,end
2810540,-2445922,20951,end
2810459,-2445912,20951,end
2811894,-2446852,20938,end
2807653,-2445619,20952,end
2807375,-2445562,20952,end
2807394,-2445562,20952,end
2809866,-2445833,20957,end
2807599,-2445790,20954,end
2807877,-2445817,20954,end
2808661,-2445791,20957,end
2810510,-2445850,20950,end
2810670,-2445850,20950,end
2810589,-2445840,20950,end
2805393,-2445150,20908,end
2805393,-2445104,20908,end
2805444,-2445295,20908,end
2805444,-2445260,20908,end
2805506,-2445485,20908,end
2805506,-2445438,20908,end
2806269,-2444617,20964,end
2805991,-2444560,20964,end
2806010,-2444560,20964,end
2806215,-2444788,20966,end
2806493,-2444815,20966,end
2807004,-2445034,20968,end
2807281,-2445089,20968,end
2808628,-2444998,20969,end
2808350,-2444978,20969,end
2807555,-2444845,20969,end
2808482,-2444831,20969,end
2807277,-2444789,20969,end
2806014,-2444675,20969,end
2803801,-2444461,20964,end
2803523,-2444404,20964,end
2803542,-2444404,20964,end
2804809,-2444633,20969,end
2803747,-2444632,20966,end
2801130,-2444321,20960,end
2801290,-2444397,20960,end
2801210,-2444360,20960,end
2803602,-2444439,20964,end
2806070,-2444550,20964,end
2806151,-2444560,20964,end
2808510,-2444978,20969,end
2803701,-2444631,20965,end
2803621,-2444592,20965,end
2808642,-2444831,20969,end
2806093,-2444710,20969,end
2806174,-2444745,20969,end
2808561,-2444821,20969,end
2802496,-2444589,20965,end
2802416,-2444550,20965,end
2804888,-2444668,20969,end
2807356,-2444779,20969,end
2807437,-2444789,20969,end
2806294,-2444778,20966,end
2801309,-2444397,20960,end
2801229,-2444360,20960,end
2801149,-2444321,20960,end
2803621,-2444439,20964,end
2806170,-2444560,20964,end
2806089,-2444550,20964,end
2808707,-2444988,20969,end
2808788,-2444998,20969,end
2801408,-2444378,20960,end
2806429,-2444617,20964,end
2803880,-2444496,20964,end
2806348,-2444607,20964,end
2803961,-2444531,20964,end
2811777,-2446284,20938,end
2812977,-2446325,20939,end
2812411,-2446251,20939,end
2811027,-2445249,20951,end
2811187,-2445249,20951,end
2811106,-2445239,20951,end
2811907,-2446212,20937,end
2813107,-2446253,20938,end
2812541,-2446179,20938,end
2811157,-2445177,20950,end
2811317,-2445177,20950,end
2811236,-2445167,20950,end
2808849,-2445091,20950,end
2809747,-2445340,20956,end
2810947,-2445381,20957,end
2810381,-2445307,20957,end
2804535,-2444325,20965,end
