Crit0,Crit1,Crit2,end
2814725,-2444715,20944,end
2814481,-2444802,20945,end
2814456,-2444659,20945,end
2813947,-2442293,20948,end
2814734,-2444916,20944,end
2814490,-2445003,20945,end
2813956,-2442494,20948,end
2811122,-2440138,20948,end
2809332,-2439062,20960,end
2809251,-2439052,20960,end
2810436,-2439765,20944,end
2810401,-2439695,20944,end
2810372,-2439626,20944,end
2809835,-2439621,20944,end
2809806,-2439552,20944,end
2808582,-2438550,20956,end
2808501,-2438540,20956,end
2808611,-2438619,20956,end
2808646,-2438689,20956,end
2814877,-2444899,20943,end
2814868,-2444698,20943,end
2813078,-2443622,20955,end
2812708,-2441260,20944,end
2812673,-2441190,20944,end
2812644,-2441121,20944,end
2813394,-2441633,20948,end
2813403,-2441834,20948,end
2810578,-2439913,20943,end
2814599,-2444642,20944,end
2814090,-2442276,20947,end
2814099,-2442477,20947,end
2811264,-2440286,20947,end
2812809,-2443566,20956,end
2812078,-2441047,20944,end
2812828,-2441559,20948,end
2810773,-2440035,20956,end
2810918,-2440184,20956,end
2810883,-2440114,20956,end
2810854,-2440045,20956,end
2811523,-2440547,20960,end
2811604,-2440557,20960,end
2808788,-2438837,20955,end
2812300,-2441200,20959,end
2809474,-2439210,20959,end
2812729,-2443878,20963,end
2812583,-2443711,20963,end
2814855,-2444643,20943,end
2812973,-2443791,20962,end
2812827,-2443624,20962,end
2814586,-2444587,20944,end
2812704,-2443735,20963,end
2812558,-2443568,20963,end
2814077,-2442221,20947,end
2812195,-2441369,20966,end
2812049,-2441202,20966,end
2812982,-2443992,20962,end
2812738,-2444079,20963,end
2812204,-2441570,20966,end
2810939,-2442802,20975,end
2810793,-2442635,20975,end
2813065,-2443567,20955,end
2812984,-2443557,20955,end
2811102,-2442705,20974,end
2810956,-2442538,20974,end
2811183,-2442715,20974,end
2811037,-2442548,20974,end
2812796,-2443511,20956,end
2812715,-2443501,20956,end
2810914,-2442659,20975,end
2810833,-2442649,20975,end
2810687,-2442482,20975,end
2810768,-2442492,20975,end
2812206,-2441135,20959,end
2812287,-2441145,20959,end
2810259,-2440126,20978,end
2810178,-2440116,20978,end
2810405,-2440293,20978,end
2810324,-2440283,20978,end
2811192,-2442916,20974,end
2810948,-2443003,20975,end
2810414,-2440494,20978,end
2810566,-2439693,20943,end
2810531,-2439623,20943,end
2810502,-2439554,20943,end
2811252,-2440066,20947,end
2810575,-2439894,20943,end
2811261,-2440267,20947,end
2810589,-2439693,20942,end
2810554,-2439623,20942,end
2810525,-2439554,20942,end
2811275,-2440066,20946,end
2814302,-2443983,20943,end
2812838,-2441188,20943,end
2812803,-2441118,20943,end
2812774,-2441049,20943,end
2814998,-2444626,20942,end
2810708,-2439841,20942,end
2810673,-2439771,20942,end
2810644,-2439702,20942,end
2814422,-2444138,20942,end
2812958,-2441343,20942,end
2812923,-2441273,20942,end
2812894,-2441204,20942,end
2813524,-2441561,20947,end
2814729,-2444570,20943,end
2814249,-2442583,20945,end
2814220,-2442204,20946,end
2811394,-2440214,20946,end
2813673,-2442095,20945,end
2813644,-2441716,20946,end
2814311,-2444184,20943,end
2812847,-2441389,20943,end
2813533,-2441762,20947,end
2815007,-2444827,20942,end
