Crit0,Crit1,Crit2,end
378933,-518709,2924,end
378809,-518182,2925,end
378847,-518353,2925,end
378743,-508977,2934,end
378746,-508977,2934,end
378779,-510176,2929,end
378780,-510885,2935,end
378806,-510966,2929,end
378809,-511334,2929,end
378810,-511334,2929,end
378847,-512459,2930,end
378885,-513678,2932,end
378891,-518363,2926,end
378891,-515987,2930,end
378891,-513471,2930,end
378895,-511970,2937,end
378924,-514954,2931,end
378974,-512581,2933,end
379191,-511349,2939,end
379201,-514093,2936,end
379288,-512788,2937,end
379582,-518168,2935,end
379747,-518151,2935,end
379915,-517836,2934,end
378526,-508955,2934,end
378529,-508955,2934,end
378563,-510863,2935,end
378974,-511327,2939,end
379365,-518146,2935,end
379530,-518129,2935,end
379698,-517814,2934,end
378924,-508956,2934,end
376117,-507429,2936,end
376229,-507590,2936,end
376211,-507475,2936,end
376306,-507518,2936,end
376323,-507581,2936,end
376417,-507563,2936,end
376551,-508022,2939,end
376645,-508066,2939,end
376739,-508112,2939,end
376949,-507801,2939,end
377298,-507829,2939,end
377393,-507819,2939,end
377487,-507799,2939,end
376760,-507724,2940,end
376855,-507765,2940,end
378927,-508956,2934,end
378960,-510155,2929,end
378961,-510864,2935,end
378987,-510945,2929,end
378990,-511313,2929,end
378991,-511313,2929,end
379372,-511328,2939,end
379382,-514072,2936,end
379469,-512767,2937,end
379763,-518147,2935,end
379928,-518130,2935,end
380096,-517815,2934,end
377335,-509737,2940,end
377450,-510822,2942,end
377746,-510201,2944,end
377756,-512945,2941,end
377843,-511640,2942,end
378137,-517020,2940,end
378302,-517003,2940,end
376120,-507429,2936,end
376214,-507475,2936,end
376309,-507518,2936,end
376420,-507563,2936,end
377490,-507799,2939,end
376763,-507724,2940,end
376858,-507765,2940,end
376797,-509632,2941,end
377208,-510096,2945,end
377932,-516583,2940,end
376986,-509709,2940,end
377430,-509727,2940,end
377524,-509707,2940,end
376892,-509673,2941,end
378027,-516624,2940,end
378326,-516990,2940,end
378397,-516993,2940,end
378491,-516973,2940,end
377859,-516939,2941,end
377851,-512935,2941,end
377945,-512915,2941,end
377938,-511630,2942,end
378032,-511610,2942,end
377841,-510191,2944,end
377397,-510173,2944,end
377935,-510171,2944,end
377303,-510137,2945,end
379850,-517755,2934,end
378678,-508896,2934,end
378681,-508896,2934,end
379517,-518087,2935,end
378715,-510804,2935,end
379682,-518070,2935,end
379126,-511268,2939,end
379606,-518066,2935,end
379939,-517734,2934,end
378767,-508875,2934,end
378770,-508875,2934,end
379771,-518049,2935,end
378804,-510783,2935,end
379215,-511247,2939,end
378337,-510600,2936,end
378221,-508806,2928,end
378185,-507607,2933,end
378188,-507607,2933,end
378633,-509979,2938,end
378743,-511055,2936,end
378234,-508443,2928,end
378198,-507244,2933,end
378201,-507244,2933,end
378646,-509616,2938,end
378747,-510774,2937,end
378238,-508162,2929,end
378202,-506963,2934,end
378205,-506963,2934,end
378239,-508871,2935,end
378650,-509335,2939,end
378294,-508813,2931,end
378297,-508813,2931,end
379528,-517544,2931,end
378356,-508685,2931,end
378359,-508685,2931,end
378804,-511057,2936,end
379598,-517375,2931,end
378426,-508516,2931,end
378429,-508516,2931,end
378874,-510888,2936,end
377990,-506447,2932,end
377993,-506447,2932,end
378438,-508819,2937,end
379633,-517733,2934,end
378461,-508874,2934,end
378464,-508874,2934,end
378909,-511246,2939,end
380031,-517734,2934,end
378859,-508875,2934,end
378862,-508875,2934,end
379863,-518049,2935,end
378896,-510783,2935,end
379404,-512686,2937,end
379307,-511247,2939,end
379554,-518027,2935,end
379722,-517712,2934,end
378550,-508853,2934,end
378553,-508853,2934,end
378998,-511225,2939,end
378209,-508494,2931,end
377735,-506425,2932,end
377773,-506425,2932,end
377861,-506941,2934,end
377985,-506941,2934,end
378212,-508494,2931,end
377776,-506425,2932,end
377988,-506941,2934,end
378433,-509313,2939,end
378183,-508797,2937,end
378221,-508797,2937,end
379787,-518045,2935,end
378948,-508854,2934,end
378951,-508854,2934,end
378984,-510053,2929,end
378985,-510762,2935,end
379011,-510843,2929,end
379014,-511211,2929,end
379015,-511211,2929,end
379396,-511226,2939,end
379493,-512665,2937,end
379952,-518028,2935,end
380120,-517713,2934,end
379538,-516445,2933,end
378366,-507586,2933,end
378369,-507586,2933,end
378814,-509958,2938,end
378133,-506426,2932,end
378171,-506426,2932,end
378259,-506942,2934,end
378278,-507394,2934,end
378379,-507223,2933,end
378383,-506942,2934,end
378475,-508792,2931,end
378537,-508664,2931,end
378607,-508495,2931,end
378581,-508798,2937,end
378415,-508422,2928,end
378827,-509595,2938,end
378924,-511034,2936,end
379551,-516082,2933,end
378386,-506942,2934,end
378419,-508141,2929,end
378831,-509314,2939,end
378928,-510753,2937,end
379555,-515801,2934,end
378610,-508495,2931,end
378174,-506426,2932,end
379611,-517669,2932,end
379647,-517651,2931,end
378985,-511036,2936,end
379709,-517523,2931,end
379055,-510867,2936,end
379779,-517354,2931,end
378619,-508798,2937,end
376350,-506950,2935,end
376255,-506909,2935,end
375512,-506259,2929,end
375606,-506250,2929,end
375700,-506232,2929,end
375589,-506187,2929,end
375494,-506144,2929,end
375400,-506098,2929,end
376138,-506434,2933,end
376043,-506393,2933,end
377233,-507748,2939,end
377236,-507748,2939,end
378072,-516939,2940,end
377270,-509656,2940,end
378237,-516922,2940,end
377681,-510120,2944,end
378161,-516918,2940,end
377322,-507727,2939,end
377325,-507727,2939,end
378326,-516901,2940,end
377359,-509635,2940,end
377770,-510099,2944,end
376892,-509452,2941,end
376740,-506459,2938,end
376743,-506459,2938,end
377188,-508831,2943,end
377298,-509907,2941,end
376753,-506096,2938,end
376756,-506096,2938,end
377201,-508468,2943,end
377302,-509626,2942,end
376757,-505815,2939,end
376760,-505815,2939,end
376794,-507723,2940,end
377205,-508187,2944,end
376849,-507665,2936,end
376852,-507665,2936,end
376911,-507537,2936,end
376914,-507537,2936,end
377359,-509909,2941,end
376981,-507368,2936,end
376984,-507368,2936,end
377429,-509740,2941,end
376545,-505299,2937,end
376548,-505299,2937,end
376993,-507671,2942,end
376695,-507643,2940,end
376698,-507643,2940,end
377143,-510015,2945,end
378332,-516912,2940,end
378426,-516892,2940,end
377328,-507738,2939,end
377422,-507718,2939,end
377425,-507718,2939,end
377365,-509646,2940,end
377776,-510110,2944,end
377967,-511529,2942,end
377459,-509626,2940,end
377870,-510090,2944,end
377238,-510056,2945,end
378350,-516888,2940,end
376784,-507622,2940,end
376787,-507622,2940,end
377232,-509994,2945,end
378421,-516891,2940,end
378515,-516871,2940,end
378051,-516522,2940,end
377417,-507717,2939,end
377511,-507697,2939,end
376879,-507663,2940,end
376882,-507663,2940,end
377514,-507697,2939,end
377454,-509625,2940,end
377962,-511528,2942,end
377865,-510089,2944,end
377548,-509605,2940,end
378056,-511508,2942,end
377959,-510069,2944,end
377327,-510035,2945,end
376835,-506449,2938,end
376929,-506429,2938,end
376848,-506086,2938,end
376942,-506066,2938,end
375364,-504899,2934,end
375458,-504945,2934,end
375476,-505060,2934,end
375553,-504988,2934,end
375570,-505051,2934,end
375664,-505033,2934,end
376408,-505787,2939,end
376852,-505805,2939,end
376946,-505785,2939,end
376219,-505710,2940,end
376314,-505751,2940,end
377038,-507635,2936,end
377006,-507527,2936,end
377100,-507507,2936,end
377076,-507358,2936,end
377170,-507338,2936,end
376196,-505271,2937,end
376640,-505289,2937,end
376734,-505269,2937,end
376007,-505194,2938,end
376102,-505235,2938,end
376949,-505785,2939,end
376222,-505710,2940,end
376317,-505751,2940,end
376010,-505194,2938,end
375367,-504899,2934,end
375461,-504945,2934,end
375556,-504988,2934,end
375667,-505033,2934,end
377173,-507338,2936,end
376105,-505235,2938,end
376737,-505269,2937,end
377283,-508821,2943,end
377377,-508801,2943,end
377397,-509616,2942,end
377487,-509877,2941,end
377491,-509596,2942,end
377296,-508458,2943,end
377390,-508438,2943,end
377524,-509730,2941,end
377050,-507661,2942,end
377088,-507661,2942,end
377176,-508177,2944,end
377300,-508177,2944,end
377548,-509879,2941,end
377618,-509710,2941,end
377144,-507641,2942,end
377182,-507641,2942,end
377270,-508157,2944,end
377394,-508157,2944,end
376455,-507566,2943,end
376550,-507607,2943,end
376667,-508082,2945,end
376762,-508123,2945,end
375696,-516088,2963,end
375913,-516110,2963,end
376094,-516089,2963,end
373287,-514562,2965,end
373381,-514608,2965,end
373399,-514723,2965,end
373476,-514651,2965,end
373493,-514714,2965,end
373587,-514696,2965,end
373721,-515155,2968,end
373815,-515199,2968,end
373909,-515245,2968,end
374119,-514934,2968,end
374468,-514962,2968,end
374563,-514952,2968,end
