Crit0,Crit1,Crit2,end
378678,-506963,2934,end
379688,-511247,2939,end
379123,-509335,2939,end
378445,-506913,2934,end
379455,-511197,2939,end
378890,-509285,2939,end
377987,-507637,2944,end
376977,-503353,2939,end
377422,-505725,2944,end
378003,-507799,2944,end
376993,-503515,2939,end
378020,-507967,2944,end
377010,-503683,2939,end
377455,-506055,2944,end
376019,-509189,2967,end
375009,-504905,2962,end
375454,-507277,2967,end
376152,-509275,2967,end
375142,-504991,2962,end
375587,-507363,2967,end
375786,-509139,2967,end
375221,-507227,2967,end
372910,-501294,2967,end
374318,-505579,2972,end
373308,-501295,2967,end
374451,-505665,2972,end
373441,-501381,2967,end
373886,-503753,2972,end
374467,-505827,2972,end
373457,-501543,2967,end
374484,-505995,2972,end
373474,-501711,2967,end
373919,-504083,2972,end
379902,-509942,2928,end
381038,-517602,2933,end
379869,-508743,2933,end
380870,-517917,2934,end
380411,-512554,2936,end
380314,-511115,2938,end
378877,-509958,2943,end
379337,-508030,2928,end
380473,-515690,2933,end
379304,-506831,2933,end
379749,-509203,2938,end
379092,-506315,2931,end
379537,-508687,2936,end
377652,-504582,2933,end
378168,-505133,2938,end
378710,-508944,2941,end
378613,-507505,2943,end
376731,-503976,2943,end
378184,-505295,2938,end
378726,-509106,2941,end
378629,-507667,2943,end
378743,-509274,2941,end
378201,-505463,2938,end
378646,-507835,2943,end
376747,-504138,2943,end
376764,-504306,2943,end
377603,-503221,2938,end
378048,-505593,2943,end
377391,-502705,2936,end
377836,-505077,2941,end
376166,-502064,2943,end
376611,-504436,2948,end
377619,-503383,2938,end
378064,-505755,2943,end
377407,-502867,2936,end
377852,-505239,2941,end
377636,-503551,2938,end
378081,-505923,2943,end
377424,-503035,2936,end
377869,-505407,2941,end
376182,-502226,2943,end
376627,-504598,2948,end
376199,-502394,2943,end
376644,-504766,2948,end
380818,-517102,2933,end
379649,-508243,2933,end
380650,-517417,2934,end
380094,-510615,2938,end
378657,-509458,2943,end
380477,-516743,2930,end
379084,-506331,2933,end
379529,-508703,2938,end
379308,-507884,2930,end
379753,-510256,2935,end
378872,-505815,2931,end
379317,-508187,2936,end
380585,-517052,2933,end
379416,-508193,2933,end
380417,-517367,2934,end
379861,-510565,2938,end
378453,-506280,2933,end
378898,-508652,2938,end
378241,-505764,2931,end
378686,-508136,2936,end
378851,-506281,2933,end
379296,-508653,2938,end
378639,-505765,2931,end
379084,-508137,2936,end
376985,-502720,2938,end
377430,-505092,2943,end
376773,-502204,2936,end
377218,-504576,2941,end
377948,-504633,2938,end
378393,-507005,2943,end
376511,-503476,2943,end
377964,-504795,2938,end
378409,-507167,2943,end
376527,-503638,2943,end
377981,-504963,2938,end
378426,-507335,2943,end
376544,-503806,2943,end
377383,-502721,2938,end
377828,-505093,2943,end
377171,-502205,2936,end
377616,-504577,2941,end
375946,-501564,2943,end
376391,-503936,2948,end
375007,-500973,2942,end
375102,-501014,2942,end
377399,-502883,2938,end
377844,-505255,2943,end
377187,-502367,2936,end
377632,-504739,2941,end
377416,-503051,2938,end
377861,-505423,2943,end
377640,-504604,2935,end
378085,-506976,2940,end
377204,-502535,2936,end
377649,-504907,2941,end
375962,-501726,2943,end
376407,-504098,2948,end
375118,-501176,2942,end
375979,-501894,2943,end
376424,-504266,2948,end
379145,-512119,2940,end
379048,-510680,2942,end
378974,-516161,2950,end
377805,-507302,2950,end
378806,-516476,2951,end
377369,-515319,2956,end
378347,-511113,2953,end
376910,-509956,2958,end
378250,-509674,2955,end
376813,-508517,2960,end
378999,-516417,2947,end
377830,-507558,2947,end
379246,-516844,2947,end
378077,-507985,2947,end
379396,-517093,2946,end
378227,-508234,2946,end
378275,-509930,2952,end
379078,-517159,2948,end
378522,-510357,2952,end
378769,-512045,2949,end
378672,-510606,2951,end
377085,-509200,2957,end
377235,-509449,2956,end
377782,-509201,2953,end
377240,-505390,2950,end
377685,-507762,2955,end
377028,-504874,2948,end
377473,-507246,2953,end
377265,-505646,2947,end
377710,-508018,2952,end
377053,-505130,2945,end
377512,-506073,2947,end
377957,-508445,2952,end
378831,-515181,2946,end
377662,-506322,2946,end
378107,-508694,2951,end
377300,-505557,2945,end
379055,-516734,2943,end
377450,-505806,2944,end
378331,-510247,2948,end
377895,-508178,2949,end
378741,-516111,2950,end
377572,-507252,2950,end
379013,-516794,2947,end
377844,-507935,2947,end
378017,-509624,2955,end
378289,-510307,2952,end
376609,-505339,2950,end
377054,-507711,2955,end
377007,-505340,2950,end
377452,-507712,2955,end
377279,-506023,2947,end
377724,-508395,2952,end
376795,-504824,2948,end
377240,-507196,2953,end
376902,-504698,2942,end
376337,-502786,2942,end
376151,-506063,2960,end
376104,-503692,2955,end
376129,-503948,2952,end
376376,-504375,2952,end
376526,-504624,2951,end
376646,-507503,2958,end
376549,-506064,2960,end
376574,-506320,2957,end
376821,-506747,2957,end
376971,-506996,2956,end
375141,-501779,2955,end
375586,-504151,2960,end
374929,-501263,2953,end
375374,-503635,2958,end
376081,-505591,2958,end
375539,-501780,2955,end
375984,-504152,2960,end
375327,-501264,2953,end
375772,-503636,2958,end
375564,-502036,2952,end
376009,-504408,2957,end
375352,-501520,2950,end
375811,-502463,2952,end
376256,-504835,2957,end
375961,-502712,2951,end
376406,-505084,2956,end
375599,-501947,2950,end
376630,-506637,2953,end
375749,-502196,2949,end
376194,-504568,2954,end
374667,-502535,2960,end
375112,-504907,2965,end
374692,-502791,2957,end
374939,-503218,2957,end
375384,-505590,2962,end
375089,-503467,2956,end
374102,-500623,2960,end
374547,-502995,2965,end
374127,-500879,2957,end
374374,-501306,2957,end
374819,-503678,2962,end
374524,-501555,2956,end
374969,-503927,2961,end
373163,-500032,2959,end
373258,-500073,2959,end
376918,-504860,2942,end
376353,-502948,2942,end
376120,-503854,2955,end
376662,-507665,2958,end
376565,-506226,2960,end
374683,-502697,2960,end
375128,-505069,2965,end
376145,-504110,2952,end
376590,-506482,2957,end
374708,-502953,2957,end
375153,-505325,2962,end
376392,-504537,2952,end
376837,-506909,2957,end
376542,-504786,2951,end
376987,-507158,2956,end
374955,-503380,2957,end
375400,-505752,2962,end
376097,-505753,2958,end
375555,-501942,2955,end
376000,-504314,2960,end
375343,-501426,2953,end
375788,-503798,2958,end
375580,-502198,2952,end
376025,-504570,2957,end
375368,-501682,2950,end
375827,-502625,2952,end
376272,-504997,2957,end
375977,-502874,2951,end
376422,-505246,2956,end
375615,-502109,2950,end
375765,-502358,2949,end
376210,-504730,2954,end
374118,-500785,2960,end
374563,-503157,2965,end
374143,-501041,2957,end
374390,-501468,2957,end
374835,-503840,2962,end
374540,-501717,2956,end
374985,-504089,2961,end
376137,-504022,2955,end
374700,-502865,2960,end
376679,-507833,2958,end
376582,-506394,2960,end
375145,-505237,2965,end
376162,-504278,2952,end
376607,-506650,2957,end
374725,-503121,2957,end
375170,-505493,2962,end
376409,-504705,2952,end
376854,-507077,2957,end
376559,-504954,2951,end
377004,-507326,2956,end
374972,-503548,2957,end
375417,-505920,2962,end
376370,-503116,2942,end
375572,-502110,2955,end
376114,-505921,2958,end
376017,-504482,2960,end
375360,-501594,2953,end
375805,-503966,2958,end
375597,-502366,2952,end
376042,-504738,2957,end
375844,-502793,2952,end
376289,-505165,2957,end
375994,-503042,2951,end
376439,-505414,2956,end
375632,-502277,2950,end
374135,-500953,2960,end
374160,-501209,2957,end
374407,-501636,2957,end
374852,-504008,2962,end
374557,-501885,2956,end
376627,-502683,2937,end
377072,-505055,2942,end
376415,-502167,2935,end
376860,-504539,2940,end
378493,-506244,2932,end
378938,-508616,2937,end
378281,-505728,2930,end
378726,-508100,2935,end
377025,-502684,2937,end
377470,-505056,2942,end
376813,-502168,2935,end
377258,-504540,2940,end
375588,-501527,2942,end
376191,-506027,2959,end
374754,-504870,2964,end
374783,-501742,2954,end
374571,-501226,2952,end
375016,-503598,2957,end
376649,-505303,2949,end
377094,-507675,2954,end
375181,-501743,2954,end
375626,-504115,2959,end
374969,-501227,2952,end
375414,-503599,2957,end
373744,-500586,2959,end
377201,-515859,2962,end
376981,-515359,2962,end
375137,-514418,2979,end
373700,-513261,2984,end
377334,-515945,2962,end
377114,-515445,2962,end
375270,-514504,2979,end
373833,-513347,2984,end
375542,-515187,2976,end
377369,-515544,2961,end
376200,-506685,2961,end
376645,-509057,2966,end
375208,-507900,2971,end
375635,-504773,2961,end
376080,-507145,2966,end
375868,-506629,2964,end
374499,-503075,2966,end
374944,-505447,2971,end
373934,-501163,2966,end
374379,-503535,2971,end
373722,-500647,2964,end
374167,-503019,2969,end
373062,-501918,2971,end
372497,-500006,2971,end
372942,-502378,2976,end
372285,-499490,2969,end
372730,-501862,2974,end
377149,-515044,2961,end
375305,-514103,2978,end
375577,-514786,2975,end
375727,-515035,2974,end
375980,-506185,2961,end
376425,-508557,2966,end
375415,-504273,2961,end
375860,-506645,2966,end
375203,-503757,2959,end
375648,-506129,2964,end
375229,-506594,2966,end
375182,-504223,2961,end
375627,-506595,2966,end
374970,-503707,2959,end
375415,-506079,2964,end
374279,-502575,2966,end
374724,-504947,2971,end
372842,-501418,2971,end
373316,-500662,2966,end
373761,-503034,2971,end
373104,-500146,2964,end
373549,-502518,2969,end
373714,-500663,2966,end
374159,-503035,2971,end
372277,-499506,2971,end
372722,-501878,2976,end
373502,-500147,2964,end
373947,-502519,2969,end
371338,-498915,2970,end
370695,-498620,2966,end
371433,-498956,2970,end
370789,-498666,2966,end
372065,-498990,2969,end
372510,-501362,2974,end
370995,-498754,2966,end
370884,-498709,2966,end
375379,-508622,2970,end
374136,-505244,2978,end
374581,-507616,2983,end
372417,-506384,2989,end
373144,-506459,2988,end
372512,-506425,2989,end
374408,-505927,2975,end
374853,-508299,2980,end
374558,-506176,2974,end
375003,-508548,2979,end
373416,-507142,2985,end
373566,-507391,2984,end
373571,-503332,2978,end
374016,-505704,2983,end
373359,-502816,2976,end
373804,-505188,2981,end
373843,-504015,2975,end
374288,-506387,2980,end
373993,-504264,2974,end
374438,-506636,2979,end
373781,-503748,2972,end
370676,-498999,2972,end
373903,-505194,2978,end
374348,-507566,2983,end
372184,-506334,2989,end
372279,-506375,2989,end
373338,-503282,2978,end
373783,-505654,2983,end
373126,-502766,2976,end
373571,-505138,2981,end
373233,-502640,2970,end
372668,-500728,2970,end
371019,-499055,2973,end
372482,-504005,2988,end
372435,-501634,2983,end
372880,-504006,2988,end
372707,-502317,2980,end
373152,-504689,2985,end
372857,-502566,2979,end
373302,-504938,2984,end
371472,-499721,2983,end
371917,-502093,2988,end
371260,-499205,2981,end
371705,-501577,2986,end
370803,-498773,2970,end
371870,-499722,2983,end
372315,-502094,2988,end
371658,-499206,2981,end
372103,-501578,2986,end
372142,-500405,2980,end
372587,-502777,2985,end
372292,-500654,2979,end
372737,-503026,2984,end
372080,-500138,2977,end
370271,-500402,2989,end
370716,-502774,2994,end
370998,-500477,2988,end
370811,-502815,2994,end
371443,-502849,2993,end
371270,-501160,2985,end
371420,-501409,2984,end
371715,-503532,2990,end
371865,-503781,2989,end
368639,-497541,2976,end
367996,-497246,2972,end
368090,-497292,2972,end
368296,-497380,2972,end
368185,-497335,2972,end
368734,-497582,2976,end
369366,-497616,2975,end
368851,-497679,2983,end
368945,-497725,2983,end
369040,-497768,2983,end
369151,-497813,2983,end
369706,-498490,2989,end
370151,-500862,2994,end
369801,-498531,2989,end
370433,-498565,2988,end
370246,-500903,2994,end
370878,-500937,2993,end
370705,-499248,2985,end
371150,-501620,2990,end
370855,-499497,2984,end
371300,-501869,2989,end
369494,-497974,2987,end
369939,-500346,2992,end
369589,-498015,2987,end
370034,-500387,2992,end
370221,-498049,2986,end
370666,-500421,2991,end
370643,-498981,2982,end
376937,-513718,2961,end
377502,-515630,2961,end
376941,-514771,2958,end
377282,-515130,2961,end
375438,-514189,2978,end
375463,-514445,2975,end
375710,-514872,2975,end
375519,-514762,2971,end
375295,-513209,2974,end
375860,-515121,2974,end
376875,-510582,2964,end
376333,-506771,2961,end
376778,-509143,2966,end
375341,-507986,2971,end
375768,-504859,2961,end
376213,-507231,2966,end
376001,-506715,2964,end
375174,-506972,2969,end
374632,-503161,2966,end
375077,-505533,2971,end
373195,-502004,2971,end
374067,-501249,2966,end
374512,-503621,2971,end
372630,-500092,2971,end
373075,-502464,2976,end
373855,-500733,2964,end
374300,-503105,2969,end
372418,-499576,2969,end
372863,-501948,2974,end
373871,-500895,2964,end
374083,-501411,2966,end
374648,-503323,2966,end
375190,-507134,2969,end
375093,-505695,2971,end
374528,-503783,2971,end
374316,-503267,2969,end
375207,-507302,2969,end
373888,-501063,2964,end
374100,-501579,2966,end
374665,-503491,2966,end
375110,-505863,2971,end
374545,-503951,2971,end
374333,-503435,2969,end
373211,-502166,2971,end
372646,-500254,2971,end
373091,-502626,2976,end
372434,-499738,2969,end
372879,-502110,2974,end
373228,-502334,2971,end
372663,-500422,2971,end
372451,-499906,2969,end
372896,-502278,2974,end
376113,-506271,2961,end
376558,-508643,2966,end
375121,-507486,2971,end
375548,-504359,2961,end
375993,-506731,2966,end
376217,-508284,2963,end
375336,-503843,2959,end
375781,-506215,2964,end
375609,-510147,2968,end
375512,-508708,2970,end
374269,-505330,2978,end
374811,-509141,2981,end
374714,-507702,2983,end
372550,-506470,2989,end
372645,-506511,2989,end
373374,-507984,2986,end
373277,-506545,2988,end
374294,-505586,2975,end
374739,-507958,2980,end
374541,-506013,2975,end
374986,-508385,2980,end
373549,-507228,2985,end
374691,-506262,2974,end
375233,-510073,2977,end
375136,-508634,2979,end
373699,-507477,2984,end
373704,-503418,2978,end
374246,-507229,2981,end
374149,-505790,2983,end
372080,-504599,2989,end
373492,-502902,2976,end
373937,-505274,2981,end
373729,-503674,2975,end
374174,-506046,2980,end
373517,-503158,2973,end
373976,-504101,2975,end
374421,-506473,2980,end
373764,-503585,2973,end
374126,-504350,2974,end
374571,-506722,2979,end
374795,-508275,2976,end
373914,-503834,2972,end
374359,-506206,2977,end
374412,-502661,2966,end
374857,-505033,2971,end
372975,-501504,2971,end
374428,-502823,2966,end
374873,-505195,2971,end
372991,-501666,2971,end
374445,-502991,2966,end
374890,-505363,2971,end
373008,-501834,2971,end
373847,-500749,2966,end
374292,-503121,2971,end
373635,-500233,2964,end
374080,-502605,2969,end
372410,-499592,2971,end
372855,-501964,2976,end
371471,-499001,2970,end
370828,-498706,2966,end
371566,-499042,2970,end
370922,-498752,2966,end
372198,-499076,2969,end
372643,-501448,2974,end
371128,-498840,2966,end
371017,-498795,2966,end
373863,-500911,2966,end
374308,-503283,2971,end
373651,-500395,2964,end
374096,-502767,2969,end
373880,-501079,2966,end
374325,-503451,2971,end
373668,-500563,2964,end
374113,-502935,2969,end
372426,-499754,2971,end
372871,-502126,2976,end
371582,-499204,2970,end
372214,-499238,2969,end
372659,-501610,2974,end
372443,-499922,2971,end
372888,-502294,2976,end
372231,-499406,2969,end
372676,-501778,2974,end
373366,-502726,2970,end
373382,-502888,2970,end
372568,-501720,2983,end
373110,-505531,2986,end
373013,-504092,2988,end
370849,-502860,2994,end
370944,-502901,2994,end
371131,-500563,2988,end
371673,-504374,2991,end
371576,-502935,2993,end
372584,-501882,2983,end
373126,-505693,2986,end
373029,-504254,2988,end
371147,-500725,2988,end
371689,-504536,2991,end
371592,-503097,2993,end
370960,-503063,2994,end
372601,-502050,2983,end
373143,-505861,2986,end
373046,-504422,2988,end
371164,-500893,2988,end
371706,-504704,2991,end
371609,-503265,2993,end
370977,-503231,2994,end
372593,-501976,2980,end
373038,-504348,2985,end
371156,-500819,2985,end
371601,-503191,2990,end
372609,-502138,2980,end
373054,-504510,2985,end
371172,-500981,2985,end
371617,-503353,2990,end
372626,-502306,2980,end
373071,-504678,2985,end
371189,-501149,2985,end
371634,-503521,2990,end
372840,-502403,2980,end
373285,-504775,2985,end
372856,-502565,2980,end
373301,-504937,2985,end
372873,-502733,2980,end
373318,-505105,2985,end
372990,-502652,2979,end
373435,-505024,2984,end
373006,-502814,2979,end
373451,-505186,2984,end
373023,-502982,2979,end
373468,-505354,2984,end
371403,-501246,2985,end
371419,-501408,2985,end
371436,-501576,2985,end
371848,-503618,2990,end
371864,-503780,2990,end
371881,-503948,2990,end
371553,-501495,2984,end
371998,-503867,2989,end
372014,-504029,2989,end
372031,-504197,2989,end
372801,-500814,2970,end
372817,-500976,2970,end
372834,-501144,2970,end
370936,-498859,2970,end
372545,-503619,2986,end
372003,-499808,2983,end
372448,-502180,2988,end
371791,-499292,2981,end
372236,-501664,2986,end
372561,-503781,2986,end
372019,-499970,2983,end
372464,-502342,2988,end
371807,-499454,2981,end
372252,-501826,2986,end
372036,-500138,2983,end
372578,-503949,2986,end
372481,-502510,2988,end
371824,-499622,2981,end
372269,-501994,2986,end
372028,-500064,2980,end
372473,-502436,2985,end
371816,-499548,2978,end
372275,-500491,2980,end
372720,-502863,2985,end
372063,-499975,2978,end
372425,-500740,2979,end
372870,-503112,2984,end
373094,-504665,2981,end
372213,-500224,2977,end
372658,-502596,2982,end
372044,-500226,2980,end
372489,-502598,2985,end
371832,-499710,2978,end
372061,-500394,2980,end
372506,-502766,2985,end
372291,-500653,2980,end
372736,-503025,2985,end
372079,-500137,2978,end
372441,-500902,2979,end
372886,-503274,2984,end
372229,-500386,2977,end
372674,-502758,2982,end
372308,-500821,2980,end
372753,-503193,2985,end
372458,-501070,2979,end
372903,-503442,2984,end
372096,-500305,2978,end
371152,-499141,2973,end
368772,-497627,2976,end
368129,-497332,2972,end
368223,-497378,2972,end
368318,-497421,2972,end
368429,-497466,2972,end
369499,-497702,2975,end
368867,-497668,2976,end
369839,-498576,2989,end
370284,-500948,2994,end
369627,-498060,2987,end
370072,-500432,2992,end
368984,-497765,2983,end
369078,-497811,2983,end
369173,-497854,2983,end
369284,-497899,2983,end
369934,-498617,2989,end
369722,-498101,2987,end
370566,-498651,2988,end
370354,-498135,2986,end
370591,-498907,2985,end
370379,-498391,2983,end
370838,-499334,2985,end
370626,-498818,2983,end
370988,-499583,2984,end
370776,-499067,2982,end
371108,-502462,2991,end
371011,-501023,2993,end
370379,-500989,2994,end
370799,-500507,2991,end
370167,-500473,2992,end
371036,-501279,2990,end
371283,-501706,2990,end
371221,-501439,2987,end
371433,-501955,2989,end
369515,-497864,2975,end
369950,-498779,2989,end
370582,-498813,2988,end
371124,-502624,2991,end
371027,-501185,2993,end
370395,-501151,2994,end
369738,-498263,2987,end
370183,-500635,2992,end
370370,-498297,2986,end
370815,-500669,2991,end
370607,-499069,2985,end
371052,-501441,2990,end
370395,-498553,2983,end
370854,-499496,2985,end
371299,-501868,2990,end
371004,-499745,2984,end
371449,-502117,2989,end
370642,-498980,2983,end
370792,-499229,2982,end
371237,-501601,2987,end
369967,-498947,2989,end
370599,-498981,2988,end
370387,-498465,2986,end
369755,-498431,2987,end
370624,-499237,2985,end
370871,-499664,2985,end
371021,-499913,2984,end
370659,-499148,2983,end
371141,-502792,2991,end
371044,-501353,2993,end
370412,-501319,2994,end
370832,-500837,2991,end
370200,-500803,2992,end
371069,-501609,2990,end
