Crit0,Crit1,Crit2,end
334729,-386446,2296,end
334549,-386319,2297,end
334580,-386173,2298,end
334729,-386408,2304,end
334729,-385634,2305,end
334729,-385239,2305,end
334549,-386198,2306,end
334549,-384985,2306,end
334549,-384654,2306,end
334387,-385862,2307,end
334390,-384496,2308,end
334390,-384252,2308,end
336670,-386286,2324,end
336744,-386277,2323,end
337186,-386255,2324,end
334199,-382864,2334,end
334207,-382864,2334,end
334152,-382760,2334,end
334159,-382760,2334,end
334106,-382652,2334,end
334113,-382652,2334,end
334194,-383441,2336,end
334240,-383422,2336,end
334288,-383416,2336,end
334828,-383873,2337,end
334734,-383632,2337,end
334781,-383751,2337,end
335304,-384408,2340,end
335350,-384378,2340,end
334471,-383535,2340,end
335398,-384360,2340,end
335610,-383910,2340,end
334517,-383651,2340,end
334564,-383761,2340,end
335658,-383901,2340,end
335564,-383873,2340,end
337618,-386630,2308,end
337438,-386503,2309,end
337469,-386357,2310,end
337618,-386592,2316,end
337618,-385818,2317,end
337618,-385423,2317,end
337438,-386382,2318,end
337438,-385169,2318,end
337438,-384838,2318,end
337276,-386046,2319,end
337279,-384680,2320,end
337279,-384436,2320,end
339559,-386470,2336,end
339633,-386461,2335,end
340075,-386439,2336,end
337088,-383048,2346,end
337096,-383048,2346,end
337041,-382944,2346,end
337048,-382944,2346,end
336995,-382836,2346,end
337002,-382836,2346,end
337083,-383625,2348,end
337129,-383606,2348,end
337177,-383600,2348,end
337623,-383816,2349,end
337670,-383935,2349,end
337717,-384057,2349,end
338193,-384592,2352,end
338239,-384562,2352,end
337360,-383719,2352,end
338287,-384544,2352,end
337406,-383835,2352,end
337453,-383945,2352,end
338453,-384057,2352,end
338499,-384094,2352,end
338547,-384085,2352,end
333119,-382645,2326,end
338824,-386418,2335,end
339280,-386402,2335,end
339340,-386387,2335,end
339796,-386371,2335,end
334033,-382801,2358,end
334121,-382844,2358,end
334210,-382890,2358,end
334216,-383073,2358,end
334304,-383094,2358,end
334393,-383073,2358,end
334469,-383563,2361,end
334557,-383603,2360,end
334645,-383649,2360,end
334947,-383058,2362,end
335035,-383099,2362,end
335123,-383143,2361,end
335891,-383215,2361,end
335979,-383218,2361,end
336068,-383206,2361,end
334293,-382266,2358,end
334381,-382309,2358,end
334470,-382355,2358,end
334476,-382538,2358,end
334564,-382559,2358,end
334653,-382538,2358,end
334729,-383028,2361,end
335207,-382523,2362,end
335295,-382564,2362,end
335383,-382608,2361,end
336151,-382680,2361,end
336239,-382683,2361,end
336328,-382671,2361,end
336432,-383583,2348,end
336432,-383487,2348,end
336853,-383463,2347,end
336853,-383454,2347,end
337718,-384005,2351,end
338174,-383989,2351,end
333200,-381928,2358,end
333288,-381971,2358,end
333377,-382017,2358,end
333383,-382200,2358,end
333471,-382221,2358,end
333560,-382200,2358,end
334114,-382185,2362,end
334202,-382226,2362,end
334290,-382270,2361,end
335058,-382342,2361,end
335146,-382345,2361,end
335235,-382333,2361,end
336625,-383667,2351,end
337081,-383651,2351,end
332928,-381257,2352,end
332936,-381257,2352,end
332881,-381153,2352,end
332888,-381153,2352,end
332835,-381045,2352,end
332842,-381045,2352,end
332923,-381834,2354,end
332969,-381815,2354,end
333017,-381809,2354,end
333463,-382025,2355,end
333510,-382144,2355,end
334339,-382303,2358,end
334387,-382294,2358,end
332923,-381088,2352,end
333012,-381134,2352,end
333018,-381317,2352,end
333106,-381338,2352,end
333195,-381317,2352,end
333271,-381807,2355,end
333359,-381847,2354,end
333447,-381893,2354,end
333749,-381302,2356,end
333837,-381343,2356,end
333925,-381387,2355,end
334106,-382179,2344,end
334106,-381996,2344,end
334556,-382290,2342,end
334556,-382167,2343,end
334693,-381459,2355,end
334781,-381462,2355,end
334870,-381450,2355,end
334974,-382266,2342,end
335395,-382247,2340,end
335395,-382242,2341,end
335395,-382233,2341,end
336716,-382768,2345,end
332930,-381088,2352,end
333019,-381134,2352,end
333756,-381302,2356,end
333844,-381343,2356,end
333932,-381387,2355,end
334877,-381450,2355,end
334981,-382266,2342,end
335402,-382247,2340,end
335402,-382242,2341,end
335402,-382233,2341,end
336723,-382768,2345,end
333024,-381300,2352,end
333058,-381242,2352,end
333065,-381242,2352,end
333883,-381451,2356,end
334916,-381558,2355,end
335441,-382355,2340,end
335441,-382350,2341,end
335441,-382341,2341,end
333890,-381451,2356,end
334923,-381558,2355,end
335448,-382355,2340,end
335448,-382350,2341,end
335448,-382341,2341,end
333930,-381555,2356,end
334963,-381662,2355,end
335488,-382459,2340,end
335488,-382454,2341,end
335488,-382445,2341,end
333938,-381555,2356,end
334971,-381662,2355,end
335496,-382459,2340,end
335496,-382454,2341,end
335496,-382445,2341,end
333423,-382133,2358,end
333837,-382091,2358,end
333925,-382132,2358,end
334013,-382176,2357,end
334781,-382248,2357,end
334869,-382251,2357,end
334958,-382239,2357,end
334377,-382282,2359,end
334465,-382323,2359,end
335321,-382439,2358,end
335409,-382442,2358,end
335498,-382430,2358,end
335253,-382560,2362,end
335341,-382601,2362,end
335429,-382645,2361,end
336374,-382708,2361,end
336478,-383524,2348,end
336899,-383500,2347,end
336899,-383491,2347,end
338220,-384026,2351,end
334248,-382342,2362,end
335281,-382449,2361,end
333883,-382072,2358,end
333971,-382113,2358,end
334059,-382157,2357,end
334827,-382229,2357,end
334915,-382232,2357,end
335004,-382220,2357,end
335545,-382549,2358,end
335301,-382551,2362,end
335389,-382592,2362,end
335477,-382636,2361,end
336422,-382699,2361,end
336526,-383515,2348,end
336947,-383491,2347,end
336947,-383482,2347,end
338268,-384017,2351,end
334295,-382452,2362,end
335328,-382559,2361,end
333931,-382066,2358,end
334019,-382107,2358,end
334107,-382151,2357,end
335052,-382214,2357,end
331567,-381773,2358,end
331613,-381889,2358,end
331248,-380998,2352,end
331255,-380998,2352,end
331202,-380890,2352,end
331209,-380890,2352,end
331655,-381816,2358,end
331336,-381041,2352,end
331343,-381041,2352,end
331290,-380933,2352,end
331297,-380933,2352,end
331744,-381862,2358,end
332481,-382030,2362,end
332569,-382071,2362,end
332657,-382115,2361,end
333602,-382178,2361,end
331379,-380979,2352,end
331386,-380979,2352,end
332162,-381255,2356,end
332169,-381255,2356,end
332116,-381147,2356,end
332123,-381147,2356,end
332250,-381917,2358,end
332298,-381911,2358,end
332744,-382127,2359,end
332250,-381296,2356,end
332257,-381296,2356,end
332204,-381188,2356,end
332211,-381188,2356,end
333237,-381295,2355,end
333244,-381295,2355,end
332292,-381232,2355,end
332299,-381232,2355,end
333419,-382059,2357,end
332832,-382168,2359,end
334456,-384243,2363,end
334544,-384284,2363,end
335400,-384400,2362,end
335488,-384403,2362,end
335577,-384391,2362,end
337702,-385777,2353,end
338651,-386760,2339,end
339107,-386744,2339,end
339386,-386812,2340,end
339451,-386782,2338,end
339730,-386850,2339,end
339326,-386716,2337,end
339782,-386700,2337,end
340061,-386768,2338,end
330122,-380702,2330,end
330131,-380702,2331,end
331036,-380858,2362,end
331045,-380858,2363,end
331148,-381388,2363,end
331303,-381796,2366,end
331597,-381232,2368,end
331758,-381243,2373,end
331934,-381452,2373,end
332037,-381567,2371,end
332037,-381404,2371,end
332176,-382108,2375,end
332176,-381652,2367,end
332202,-382293,2373,end
332289,-381877,2371,end
332289,-381708,2371,end
332290,-381400,2368,end
332454,-382600,2371,end
332607,-382780,2370,end
332608,-382021,2371,end
332608,-381898,2371,end
329931,-379314,2356,end
329939,-379314,2356,end
329884,-379210,2356,end
329891,-379210,2356,end
329838,-379102,2356,end
329845,-379102,2356,end
329926,-379891,2358,end
329972,-379872,2358,end
330020,-379866,2358,end
330466,-380082,2359,end
330513,-380201,2359,end
330560,-380323,2359,end
330203,-379985,2362,end
330249,-380101,2362,end
330296,-380211,2362,end
331082,-380828,2362,end
331130,-380810,2362,end
331296,-380323,2362,end
331342,-380360,2362,end
331390,-380351,2362,end
329847,-379102,2357,end
329950,-379632,2357,end
330399,-379476,2362,end
330560,-379487,2367,end
330736,-379696,2367,end
330839,-379811,2365,end
330839,-379648,2365,end
330978,-380352,2369,end
330978,-379896,2361,end
331004,-380537,2367,end
