Crit0,Crit1,Crit2,end
344570,-387467,2347,end
328940,-378105,2371,end
329028,-378148,2371,end
329117,-378194,2371,end
329067,-378192,2371,end
330571,-378627,2386,end
329858,-378242,2376,end
331645,-378710,2385,end
331484,-378699,2380,end
330932,-378325,2375,end
332364,-379576,2398,end
330615,-378792,2387,end
330764,-378812,2391,end
330906,-378832,2391,end
331354,-378882,2390,end
329902,-378407,2377,end
330051,-378427,2381,end
330193,-378447,2381,end
330641,-378497,2380,end
331689,-378875,2386,end
331838,-378895,2390,end
331980,-378915,2390,end
332428,-378965,2389,end
330976,-378490,2376,end
331125,-378510,2380,end
331267,-378530,2380,end
331715,-378580,2379,end
332408,-379741,2399,end
332557,-379761,2403,end
332699,-379781,2403,end
333147,-379831,2402,end
334432,-380029,2397,end
334574,-380049,2397,end
335022,-380099,2396,end
333333,-381509,2411,end
332915,-380644,2409,end
333057,-380664,2409,end
333475,-381529,2411,end
333923,-381579,2410,end
333505,-380714,2408,end
334426,-381847,2411,end
334150,-381002,2409,end
334244,-381030,2409,end
334568,-381867,2411,end
334662,-381895,2411,end
335016,-381917,2410,end
340193,-383213,2391,end
342318,-384599,2382,end
342350,-383904,2373,end
342629,-383972,2374,end
341457,-383448,2375,end
339724,-383288,2394,end
339818,-383316,2394,end
340335,-383233,2391,end
340429,-383261,2391,end
342181,-384551,2381,end
342275,-384579,2381,end
342460,-384619,2382,end
342554,-384647,2382,end
344224,-387434,2367,end
344503,-387502,2368,end
344812,-387562,2366,end
345091,-387630,2367,end
345423,-387507,2363,end
345702,-387575,2364,end
339141,-383460,2396,end
340080,-383539,2395,end
342205,-384925,2386,end
340174,-383567,2395,end
342299,-384953,2386,end
340756,-383734,2393,end
340850,-383762,2393,end
342602,-385052,2383,end
342696,-385080,2383,end
342881,-385120,2384,end
342975,-385148,2384,end
342112,-384239,2377,end
342064,-384135,2377,end
340297,-383640,2392,end
342422,-385026,2383,end
341344,-383862,2392,end
343190,-385180,2382,end
343469,-385248,2383,end
341438,-383890,2392,end
343284,-385208,2382,end
343563,-385276,2383,end
342675,-384080,2374,end
342723,-384184,2374,end
343250,-384952,2377,end
343297,-385071,2377,end
340908,-383585,2389,end
343033,-384971,2380,end
340955,-383695,2389,end
343080,-385081,2380,end
341955,-383807,2389,end
343801,-385125,2379,end
344080,-385193,2380,end
340928,-383687,2390,end
341016,-383728,2390,end
341104,-383772,2389,end
342049,-383835,2389,end
343895,-385153,2379,end
344174,-385221,2380,end
339584,-383210,2394,end
339678,-383238,2394,end
340172,-383338,2393,end
342297,-384724,2384,end
340266,-383366,2393,end
342112,-384684,2383,end
342391,-384752,2384,end
341503,-383556,2375,end
340783,-383283,2390,end
340877,-383311,2390,end
342629,-384601,2380,end
342723,-384629,2380,end
344251,-386983,2364,end
341551,-383660,2375,end
342908,-384669,2381,end
343002,-384697,2381,end
344530,-387051,2365,end
329155,-378235,2371,end
330659,-378670,2386,end
330994,-378875,2391,end
329946,-378285,2376,end
330281,-378490,2381,end
331733,-378753,2385,end
331020,-378368,2375,end
332452,-379619,2398,end
332068,-378958,2390,end
331355,-378573,2380,end
332787,-379824,2403,end
334662,-380092,2397,end
333145,-380707,2409,end
333563,-381572,2411,end
336370,-382512,2409,end
334332,-381073,2409,end
334750,-381938,2411,end
337046,-382707,2407,end
337634,-382835,2406,end
338245,-382780,2403,end
330035,-378331,2376,end
330370,-378536,2381,end
330748,-378716,2386,end
331083,-378921,2391,end
330812,-378763,2386,end
330099,-378378,2376,end
331822,-378799,2385,end
331109,-378414,2375,end
332541,-379665,2398,end
331147,-378968,2391,end
330434,-378583,2381,end
331444,-378619,2380,end
332157,-379004,2390,end
332876,-379870,2403,end
334751,-380138,2397,end
331155,-378522,2375,end
331868,-378907,2385,end
332587,-379773,2398,end
332203,-379112,2390,end
332922,-379978,2403,end
333234,-380753,2409,end
333652,-381618,2411,end
333280,-380869,2409,end
333698,-381734,2411,end
334839,-381984,2411,end
336459,-382558,2409,end
334421,-381119,2409,end
337135,-382753,2407,end
337723,-382881,2406,end
338334,-382826,2403,end
338766,-382616,2399,end
330772,-378499,2380,end
331957,-378694,2379,end
331846,-378582,2379,end
331934,-378623,2379,end
332022,-378667,2378,end
332967,-378730,2378,end
335561,-379864,2385,end
331485,-378884,2390,end
332670,-379079,2389,end
332398,-378956,2384,end
332559,-378967,2389,end
332647,-379008,2389,end
332735,-379052,2388,end
333519,-379104,2383,end
333680,-379115,2388,end
333959,-379276,2386,end
334212,-379272,2383,end
333117,-379822,2397,end
333278,-379833,2402,end
334238,-379970,2396,end
333366,-379874,2402,end
333454,-379918,2401,end
334399,-379981,2401,end
334678,-380142,2399,end
335075,-380176,2399,end
335663,-380304,2398,end
335153,-380101,2396,end
335241,-380142,2396,end
335329,-380186,2395,end
336113,-380238,2390,end
336274,-380249,2395,end
336553,-380410,2393,end
336806,-380406,2390,end
341284,-383790,2379,end
342177,-384246,2377,end
342456,-384314,2378,end
330816,-378664,2381,end
331890,-378747,2380,end
333011,-378895,2379,end
330965,-378684,2385,end
331107,-378704,2385,end
332292,-378899,2384,end
332039,-378767,2384,end
333160,-378915,2383,end
332758,-379633,2397,end
333879,-379781,2396,end
334555,-379976,2394,end
335754,-380049,2390,end
332181,-378787,2384,end
332269,-378828,2384,end
333302,-378935,2383,end
332900,-379653,2397,end
332988,-379694,2397,end
