Crit0,Crit1,Crit2,end
2296064,-2633897,17338,end
2296531,-2634095,17340,end
2297140,-2633987,17342,end
2297140,-2632772,17343,end
2297140,-2632766,17344,end
2297140,-2632758,17344,end
2296531,-2633166,17345,end
2296064,-2633495,17346,end
2296531,-2633093,17347,end
2296531,-2632876,17347,end
2296064,-2632950,17348,end
2296064,-2632545,17348,end
2293719,-2628913,17365,end
2298349,-2634325,17352,end
2299342,-2634494,17354,end
2293839,-2629049,17364,end
2294207,-2629760,17364,end
2293958,-2629191,17364,end
2294552,-2631551,17365,end
2294089,-2629825,17365,end
2294433,-2631406,17366,end
2294313,-2631283,17367,end
2296371,-2630211,17369,end
2296252,-2630199,17370,end
2296490,-2630172,17368,end
2295203,-2629977,17368,end
2295084,-2629839,17369,end
2293969,-2629758,17366,end
2294965,-2629713,17370,end
2299371,-2634456,17354,end
2298378,-2634287,17352,end
2297169,-2633949,17342,end
2296560,-2633128,17345,end
2296560,-2633055,17347,end
2296560,-2632838,17347,end
2297169,-2632734,17343,end
2297169,-2632728,17344,end
2297169,-2632720,17344,end
2293987,-2629153,17364,end
2293868,-2629011,17364,end
2293748,-2628875,17365,end
2296400,-2630173,17369,end
2296281,-2630161,17370,end
2296519,-2630134,17368,end
2295232,-2629939,17368,end
2295113,-2629801,17369,end
2294994,-2629675,17370,end
2299341,-2634432,17354,end
2298348,-2634263,17352,end
2296530,-2632814,17347,end
2297139,-2632710,17343,end
2297139,-2632704,17344,end
2297139,-2632696,17344,end
2296370,-2630149,17369,end
2296251,-2630137,17370,end
2296489,-2630110,17368,end
2295202,-2629915,17368,end
2295083,-2629777,17369,end
2294964,-2629651,17370,end
2293957,-2629129,17364,end
2293838,-2628987,17364,end
2293718,-2628851,17365,end
2299376,-2634318,17354,end
2298383,-2634149,17352,end
2297174,-2633811,17342,end
2296565,-2632990,17345,end
2297174,-2632596,17343,end
2297174,-2632590,17344,end
2297174,-2632582,17344,end
2296565,-2632917,17347,end
2296565,-2632700,17347,end
2294241,-2629584,17364,end
2293992,-2629015,17364,end
2293873,-2628873,17364,end
2293753,-2628737,17365,end
2294123,-2629649,17365,end
2296405,-2630035,17369,end
2296286,-2630023,17370,end
2296524,-2629996,17368,end
2295237,-2629801,17368,end
2295118,-2629663,17369,end
2294003,-2629582,17366,end
2294999,-2629537,17370,end
2299446,-2634283,17355,end
2298453,-2634114,17353,end
2297244,-2633776,17343,end
2296635,-2632955,17346,end
2297244,-2632561,17344,end
2297244,-2632555,17345,end
2297244,-2632547,17345,end
2296635,-2632882,17348,end
2296635,-2632665,17348,end
2294062,-2628980,17365,end
2293943,-2628838,17365,end
2293823,-2628702,17366,end
2296475,-2630000,17370,end
2296356,-2629988,17371,end
2296594,-2629961,17369,end
2295307,-2629766,17369,end
2295188,-2629628,17370,end
2295069,-2629502,17371,end
2299520,-2634291,17355,end
2298527,-2634122,17353,end
2297318,-2633784,17343,end
2296709,-2632963,17346,end
2297318,-2632569,17344,end
2297318,-2632563,17345,end
2297318,-2632555,17345,end
2296709,-2632890,17348,end
2296709,-2632673,17348,end
2294136,-2628988,17365,end
2294017,-2628846,17365,end
2296549,-2630008,17370,end
2296430,-2629996,17371,end
2296668,-2629969,17369,end
2295381,-2629774,17369,end
2295262,-2629636,17370,end
2295143,-2629510,17371,end
2293897,-2628710,17366,end
2299603,-2634263,17355,end
2298610,-2634094,17353,end
2297401,-2633756,17343,end
2296792,-2632935,17346,end
2296792,-2632862,17348,end
2296792,-2632645,17348,end
2297401,-2632541,17344,end
2297401,-2632535,17345,end
2297401,-2632527,17345,end
2294219,-2628960,17365,end
2294100,-2628818,17365,end
2293980,-2628682,17366,end
2296632,-2629980,17370,end
2296513,-2629968,17371,end
2296751,-2629941,17369,end
2295464,-2629746,17369,end
