Crit0,Crit1,Crit2,end
2297180,-2623314,17360,end
2297177,-2623266,17360,end
2297175,-2623219,17360,end
2296734,-2622474,17357,end
2296731,-2622426,17357,end
2296729,-2622379,17357,end
2296828,-2622764,17358,end
2296922,-2623382,17361,end
2296920,-2623335,17361,end
2296744,-2622576,17357,end
2296741,-2622528,17357,end
2296739,-2622481,17357,end
2296934,-2623477,17361,end
2296932,-2623430,17361,end
2296757,-2622682,17357,end
2296754,-2622634,17357,end
2296752,-2622587,17357,end
2296948,-2623568,17361,end
2296946,-2623521,17361,end
2298115,-2625164,17366,end
2298112,-2625116,17366,end
2298110,-2625069,17366,end
2298514,-2626167,17368,end
2298478,-2625091,17364,end
2298472,-2624950,17364,end
2298469,-2624902,17364,end
2298467,-2624855,17364,end
2298566,-2625240,17365,end
2298871,-2625953,17366,end
2296542,-2621829,17356,end
2296539,-2621781,17356,end
2296537,-2621734,17356,end
2296636,-2622119,17357,end
2296941,-2622832,17358,end
2296096,-2620989,17353,end
2296093,-2620941,17353,end
2296091,-2620894,17353,end
2296190,-2621279,17354,end
2296284,-2621897,17357,end
2296282,-2621850,17357,end
2296381,-2622235,17358,end
2296686,-2622948,17359,end
2296106,-2621091,17353,end
2296103,-2621043,17353,end
2296101,-2620996,17353,end
2296200,-2621381,17354,end
2296296,-2621992,17357,end
2296294,-2621945,17357,end
2296393,-2622330,17358,end
2296698,-2623043,17359,end
2296114,-2621102,17353,end
2296213,-2621487,17354,end
2296308,-2622036,17357,end
2296712,-2623134,17359,end
2296407,-2622421,17358,end
2296885,-2623579,17366,end
2296882,-2623531,17366,end
2296880,-2623484,17366,end
2296979,-2623869,17367,end
2297284,-2624582,17368,end
2297218,-2623773,17364,end
2297215,-2623725,17364,end
2297213,-2623678,17364,end
2297312,-2624063,17365,end
2297477,-2623679,17362,end
2297474,-2623631,17362,end
2297472,-2623584,17362,end
2297571,-2623969,17363,end
2297834,-2623465,17360,end
2297831,-2623417,17360,end
2297829,-2623370,17360,end
2297928,-2623755,17361,end
2298233,-2624468,17362,end
2297310,-2623347,17356,end
2297308,-2623300,17356,end
2298501,-2626988,17371,end
2298432,-2626131,17367,end
