Crit0,Crit1,Crit2,end
2811178,-2447210,20901,end
2811226,-2447275,20901,end
2811298,-2447359,20901,end
2811233,-2447318,20901,end
2811120,-2446539,20904,end
2811120,-2446493,20904,end
2811170,-2447145,20904,end
2811171,-2446684,20904,end
2811171,-2446649,20904,end
2811233,-2447262,20904,end
2811233,-2446874,20904,end
2811233,-2446827,20904,end
2811298,-2447336,20904,end
2811298,-2447102,20904,end
2811298,-2447046,20904,end
2811159,-2446976,20905,end
2816237,-2447239,20946,end
2816107,-2447311,20947,end
2811718,-2445949,20960,end
2811737,-2445949,20960,end
2811996,-2446006,20960,end
2814077,-2446367,20965,end
2811942,-2446177,20962,end
2812220,-2446204,20962,end
2813004,-2446178,20965,end
2814209,-2446220,20965,end
2814355,-2446387,20965,end
2815037,-2447198,20945,end
2810518,-2445908,20959,end
2810537,-2445908,20959,end
2810742,-2446136,20961,end
2811020,-2446163,20961,end
2811804,-2446137,20964,end
2813009,-2446179,20964,end
2815541,-2447237,20947,end
2814317,-2446235,20959,end
2814236,-2446225,20959,end
2815671,-2447165,20946,end
2811430,-2445932,20960,end
2811152,-2445875,20960,end
2811171,-2445875,20960,end
2813643,-2446146,20965,end
2811376,-2446103,20962,end
2811654,-2446130,20962,end
2812438,-2446104,20965,end
2814287,-2446163,20958,end
2814447,-2446163,20958,end
2814366,-2446153,20958,end
2809170,-2445463,20916,end
2809170,-2445417,20916,end
2809221,-2445608,20916,end
2809221,-2445573,20916,end
2809283,-2445798,20916,end
2809283,-2445751,20916,end
2810046,-2444930,20972,end
2809768,-2444873,20972,end
2809787,-2444873,20972,end
2809992,-2445101,20974,end
2810270,-2445128,20974,end
2810781,-2445347,20976,end
2811058,-2445402,20976,end
2812405,-2445311,20977,end
2812127,-2445291,20977,end
2811332,-2445158,20977,end
2812259,-2445144,20977,end
2811054,-2445102,20977,end
2809791,-2444988,20977,end
2807578,-2444774,20972,end
2807300,-2444717,20972,end
2807319,-2444717,20972,end
2808586,-2444946,20977,end
2807524,-2444945,20974,end
2804907,-2444634,20968,end
2805067,-2444710,20968,end
2804987,-2444673,20968,end
2807379,-2444752,20972,end
2809847,-2444863,20972,end
2809928,-2444873,20972,end
2812287,-2445291,20977,end
2807478,-2444944,20973,end
2807398,-2444905,20973,end
2812419,-2445144,20977,end
2809870,-2445023,20977,end
2809951,-2445058,20977,end
2812338,-2445134,20977,end
2806273,-2444902,20973,end
2806193,-2444863,20973,end
2808665,-2444981,20977,end
2811133,-2445092,20977,end
2811214,-2445102,20977,end
2810071,-2445091,20974,end
2805086,-2444710,20968,end
2805006,-2444673,20968,end
2804926,-2444634,20968,end
2807398,-2444752,20972,end
2809947,-2444873,20972,end
2809866,-2444863,20972,end
2812484,-2445301,20977,end
2812565,-2445311,20977,end
2805185,-2444691,20968,end
2810206,-2444930,20972,end
2807657,-2444809,20972,end
2810125,-2444920,20972,end
2807738,-2444844,20972,end
2815554,-2446597,20946,end
2816754,-2446638,20947,end
2816188,-2446564,20947,end
2814804,-2445562,20959,end
2814964,-2445562,20959,end
2814883,-2445552,20959,end
2815684,-2446525,20945,end
2816884,-2446566,20946,end
2816318,-2446492,20946,end
2814934,-2445490,20958,end
2815094,-2445490,20958,end
2815013,-2445480,20958,end
2812626,-2445404,20958,end
2813524,-2445653,20964,end
2814724,-2445694,20965,end
2814158,-2445620,20965,end
2808312,-2444638,20973,end
2808073,-2444455,20973,end
2807993,-2444418,20973,end
2807913,-2444379,20973,end
2808152,-2444641,20974,end
2808232,-2444616,20974,end
2812774,-2444618,20977,end
2812934,-2444618,20977,end
2812853,-2444608,20977,end
2810466,-2444532,20977,end
2810385,-2444497,20977,end
2810306,-2444462,20977,end
2814856,-2445547,20965,end
2813656,-2445506,20964,end
2814290,-2445473,20965,end
2812906,-2444471,20977,end
2813066,-2444471,20977,end
2812985,-2444461,20977,end
2810598,-2444385,20977,end
2810517,-2444350,20977,end
2810438,-2444315,20977,end
2808205,-2444308,20973,end
2808125,-2444271,20973,end
2808045,-2444232,20973,end
2813085,-2445431,20965,end
2806920,-2444229,20973,end
2806840,-2444190,20973,end
2811701,-2444429,20977,end
2811861,-2444429,20977,end
2811780,-2444419,20977,end
2809312,-2444308,20977,end
2809233,-2444273,20977,end
2815002,-2445714,20965,end
2805778,-2444189,20970,end
2810718,-2444418,20974,end
2808171,-2444272,20974,end
2810415,-2444200,20972,end
2810575,-2444200,20972,end
2810494,-2444190,20972,end
2808107,-2444114,20972,end
2808026,-2444079,20972,end
2807947,-2444044,20972,end
2805714,-2444037,20968,end
2805634,-2444000,20968,end
2805554,-2443961,20968,end
2810594,-2444200,20972,end
2810513,-2444190,20972,end
2808126,-2444114,20972,end
2808045,-2444079,20972,end
2807966,-2444044,20972,end
2805733,-2444037,20968,end
2805653,-2444000,20968,end
2805573,-2443961,20968,end
2813212,-2444638,20977,end
2813131,-2444628,20977,end
2810693,-2444257,20972,end
2810853,-2444257,20972,end
2805832,-2444018,20968,end
2810772,-2444247,20972,end
2808385,-2444171,20972,end
2808304,-2444136,20972,end
2808225,-2444101,20972,end
2805166,-2444083,20973,end
2805086,-2444046,20973,end
2805006,-2444007,20973,end
2805245,-2444269,20974,end
2805325,-2444244,20974,end
2809867,-2444246,20977,end
2810027,-2444246,20977,end
2809946,-2444236,20977,end
2807559,-2444160,20977,end
2807478,-2444125,20977,end
2807399,-2444090,20977,end
2809999,-2444099,20977,end
2805298,-2443936,20973,end
2805218,-2443899,20973,end
2805138,-2443860,20973,end
