Crit0,Crit1,Crit2,end
2818502,-2445028,20952,end
2818258,-2445115,20953,end
2818233,-2444972,20953,end
2817724,-2442606,20956,end
2818511,-2445229,20952,end
2818267,-2445316,20953,end
2817733,-2442807,20956,end
2814899,-2440451,20956,end
2813109,-2439375,20968,end
2813028,-2439365,20968,end
2814213,-2440078,20952,end
2814178,-2440008,20952,end
2814149,-2439939,20952,end
2813612,-2439934,20952,end
2813583,-2439865,20952,end
2812359,-2438863,20964,end
2812278,-2438853,20964,end
2812388,-2438932,20964,end
2812423,-2439002,20964,end
2818654,-2445212,20951,end
2818645,-2445011,20951,end
2816855,-2443935,20963,end
2816485,-2441573,20952,end
2816450,-2441503,20952,end
2816421,-2441434,20952,end
2817171,-2441946,20956,end
2817180,-2442147,20956,end
2814355,-2440226,20951,end
2818376,-2444955,20952,end
2817867,-2442589,20955,end
2817876,-2442790,20955,end
2815041,-2440599,20955,end
2816586,-2443879,20964,end
2815855,-2441360,20952,end
2816605,-2441872,20956,end
2814550,-2440348,20964,end
2814695,-2440497,20964,end
2814660,-2440427,20964,end
2814631,-2440358,20964,end
2815300,-2440860,20968,end
2815381,-2440870,20968,end
2812565,-2439150,20963,end
2816077,-2441513,20967,end
2813251,-2439523,20967,end
2816506,-2444191,20971,end
2816360,-2444024,20971,end
2818632,-2444956,20951,end
2816750,-2444104,20970,end
2816604,-2443937,20970,end
2818363,-2444900,20952,end
2816481,-2444048,20971,end
2816335,-2443881,20971,end
2817854,-2442534,20955,end
2815972,-2441682,20974,end
2815826,-2441515,20974,end
2816759,-2444305,20970,end
2816515,-2444392,20971,end
2815981,-2441883,20974,end
2814716,-2443115,20983,end
2814570,-2442948,20983,end
2816842,-2443880,20963,end
2816761,-2443870,20963,end
2814879,-2443018,20982,end
2814733,-2442851,20982,end
2814960,-2443028,20982,end
2814814,-2442861,20982,end
2816573,-2443824,20964,end
2816492,-2443814,20964,end
2814691,-2442972,20983,end
2814610,-2442962,20983,end
2814464,-2442795,20983,end
2814545,-2442805,20983,end
2815983,-2441448,20967,end
2816064,-2441458,20967,end
2814036,-2440439,20986,end
2813955,-2440429,20986,end
2814182,-2440606,20986,end
2814101,-2440596,20986,end
2814969,-2443229,20982,end
2814725,-2443316,20983,end
2814191,-2440807,20986,end
2814343,-2440006,20951,end
2814308,-2439936,20951,end
2814279,-2439867,20951,end
2815029,-2440379,20955,end
2814352,-2440207,20951,end
2815038,-2440580,20955,end
2814366,-2440006,20950,end
2814331,-2439936,20950,end
2814302,-2439867,20950,end
2815052,-2440379,20954,end
2818079,-2444296,20951,end
2816615,-2441501,20951,end
2816580,-2441431,20951,end
2816551,-2441362,20951,end
2818775,-2444939,20950,end
2814485,-2440154,20950,end
2814450,-2440084,20950,end
2814421,-2440015,20950,end
2818199,-2444451,20950,end
2816735,-2441656,20950,end
2816700,-2441586,20950,end
2816671,-2441517,20950,end
2817301,-2441874,20955,end
2818506,-2444883,20951,end
2818026,-2442896,20953,end
2817997,-2442517,20954,end
2815171,-2440527,20954,end
2817450,-2442408,20953,end
2817421,-2442029,20954,end
2818088,-2444497,20951,end
2816624,-2441702,20951,end
2817310,-2442075,20955,end
2818784,-2445140,20950,end
2818035,-2443097,20953,end
2818006,-2442718,20954,end
2815180,-2440728,20954,end
2818208,-2444652,20950,end
2817430,-2442230,20954,end
2813147,-2439527,20974,end
2813001,-2439360,20974,end
2812315,-2438987,20970,end
2812280,-2438917,20970,end
2812251,-2438848,20970,end
2812461,-2439154,20970,end
2812426,-2439084,20970,end
2812397,-2439015,20970,end
2813156,-2439728,20974,end
2813170,-2439527,20973,end
2813024,-2439360,20973,end
2812274,-2438848,20969,end
2812303,-2438917,20969,end
2812338,-2438987,20969,end
2812484,-2439154,20969,end
2812449,-2439084,20969,end
2812420,-2439015,20969,end
2816747,-2443920,20969,end
2816171,-2443432,20969,end
2816478,-2443864,20970,end
2814587,-2440482,20970,end
2814552,-2440412,20970,end
2814523,-2440343,20970,end
2815273,-2440855,20974,end
2812457,-2439135,20969,end
2812422,-2439065,20969,end
2812393,-2438996,20969,end
2814707,-2440637,20969,end
2814672,-2440567,20969,end
2814643,-2440498,20969,end
2815969,-2441498,20973,end
2813143,-2439508,20973,end
2815393,-2441010,20973,end
2816197,-2443444,20970,end
2816317,-2443599,20969,end
2816893,-2444087,20969,end
2816206,-2443645,20970,end
2816326,-2443800,20969,end
2816902,-2444288,20969,end
2814733,-2440649,20970,end
2814698,-2440579,20970,end
2814669,-2440510,20970,end
2815419,-2441022,20974,end
2815428,-2441223,20974,end
2816624,-2444031,20970,end
2816144,-2442044,20972,end
2816115,-2441665,20973,end
2816153,-2442245,20972,end
2816124,-2441866,20973,end
2813289,-2439675,20973,end
2815548,-2441378,20973,end
2815539,-2441177,20973,end
2812539,-2439163,20969,end
2812568,-2439232,20969,end
2814853,-2440804,20969,end
2814818,-2440734,20969,end
2814789,-2440665,20969,end
2813239,-2439303,20967,end
2813158,-2439293,20967,end
2813248,-2439504,20967,end
2813713,-2439793,20951,end
2812489,-2438791,20963,end
2812408,-2438781,20963,end
2813742,-2439862,20951,end
2812518,-2438860,20963,end
2812553,-2438930,20963,end
2812562,-2439131,20963,end
2818209,-2444865,20950,end
2816985,-2443863,20962,end
2816904,-2443853,20962,end
2816994,-2444064,20962,end
2816409,-2443375,20962,end
