Crit0,Crit1,Crit2,end
4142380,-4677660,49653,end
4197438,-4659275,49415,end
4237354,-4681410,49485,end
4172979,-4659299,49743,end
4196876,-4653249,49708,end
4088855,-4661415,49894,end
4211079,-4584640,49851,end
4216750,-4655389,49532,end
4139847,-4553062,50083,end
4204305,-4609520,49936,end
4140813,-4658734,49937,end
4186508,-4588831,49873,end
4220168,-4698478,49669,end
4128560,-4640137,50094,end
4263556,-4714242,49587,end
4237383,-4708659,49416,end
4211901,-4592533,49798,end
4256284,-4604283,49098,end
4211940,-4708239,49778,end
4093724,-4594846,50088,end
4287876,-4667842,49201,end
4245251,-4673875,49385,end
4225543,-4629434,50271,end
4225552,-4699940,49685,end
