UG_0 = 3601, Crit0_0 = 5947
UG_1 = 19700, Crit0_1 = 759
UG_2 = 20, Crit0_2 = 1462
UG_3 = 503601, Crit0_3 = 8718
UG_4 = 503, Crit0_4 = 2579
UG_5 = 20602, Crit0_5 = 908
UG_6 = 3604, Crit0_6 = 3212
UG_7 = 500602, Crit0_7 = 1692
UG_8 = 700, Crit0_8 = 1773
UG_9 = 21, Crit0_9 = 15701
UG_10 = 500700, Crit0_10 = 412
UG_11 = 2700, Crit0_11 = 291
UG_12 = 500, Crit0_12 = 3651
UG_13 = 2700, Crit0_13 = 1566
UG_14 = 3, Crit0_14 = 1071
UG_15 = 2, Crit0_15 = 2351
UG_16 = 3, Crit0_16 = 2518
UG_17 = 2, Crit0_17 = 5513
UG_18 = 3, Crit0_18 = 3550
UG_19 = 3, Crit0_19 = 6783
UG_20 = 2601, Crit0_20 = 2023
UG_21 = 3700, Crit0_21 = 451
UG_22 = 502, Crit0_22 = 3064
UG_23 = 3, Crit0_23 = 5044
UG_24 = 2, Crit0_24 = 5599
UG_25 = 1, Crit0_25 = 5175
UG_26 = 3603, Crit0_26 = 527
UG_27 = 700, Crit0_27 = 1726
UG_28 = 501, Crit0_28 = 3961
UG_29 = 1, Crit0_29 = 18458
UG_30 = 502601, Crit0_30 = 5565
UG_31 = 3, Crit0_31 = 2188
UG_32 = 3602, Crit0_32 = 571
UG_33 = 3600, Crit0_33 = 1695
UG_34 = 1700, Crit0_34 = 1503
UG_35 = 5603, Crit0_35 = 373
UG_36 = 3, Crit0_36 = 1163
UG_37 = 503, Crit0_37 = 2892
UG_38 = 3, Crit0_38 = 2352
UG_39 = 1, Crit0_39 = 195
UG_40 = 2, Crit0_40 = 4594
UG_41 = 2700, Crit0_41 = 1223
UG_42 = 1, Crit0_42 = 3921
UG_43 = 1, Crit0_43 = 3686
UG_44 = 3, Crit0_44 = 3384
UG_45 = 3700, Crit0_45 = 325
UG_46 = 2, Crit0_46 = 3099
UG_47 = 20, Crit0_47 = 3656
UG_48 = 2700, Crit0_48 = 360
UG_49 = 500700, Crit0_49 = 2450
UG_50 = 503, Crit0_50 = 2637
UG_51 = 502601, Crit0_51 = 1138
UG_52 = 2604, Crit0_52 = 378
UG_53 = 503700, Crit0_53 = 3191
UG_54 = 700, Crit0_54 = 184
UG_55 = 503, Crit0_55 = 5044
UG_56 = 3, Crit0_56 = 7063
UG_57 = 503, Crit0_57 = 111
UG_58 = 1601, Crit0_58 = 5136
UG_59 = 3, Crit0_59 = 4720
UG_60 = 502, Crit0_60 = 11210
UG_61 = 501, Crit0_61 = 479
UG_62 = 501, Crit0_62 = 579
UG_63 = 2, Crit0_63 = 1440
UG_64 = 503700, Crit0_64 = 787
UG_65 = 3, Crit0_65 = 7901
UG_66 = 503, Crit0_66 = 1008
UG_67 = 502, Crit0_67 = 868
UG_68 = 2316, Crit0_68 = 2221
UG_69 = 501, Crit0_69 = 2715
UG_70 = 503, Crit0_70 = 281
UG_71 = 2, Crit0_71 = 11008
UG_72 = 3604, Crit0_72 = 841
UG_73 = 3317, Crit0_73 = 3410
UG_74 = 700, Crit0_74 = 566
UG_75 = 602, Crit0_75 = 11
UG_76 = 1, Crit0_76 = 8849
UG_77 = 3, Crit0_77 = 1509
UG_78 = 604, Crit0_78 = 10
UG_79 = 21, Crit0_79 = 1499
UG_80 = 3, Crit0_80 = 1005
UG_81 = 503, Crit0_81 = 2769
UG_82 = 3, Crit0_82 = 5292
UG_83 = 2604, Crit0_83 = 1228
UG_84 = 3, Crit0_84 = 3913
UG_85 = 1700, Crit0_85 = 1553
UG_86 = 3, Crit0_86 = 5616
UG_87 = 1700, Crit0_87 = 1576
UG_88 = 3, Crit0_88 = 5430
UG_89 = 502, Crit0_89 = 3159
UG_90 = 501, Crit0_90 = 1998
UG_91 = 502, Crit0_91 = 2969
UG_92 = 503, Crit0_92 = 2988
UG_93 = 2, Crit0_93 = 3508
