Crit0,Crit1,Crit2,end
334729,-386446,2296,end
334549,-386319,2297,end
334580,-386173,2298,end
334453,-386051,2299,end
334729,-386408,2304,end
334729,-385634,2305,end
334729,-385239,2305,end
334549,-386198,2306,end
334549,-384985,2306,end
334549,-384654,2306,end
334387,-385862,2307,end
334256,-384090,2308,end
334256,-383766,2308,end
334390,-384496,2308,end
334390,-384252,2308,end
334408,-385405,2309,end
336744,-386277,2323,end
336670,-386286,2324,end
337186,-386255,2324,end
334199,-382864,2334,end
334207,-382864,2334,end
334152,-382760,2334,end
334159,-382760,2334,end
334106,-382652,2334,end
334113,-382652,2334,end
334194,-383441,2336,end
334240,-383422,2336,end
334288,-383416,2336,end
334734,-383632,2337,end
334781,-383751,2337,end
334828,-383873,2337,end
334471,-383535,2340,end
334517,-383651,2340,end
334564,-383761,2340,end
335304,-384408,2340,end
335350,-384378,2340,end
335398,-384360,2340,end
335564,-383873,2340,end
335610,-383910,2340,end
335658,-383901,2340,end
337194,-386278,2324,end
337120,-386287,2325,end
337636,-386256,2325,end
334556,-382653,2335,end
334563,-382653,2335,end
334602,-382761,2335,end
334609,-382761,2335,end
334649,-382865,2335,end
334657,-382865,2335,end
334644,-383442,2337,end
334690,-383423,2337,end
334738,-383417,2337,end
335184,-383633,2338,end
335231,-383752,2338,end
334921,-383536,2341,end
334967,-383652,2341,end
335014,-383762,2341,end
335754,-384409,2341,end
335800,-384379,2341,end
335848,-384361,2341,end
336014,-383874,2341,end
336060,-383911,2341,end
336108,-383902,2341,end
334974,-382714,2337,end
335395,-382680,2338,end
335395,-382247,2340,end
334556,-382520,2341,end
334974,-382392,2341,end
335395,-382242,2341,end
335395,-382233,2341,end
334106,-382606,2342,end
334556,-382290,2342,end
334974,-382362,2342,end
334974,-382266,2342,end
334556,-382167,2343,end
334106,-382179,2344,end
334106,-381996,2344,end
336260,-382784,2345,end
336716,-382768,2345,end
336995,-382836,2346,end
333106,-381338,2352,end
333018,-381317,2352,end
333195,-381317,2352,end
333012,-381134,2352,end
332835,-381045,2352,end
332923,-381088,2352,end
333447,-381893,2354,end
333359,-381847,2354,end
333271,-381807,2355,end
334781,-381462,2355,end
334693,-381459,2355,end
334870,-381450,2355,end
333925,-381387,2355,end
333837,-381343,2356,end
333749,-381302,2356,end
337002,-382836,2346,end
336723,-382768,2345,end
335402,-382680,2338,end
334981,-382362,2342,end
334981,-382266,2342,end
335402,-382247,2340,end
335402,-382242,2341,end
335402,-382233,2341,end
334877,-381450,2355,end
333932,-381387,2355,end
333844,-381343,2356,end
333756,-381302,2356,end
333019,-381134,2352,end
332930,-381088,2352,end
332842,-381045,2352,end
337041,-382944,2346,end
337048,-382944,2346,end
337083,-383625,2348,end
337088,-383048,2346,end
337096,-383048,2346,end
337129,-383606,2348,end
337145,-384274,2320,end
337145,-383950,2320,end
337177,-383600,2348,end
337276,-386046,2319,end
337279,-384680,2320,end
337279,-384436,2320,end
337297,-385589,2321,end
337342,-386235,2311,end
337360,-383719,2352,end
337406,-383835,2352,end
337438,-385169,2318,end
337438,-384838,2318,end
337453,-383945,2352,end
337618,-385818,2317,end
337618,-385423,2317,end
337623,-383816,2349,end
337670,-383935,2349,end
337717,-384057,2349,end
338193,-384592,2352,end
338239,-384562,2352,end
338287,-384544,2352,end
338453,-384057,2352,end
338499,-384094,2352,end
338547,-384085,2352,end
339559,-386470,2336,end
339633,-386461,2335,end
340075,-386439,2336,end
336348,-383573,2347,end
336394,-383554,2347,end
336442,-383548,2347,end
336625,-383667,2351,end
337718,-384005,2351,end
337764,-384042,2351,end
337812,-384033,2351,end
338824,-386418,2335,end
338898,-386409,2334,end
339340,-386387,2335,end
335020,-382470,2342,end
335020,-382374,2342,end
335441,-382355,2340,end
335441,-382350,2341,end
335441,-382341,2341,end
334916,-381558,2355,end
333883,-381451,2356,end
333058,-381242,2352,end
333890,-381451,2356,end
335027,-382470,2342,end
335027,-382374,2342,end
335448,-382355,2340,end
335448,-382350,2341,end
335448,-382341,2341,end
334923,-381558,2355,end
333065,-381242,2352,end
336804,-383557,2347,end
336850,-383538,2347,end
336898,-383532,2347,end
337081,-383651,2351,end
338174,-383989,2351,end
338220,-384026,2351,end
338268,-384017,2351,end
339354,-386393,2334,end
339796,-386371,2335,end
333359,-382596,2357,end
334869,-382251,2357,end
334781,-382248,2357,end
334958,-382239,2357,end
334013,-382176,2357,end
333925,-382132,2358,end
333837,-382091,2358,end
334967,-383519,2347,end
335067,-382574,2342,end
335067,-382478,2342,end
335488,-382459,2340,end
335488,-382454,2341,end
335488,-382445,2341,end
334963,-381662,2355,end
333930,-381555,2356,end
335075,-382574,2342,end
335075,-382478,2342,end
335496,-382459,2340,end
335496,-382454,2341,end
335496,-382445,2341,end
334971,-381662,2355,end
333938,-381555,2356,end
335339,-383275,2347,end
335385,-383391,2347,end
335432,-383501,2347,end
336432,-383583,2348,end
335339,-383245,2348,end
335385,-383361,2348,end
335432,-383471,2348,end
336014,-383511,2348,end
336060,-383548,2348,end
336108,-383539,2348,end
335339,-383149,2348,end
335385,-383265,2348,end
335432,-383375,2348,end
336432,-383487,2348,end
336478,-383524,2348,end
336526,-383515,2348,end
335760,-383125,2347,end
335806,-383241,2347,end
335853,-383351,2347,end
336853,-383463,2347,end
336899,-383500,2347,end
336947,-383491,2347,end
335760,-383116,2347,end
335806,-383232,2347,end
335853,-383342,2347,end
336853,-383454,2347,end
336947,-383482,2347,end
335564,-383400,2350,end
335610,-383437,2350,end
335658,-383428,2350,end
335014,-383276,2349,end
336014,-383388,2349,end
336060,-383425,2349,end
336108,-383416,2349,end
335564,-383217,2350,end
335610,-383254,2350,end
335658,-383245,2350,end
333812,-382776,2360,end
333858,-382892,2360,end
333905,-383002,2360,end
334645,-383649,2360,end
334691,-383619,2360,end
334739,-383601,2360,end
334905,-383114,2360,end
334951,-383151,2360,end
334999,-383142,2360,end
334915,-382232,2357,end
334827,-382229,2357,end
335004,-382220,2357,end
334059,-382157,2357,end
333971,-382113,2358,end
333883,-382072,2358,end
333724,-382730,2360,end
334817,-383068,2360,end
334863,-383105,2360,end
334911,-383096,2360,end
333636,-382690,2361,end
333682,-382806,2361,end
333729,-382916,2361,end
333993,-383028,2358,end
334469,-383563,2361,end
334515,-383533,2361,end
334563,-383515,2361,end
334729,-383028,2361,end
334775,-383065,2361,end
334823,-383056,2361,end
335052,-382214,2357,end
334107,-382151,2357,end
334019,-382107,2358,end
333931,-382066,2358,end
335146,-382345,2361,end
335192,-382461,2361,end
335239,-382571,2361,end
335409,-382442,2358,end
335456,-382561,2358,end
335503,-382683,2358,end
335979,-383218,2361,end
336025,-383188,2361,end
336073,-383170,2361,end
336239,-382683,2361,end
336285,-382720,2361,end
336333,-382711,2361,end
335058,-382342,2361,end
335321,-382439,2358,end
336151,-382680,2361,end
336245,-382708,2361,end
335235,-382333,2361,end
335281,-382449,2361,end
335328,-382559,2361,end
335498,-382430,2358,end
335545,-382549,2358,end
335592,-382671,2358,end
336328,-382671,2361,end
336374,-382708,2361,end
336422,-382699,2361,end
334290,-382270,2361,end
335383,-382608,2361,end
335429,-382645,2361,end
335477,-382636,2361,end
334202,-382226,2362,end
335035,-383099,2362,end
334248,-382342,2362,end
334295,-382452,2362,end
334465,-382323,2359,end
335081,-383069,2362,end
335129,-383051,2362,end
335295,-382564,2362,end
335341,-382601,2362,end
335389,-382592,2362,end
334114,-382185,2362,end
333377,-382017,2358,end
333288,-381971,2358,end
333200,-381928,2358,end
334377,-382282,2359,end
335207,-382523,2362,end
335253,-382560,2362,end
335301,-382551,2362,end
334381,-382309,2358,end
334293,-382266,2358,end
334387,-382294,2358,end
332116,-381147,2356,end
333237,-381295,2355,end
332292,-381232,2355,end
332204,-381188,2356,end
331379,-380979,2352,end
331290,-380933,2352,end
331202,-380890,2352,end
332123,-381147,2356,end
333244,-381295,2355,end
332299,-381232,2355,end
332211,-381188,2356,end
331386,-380979,2352,end
331297,-380933,2352,end
331209,-380890,2352,end
332250,-381917,2358,end
332298,-381911,2358,end
332481,-382030,2362,end
332527,-382146,2362,end
