The pareto front has 43 solutions : Crit0=38854,Crit1=-25287,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=3, Crit0:1181,Crit1:-3335,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3, Crit0:6344,Crit1:-3175,end
UG_149=2, Crit0:6555,Crit1:-4002,end
UG_404=514, Crit0:844,Crit1:-6896,end
Crit0=38705,Crit1=-22157,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=3, Crit0:1181,Crit1:-3335,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3, Crit0:6344,Crit1:-3175,end
UG_149=2, Crit0:6555,Crit1:-4002,end
UG_404=512700, Crit0:695,Crit1:-3766,end
Crit0=37841,Crit1=-20990,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=3700, Crit0:317,Crit1:-2168,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3, Crit0:6344,Crit1:-3175,end
UG_149=2, Crit0:6555,Crit1:-4002,end
UG_404=512700, Crit0:695,Crit1:-3766,end
Crit0=33202,Crit1=-19879,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=3700, Crit0:317,Crit1:-2168,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3700, Crit0:1705,Crit1:-2064,end
UG_149=2, Crit0:6555,Crit1:-4002,end
UG_404=512700, Crit0:695,Crit1:-3766,end
Crit0=33638,Crit1=-20481,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=3, Crit0:1181,Crit1:-3335,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3, Crit0:6344,Crit1:-3175,end
UG_149=3700, Crit0:1488,Crit1:-2326,end
UG_404=512700, Crit0:695,Crit1:-3766,end
Crit0=33531,Crit1=-20422,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=3, Crit0:1181,Crit1:-3335,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3, Crit0:6344,Crit1:-3175,end
UG_149=2700, Crit0:1381,Crit1:-2267,end
UG_404=512700, Crit0:695,Crit1:-3766,end
Crit0=33421,Crit1=-20348,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=3, Crit0:1181,Crit1:-3335,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3, Crit0:6344,Crit1:-3175,end
UG_149=1700, Crit0:1271,Crit1:-2193,end
UG_404=512700, Crit0:695,Crit1:-3766,end
Crit0=32774,Crit1=-19314,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=3700, Crit0:317,Crit1:-2168,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3, Crit0:6344,Crit1:-3175,end
UG_149=3700, Crit0:1488,Crit1:-2326,end
UG_404=512700, Crit0:695,Crit1:-3766,end
Crit0=28135,Crit1=-18203,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=3700, Crit0:317,Crit1:-2168,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3700, Crit0:1705,Crit1:-2064,end
UG_149=3700, Crit0:1488,Crit1:-2326,end
UG_404=512700, Crit0:695,Crit1:-3766,end
Crit0=17313,Crit1=-16883,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=19700, Crit0:4879,Crit1:-3140,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=3700, Crit0:317,Crit1:-2168,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3700, Crit0:1705,Crit1:-2064,end
UG_149=3700, Crit0:1488,Crit1:-2326,end
UG_404=512700, Crit0:695,Crit1:-3766,end
Crit0=37815,Crit1=-20940,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=2700, Crit0:291,Crit1:-2118,end
UG_12=503, Crit0:5566,Crit1:-880,end
UG_13=3, Crit0:6344,Crit1:-3175,end
UG_149=2, Crit0:6555,Crit1:-4002,end
UG_404=512700, Crit0:695,Crit1:-3766,end
Crit0=36789,Crit1=-20842,end
UG_8=700, Crit0:1773,Crit1:-1333,end
UG_9=21, Crit0:15701,Crit1:-4460,end
UG_10=503, Crit0:890,Crit1:-1206,end
UG_11=2700, Crit0:291,Crit1:-2118,end
