Crit0,Crit1,Crit2,end
341668,-384244,2360,end
341714,-384352,2360,end
341762,-384456,2360,end
343119,-385465,2366,end
343213,-385493,2366,end
344741,-387847,2350,end
334342,-379775,2369,end
335035,-379943,2369,end
334503,-379786,2374,end
334782,-379947,2372,end
339874,-382776,2368,end
341720,-384094,2358,end
341999,-384162,2359,end
341497,-383864,2357,end
336936,-380909,2376,end
339061,-382295,2367,end
337097,-380920,2381,end
339222,-382306,2372,end
337273,-381129,2381,end
339398,-382515,2372,end
337376,-381081,2379,end
339501,-382467,2370,end
337947,-381575,2379,end
340072,-382961,2370,end
337628,-381385,2379,end
339753,-382771,2370,end
337629,-381077,2376,end
339475,-382395,2366,end
339754,-382463,2367,end
337143,-381028,2381,end
339268,-382414,2372,end
339920,-382884,2368,end
342045,-384270,2359,end
341543,-383972,2357,end
337319,-381237,2381,end
339444,-382623,2372,end
337422,-381189,2379,end
339547,-382575,2370,end
337674,-381493,2379,end
339799,-382879,2370,end
337675,-381185,2376,end
339800,-382571,2367,end
337993,-381683,2379,end
340118,-383069,2370,end
342093,-384374,2359,end
341591,-384076,2357,end
337367,-381341,2381,end
339492,-382727,2372,end
337470,-381293,2379,end
339595,-382679,2370,end
337723,-381289,2376,end
339848,-382675,2367,end
342839,-385438,2368,end
342933,-385466,2368,end
344461,-387820,2352,end
338787,-382851,2388,end
338881,-382879,2388,end
340574,-384475,2383,end
340912,-384237,2379,end
341006,-384265,2379,end
338387,-382130,2382,end
338548,-382141,2387,end
340673,-383527,2378,end
338642,-382169,2387,end
340488,-383487,2377,end
340767,-383555,2378,end
338724,-382350,2387,end
340849,-383736,2378,end
338818,-382378,2387,end
340943,-383764,2378,end
338827,-382302,2385,end
340952,-383688,2376,end
338921,-382330,2385,end
341046,-383716,2376,end
338966,-383006,2389,end
341091,-384392,2380,end
339079,-382606,2385,end
341204,-383992,2376,end
339080,-382298,2382,end
340926,-383616,2372,end
341205,-383684,2373,end
339398,-382796,2385,end
341523,-384182,2376,end
342775,-385427,2367,end
342948,-385085,2363,end
341325,-383997,2374,end
343171,-385315,2364,end
343450,-385383,2365,end
342869,-385455,2367,end
344397,-387809,2351,end
339060,-383034,2389,end
341185,-384420,2380,end
341211,-384605,2378,end
339173,-382634,2385,end
341298,-384020,2376,end
339174,-382326,2382,end
341020,-383644,2372,end
341299,-383712,2373,end
339492,-382824,2385,end
341338,-384142,2375,end
341617,-384210,2376,end
342763,-385045,2362,end
343042,-385113,2363,end
341419,-384025,2374,end
343265,-385343,2364,end
343544,-385411,2365,end
344793,-387697,2348,end
345072,-387765,2349,end
344291,-387399,2346,end
344570,-387467,2347,end
328940,-378105,2371,end
329004,-378156,2371,end
329067,-378192,2371,end
329858,-378242,2376,end
329922,-378289,2376,end
329968,-378397,2376,end
330932,-378325,2375,end
330978,-378433,2375,end
333526,-379459,2382,end
329902,-378407,2377,end
330976,-378490,2376,end
330051,-378427,2381,end
331125,-378510,2380,end
331844,-379376,2393,end
332520,-379571,2391,end
333719,-379644,2387,end
330193,-378447,2381,end
330257,-378494,2381,end
331267,-378530,2380,end
331986,-379396,2393,end
332662,-379591,2391,end
333250,-379719,2390,end
333861,-379664,2387,end
330641,-378497,2380,end
331715,-378580,2379,end
332434,-379446,2392,end
333110,-379641,2390,end
333698,-379769,2389,end
334309,-379714,2386,end
332887,-379104,2378,end
335481,-380238,2385,end
331809,-378792,2379,end
332528,-379658,2392,end
334403,-379926,2386,end
330303,-378602,2381,end
331313,-378638,2380,end
331761,-378688,2379,end
332032,-379504,2393,end
332480,-379554,2392,end
332708,-379699,2391,end
333296,-379827,2390,end
333907,-379772,2387,end
334355,-379822,2386,end
330410,-378616,2381,end
330571,-378627,2386,end
330635,-378674,2386,end
330681,-378782,2386,end
331484,-378699,2380,end
331645,-378710,2385,end
331924,-378871,2383,end
332177,-378867,2380,end
332203,-379565,2393,end
332364,-379576,2398,end
332643,-379737,2396,end
332896,-379733,2393,end
333040,-379771,2396,end
333628,-379899,2395,end
334078,-379833,2387,end
334239,-379844,2392,end
334518,-380005,2390,end
334771,-380001,2387,end
331691,-378818,2385,end
332410,-379684,2398,end
334285,-379952,2392,end
332722,-380459,2404,end
333815,-380797,2404,end
333909,-380825,2404,end
330615,-378792,2387,end
331689,-378875,2386,end
332408,-379741,2399,end
334283,-380009,2393,end
330764,-378812,2391,end
330906,-378832,2391,end
331082,-379041,2391,end
331354,-378882,2390,end
332702,-379615,2389,end
331838,-378895,2390,end
332557,-379761,2403,end
332975,-380626,2405,end
333233,-379956,2401,end
334432,-380029,2397,end
332267,-378954,2384,end
333439,-379478,2383,end
332986,-379820,2397,end
334861,-380088,2391,end
336033,-380612,2390,end
330970,-378879,2391,end
331146,-379088,2391,end
331980,-378915,2390,end
332699,-379781,2403,end
333375,-379976,2401,end
333963,-380104,2400,end
334574,-380049,2397,end
332156,-379124,2390,end
332512,-379072,2385,end
332875,-379990,2403,end
333551,-380185,2401,end
334139,-380313,2400,end
334750,-380258,2397,end
333117,-380646,2405,end
333231,-379938,2398,end
335106,-380206,2392,end
332428,-378965,2389,end
333147,-379831,2402,end
333823,-380026,2400,end
334411,-380154,2399,end
335022,-380099,2396,end
333600,-379489,2388,end
334319,-380355,2401,end
334995,-380550,2399,end
335583,-380678,2398,end
336194,-380623,2395,end
332604,-379174,2389,end
333323,-380040,2402,end
334587,-380363,2399,end
335198,-380308,2396,end
332707,-379126,2387,end
332959,-379430,2387,end
332960,-379122,2384,end
333426,-379992,2400,end
335301,-380260,2394,end
333565,-380696,2404,end
333679,-379988,2397,end
334241,-380891,2402,end
335553,-380564,2394,end
335554,-380256,2391,end
333776,-379698,2388,end
334495,-380564,2401,end
335171,-380759,2399,end
335759,-380887,2398,end
336370,-380832,2395,end
333879,-379650,2386,end
335862,-380839,2396,end
336473,-380784,2393,end
334132,-379646,2383,end
336114,-381143,2396,end
336725,-381088,2393,end
336726,-380780,2390,end
337044,-381278,2393,end
335734,-381230,2399,end
331016,-378987,2391,end
331192,-379196,2391,end
332026,-379023,2390,end
332202,-379232,2390,end
332745,-379889,2403,end
332921,-380098,2403,end
333421,-380084,2401,end
334009,-380212,2400,end
334620,-380157,2397,end
333597,-380293,2401,end
334796,-380366,2397,end
332474,-379073,2389,end
333646,-379597,2388,end
333193,-379939,2402,end
334457,-380262,2399,end
335068,-380207,2396,end
334365,-380463,2401,end
335041,-380658,2399,end
335629,-380786,2398,end
336240,-380731,2395,end
332650,-379282,2389,end
333369,-380148,2402,end
334633,-380471,2399,end
335244,-380416,2396,end
333822,-379806,2388,end
334541,-380672,2401,end
335217,-380867,2399,end
335805,-380995,2398,end
336416,-380940,2395,end
332753,-379234,2387,end
333006,-379230,2384,end
335347,-380368,2394,end
335600,-380364,2391,end
335908,-380947,2396,end
336519,-380892,2393,end
336160,-381251,2396,end
336771,-381196,2393,end
336772,-380888,2390,end
337090,-381386,2393,end
332732,-380525,2405,end
332915,-380644,2409,end
334008,-380982,2409,end
333591,-380839,2407,end
334790,-380912,2403,end
335883,-381250,2403,end
333333,-381509,2411,end
334426,-381847,2411,end
338660,-383106,2390,end
331240,-379300,2391,end
332250,-379336,2390,end
332969,-380202,2403,end
334844,-380470,2397,end
332874,-380545,2405,end
333057,-380664,2409,end
333103,-380780,2409,end
334150,-381002,2409,end
334244,-381030,2409,end
333733,-380859,2407,end
333779,-380975,2407,end
334826,-381197,2407,end
334920,-381225,2407,end
334138,-380868,2402,end
334321,-380987,2406,end
335414,-381325,2406,end
335508,-381353,2406,end
334932,-380932,2403,end
334978,-381048,2403,end
336025,-381270,2403,end
336119,-381298,2403,end
333233,-380873,2409,end
334326,-381211,2409,end
334420,-381239,2409,end
335002,-381406,2407,end
335096,-381434,2407,end
335590,-381534,2406,end
335684,-381562,2406,end
335108,-381141,2403,end
336201,-381479,2403,end
336295,-381507,2403,end
333475,-381529,2411,end
333521,-381645,2411,end
333568,-381755,2411,end
334568,-381867,2411,end
334662,-381895,2411,end
335244,-382062,2409,end
335338,-382090,2409,end
335832,-382190,2408,end
335926,-382218,2408,end
338802,-383126,2390,end
336651,-381455,2398,end
338896,-383154,2390,end
332698,-379386,2389,end
332801,-379338,2387,end
333054,-379334,2384,end
333417,-380252,2402,end
335292,-380520,2396,end
335395,-380472,2394,end
335648,-380468,2391,end
336312,-381309,2397,end
333322,-380595,2404,end
333601,-380756,2402,end
333998,-380790,2402,end
333505,-380714,2408,end
333551,-380830,2408,end
333768,-380811,2405,end
334598,-381052,2408,end
334692,-381080,2408,end
334181,-380909,2406,end
335274,-381247,2406,end
335368,-381275,2406,end
334769,-381037,2405,end
334815,-381153,2405,end
335862,-381375,2405,end
335956,-381403,2405,end
335380,-380982,2402,end
335426,-381098,2402,end
335643,-381079,2399,end
335690,-381198,2399,end
336473,-381320,2402,end
336567,-381348,2402,end
333681,-380923,2408,end
333784,-380875,2406,end
333923,-381579,2410,end
334037,-380871,2403,end
335556,-381191,2402,end
335659,-381143,2400,end
335912,-381139,2397,end
334774,-381261,2408,end
334868,-381289,2408,end
335544,-381484,2406,end
336038,-381584,2405,end
336132,-381612,2405,end
336649,-381529,2402,end
336743,-381557,2402,end
333969,-381695,2410,end
334016,-381805,2410,end
334877,-381213,2406,end
334971,-381241,2406,end
335016,-381917,2410,end
335110,-381945,2410,end
335130,-381209,2403,end
335224,-381237,2403,end
335692,-382112,2408,end
335786,-382140,2408,end
336280,-382240,2407,end
336374,-382268,2407,end
338639,-383231,2392,end
338733,-383259,2392,end
335958,-381255,2397,end
335922,-381240,2397,end
336752,-381481,2400,end
336846,-381509,2400,end
337004,-381785,2400,end
337005,-381477,2397,end
338919,-383258,2390,end
339250,-383176,2389,end
337098,-381813,2400,end
337099,-381505,2397,end
338669,-383248,2391,end
339013,-383286,2390,end
339344,-383204,2389,end
334589,-380776,2401,end
335265,-380971,2399,end
335853,-381099,2398,end
336464,-381044,2395,end
335956,-381051,2396,end
336567,-380996,2393,end
336820,-380992,2390,end
337138,-381490,2393,end
337484,-381833,2396,end
336774,-381831,2401,end
336877,-381783,2399,end
336405,-382542,2406,end
338764,-383533,2391,end
337130,-381779,2396,end
339375,-383478,2388,end
339422,-383588,2388,end
335770,-381576,2407,end
335864,-381604,2407,end
335946,-381785,2407,end
336040,-381813,2407,end
336143,-381765,2405,end
336188,-382441,2409,end
336282,-382469,2409,end
338641,-383460,2394,end
336446,-381771,2405,end
336540,-381799,2405,end
336622,-381980,2405,end
336716,-382008,2405,end
336864,-382636,2407,end
336958,-382664,2407,end
338892,-383709,2393,end
339223,-383627,2392,end
337390,-382454,2403,end
338642,-383699,2394,end
338986,-383737,2393,end
339317,-383655,2392,end
337347,-381760,2393,end
337034,-381899,2404,end
337128,-381927,2404,end
337210,-382108,2404,end
337304,-382136,2404,end
337313,-382060,2402,end
337407,-382088,2402,end
337452,-382764,2406,end
337546,-382792,2406,end
339480,-383837,2392,end
337565,-382364,2402,end
337884,-382554,2402,end
339136,-383799,2393,end
339811,-383755,2391,end
337572,-382977,2404,end
337659,-382392,2402,end
337978,-382582,2402,end
339230,-383827,2393,end
339403,-383485,2389,end
339574,-383865,2392,end
339905,-383783,2391,end
340091,-383782,2389,end
340185,-383810,2389,end
336862,-381722,2398,end
337645,-381844,2401,end
337739,-381872,2401,end
337821,-382053,2401,end
337915,-382081,2401,end
337924,-382005,2399,end
338018,-382033,2399,end
338063,-382709,2403,end
338157,-382737,2403,end
339747,-383744,2390,end
338176,-382309,2399,end
338177,-382001,2396,end
338495,-382499,2399,end
339920,-383402,2386,end
340422,-383700,2388,end
338183,-382922,2401,end
338270,-382337,2399,end
338271,-382029,2396,end
338589,-382527,2399,end
339841,-383772,2390,end
340014,-383430,2386,end
340516,-383728,2388,end
331909,-378839,2370,end
331886,-378768,2370,end
331974,-378812,2369,end
332919,-378875,2369,end
334902,-380064,2379,end
334480,-379902,2377,end
334568,-379946,2376,end
335513,-380009,2376,end
333632,-379260,2379,end
335615,-380449,2389,end
336226,-380394,2386,end
